Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-19,19:00,La Liga 2,Matchweek 1,Sat,Home,D,1,1,Sevilla B,52.0,13482,Oier Sanjurjo,4-4-2,4-4-2,Rubén Eiriz,Match Report,,2017-2018,Osasuna
2017-08-26,19:00,La Liga 2,Matchweek 2,Sat,Away,L,1,2,Leonesa,32.0,8108,Oier Sanjurjo,4-4-2,5-3-2,Luis Milla,Match Report,,2017-2018,Osasuna
2017-09-02,18:00,La Liga 2,Matchweek 3,Sat,Home,D,1,1,Huesca,54.0,15071,Roberto Torres,4-4-2,4-2-3-1,Gorka Sagues,Match Report,,2017-2018,Osasuna
2017-09-07,22:00,Copa del Rey,Second round,Thu,Home,W,3,2,Albacete,,7674,,,,Víctor Areces,Match Report,Required Extra Time,2017-2018,Osasuna
2017-09-10,20:30,La Liga 2,Matchweek 4,Sun,Away,W,3,0,Rayo Vallecano,33.0,8043,Oier Sanjurjo,4-4-2,4-1-4-1,Jorge Valdés Aller,Match Report,,2017-2018,Osasuna
2017-09-16,20:00,La Liga 2,Matchweek 5,Sat,Home,W,2,1,Almería,54.0,13773,Oier Sanjurjo,4-4-2,4-3-3,Santiago Varón,Match Report,,2017-2018,Osasuna
2017-09-20,21:00,Copa del Rey,Third round,Wed,Away,L,0,1,Cádiz,,12451,,,,Saúl Ais,Match Report,,2017-2018,Osasuna
2017-09-23,16:00,La Liga 2,Matchweek 6,Sat,Away,D,0,0,Reus,45.0,3572,Oier Sanjurjo,4-4-2,4-1-4-1,Valentín Pizarro,Match Report,,2017-2018,Osasuna
2017-10-01,18:00,La Liga 2,Matchweek 7,Sun,Home,W,2,0,Sporting Gijón,44.0,15505,Oier Sanjurjo,4-4-2,4-1-4-1,Oliver De La Fuente,Match Report,,2017-2018,Osasuna
2017-10-07,20:30,La Liga 2,Matchweek 8,Sat,Away,W,2,0,Cádiz,52.0,13160,Oier Sanjurjo,4-4-2,4-2-3-1,Guillermo Cuadra,Match Report,,2017-2018,Osasuna
2017-10-12,20:00,La Liga 2,Matchweek 9,Thu,Home,W,1,0,Albacete,52.0,16254,Oier Sanjurjo,4-4-2,5-3-2,José López,Match Report,,2017-2018,Osasuna
2017-10-15,20:30,La Liga 2,Matchweek 10,Sun,Away,D,1,1,Zaragoza,53.0,22679,Oier Sanjurjo,4-4-2,4-2-3-1,Isidro Díaz de Mera,Match Report,,2017-2018,Osasuna
2017-10-20,21:00,La Liga 2,Matchweek 11,Fri,Home,D,2,2,Barcelona B,38.0,15156,Oier Sanjurjo,4-4-2,4-1-4-1,Daniel Ocón,Match Report,,2017-2018,Osasuna
2017-10-29,19:30,La Liga 2,Matchweek 12,Sun,Away,D,0,0,Tenerife,44.0,13762,Oier Sanjurjo,4-4-2,4-4-2,Jorge Figueroa,Match Report,,2017-2018,Osasuna
2017-11-05,18:00,La Liga 2,Matchweek 13,Sun,Home,D,0,0,Granada,46.0,15133,Oier Sanjurjo,4-4-2,4-2-3-1,Juan Pulido,Match Report,,2017-2018,Osasuna
2017-11-10,21:00,La Liga 2,Matchweek 14,Fri,Away,W,1,0,Córdoba,41.0,7510,Oier Sanjurjo,4-4-2,5-3-2,Dámaso Arcediano,Match Report,,2017-2018,Osasuna
2017-11-19,18:00,La Liga 2,Matchweek 15,Sun,Home,L,2,3,Alcorcón,52.0,15266,Oier Sanjurjo,4-4-2,4-4-1-1,Jorge Valdés Aller,Match Report,,2017-2018,Osasuna
2017-11-26,18:00,La Liga 2,Matchweek 16,Sun,Away,L,0,1,Lugo,48.0,4664,Oier Sanjurjo,4-4-2,4-4-2,Víctor Areces,Match Report,,2017-2018,Osasuna
2017-12-10,18:00,La Liga 2,Matchweek 18,Sun,Away,L,0,1,Oviedo,51.0,12014,Roberto Torres,4-4-2,5-4-1,Iñaki Bikandi,Match Report,,2017-2018,Osasuna
2017-12-16,16:00,La Liga 2,Matchweek 19,Sat,Home,D,2,2,Numancia,54.0,12447,Oier Sanjurjo,4-4-2,4-2-3-1,Dámaso Arcediano,Match Report,,2017-2018,Osasuna
2017-12-20,20:00,La Liga 2,Matchweek 20,Wed,Away,W,1,0,Lorca FC,50.0,4832,Oier Sanjurjo,4-4-2,4-4-2,Daniel Ocón,Match Report,,2017-2018,Osasuna
2018-01-07,12:00,La Liga 2,Matchweek 21,Sun,Home,W,4,2,Valladolid,51.0,9787,Oier Sanjurjo,4-4-2,4-4-2,Isidro Díaz de Mera,Match Report,,2017-2018,Osasuna
2018-01-14,20:00,La Liga 2,Matchweek 22,Sun,Away,W,1,0,Sevilla B,44.0,893,Oier Sanjurjo,4-4-2,4-2-3-1,José López,Match Report,,2017-2018,Osasuna
2018-01-18,19:00,La Liga 2,Matchweek 17,Thu,Home,L,0,2,Gimnàstic,65.0,12254,Oier Sanjurjo,4-4-2,4-2-3-1,Luis Milla,Match Report,,2017-2018,Osasuna
2018-01-21,16:00,La Liga 2,Matchweek 23,Sun,Home,W,2,1,Leonesa,45.0,13781,Oier Sanjurjo,3-4-3,4-1-4-1,Álvaro Moreno,Match Report,,2017-2018,Osasuna
2018-01-28,18:00,La Liga 2,Matchweek 24,Sun,Away,L,0,1,Huesca,48.0,4896,Oier Sanjurjo,3-4-3,4-1-4-1,Rubén Eiriz,Match Report,,2017-2018,Osasuna
2018-02-02,21:00,La Liga 2,Matchweek 25,Fri,Home,D,1,1,Rayo Vallecano,48.0,11185,Oier Sanjurjo,3-4-3,4-4-2,Guillermo Cuadra,Match Report,,2017-2018,Osasuna
2018-02-10,20:00,La Liga 2,Matchweek 26,Sat,Away,W,1,0,Almería,57.0,5477,Oier Sanjurjo,3-4-3,4-2-3-1,Santiago Varón,Match Report,,2017-2018,Osasuna
2018-02-17,16:00,La Liga 2,Matchweek 27,Sat,Home,D,0,0,Reus,52.0,13267,Fran Mérida,3-5-2,4-2-3-1,Iñaki Bikandi,Match Report,,2017-2018,Osasuna
2018-02-23,21:00,La Liga 2,Matchweek 28,Fri,Away,L,0,2,Sporting Gijón,50.0,18884,Oier Sanjurjo,4-4-2,4-2-3-1,Dámaso Arcediano,Match Report,,2017-2018,Osasuna
2018-03-03,18:00,La Liga 2,Matchweek 29,Sat,Home,W,1,0,Cádiz,42.0,14543,Oier Sanjurjo,3-5-2,4-2-3-1,José López,Match Report,,2017-2018,Osasuna
2018-03-11,18:00,La Liga 2,Matchweek 30,Sun,Away,D,0,0,Albacete,69.0,7081,Oier Sanjurjo,4-2-3-1,5-3-2,Jorge Figueroa,Match Report,,2017-2018,Osasuna
2018-03-17,16:00,La Liga 2,Matchweek 31,Sat,Home,L,1,2,Zaragoza,63.0,14967,Oier Sanjurjo,4-2-3-1,4-4-2,Santiago Varón,Match Report,,2017-2018,Osasuna
2018-03-25,18:00,La Liga 2,Matchweek 32,Sun,Away,W,2,0,Barcelona B,35.0,5592,Unai García,4-4-1-1,4-2-3-1,Gorka Sagues,Match Report,,2017-2018,Osasuna
2018-04-01,16:00,La Liga 2,Matchweek 33,Sun,Home,L,0,1,Tenerife,66.0,12843,Oier Sanjurjo,4-2-3-1,4-2-3-1,Jorge Valdés Aller,Match Report,,2017-2018,Osasuna
2018-04-07,16:00,La Liga 2,Matchweek 34,Sat,Away,D,1,1,Granada,42.0,11237,Oier Sanjurjo,4-2-3-1,4-2-3-1,José López,Match Report,,2017-2018,Osasuna
2018-04-15,12:00,La Liga 2,Matchweek 35,Sun,Home,D,1,1,Córdoba,65.0,14045,Oier Sanjurjo,4-2-3-1,5-4-1,Oliver De La Fuente,Match Report,,2017-2018,Osasuna
2018-04-22,12:00,La Liga 2,Matchweek 36,Sun,Away,D,0,0,Alcorcón,35.0,3186,Oier Sanjurjo,3-5-2,4-4-2,Saúl Ais,Match Report,,2017-2018,Osasuna
2018-04-28,18:00,La Liga 2,Matchweek 37,Sat,Home,D,1,1,Lugo,43.0,12087,Oier Sanjurjo,4-2-3-1,3-5-2,Gorka Sagues,Match Report,,2017-2018,Osasuna
2018-05-06,12:00,La Liga 2,Matchweek 38,Sun,Away,W,2,0,Gimnàstic,47.0,5627,Miguel Flaño,4-2-3-1,4-4-2,Guillermo Cuadra,Match Report,,2017-2018,Osasuna
2018-05-12,20:30,La Liga 2,Matchweek 39,Sat,Home,W,2,1,Oviedo,60.0,13707,Miguel Flaño,4-4-2,3-4-3,Dámaso Arcediano,Match Report,,2017-2018,Osasuna
2018-05-20,16:00,La Liga 2,Matchweek 40,Sun,Away,D,1,1,Numancia,52.0,6903,Miguel Flaño,4-4-1-1,4-2-3-1,Santiago Varón,Match Report,,2017-2018,Osasuna
2018-05-27,20:30,La Liga 2,Matchweek 41,Sun,Home,W,1,0,Lorca FC,51.0,14616,Miguel Flaño,4-2-3-1,5-4-1,Oliver De La Fuente,Match Report,,2017-2018,Osasuna
2018-06-02,20:30,La Liga 2,Matchweek 42,Sat,Away,L,0,2,Valladolid,54.0,22287,Miguel Flaño,4-2-3-1,4-1-4-1,Iñaki Bikandi,Match Report,,2017-2018,Osasuna
