Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-04,20:00,Trophée des Champions,Trophée des Champions,Sat,Neutral,W,4,0,Monaco,,,73.0,41237,Thiago Silva,4-3-3,4-3-3,Ruddy Buquet,Match Report,,2018-2019,Paris S-G
2018-08-12,21:00,Ligue 1,Matchweek 1,Sun,Home,W,3,0,Caen,3.0,0.2,65.0,47289,Thiago Silva,4-3-3,4-3-3,Benoît Bastien,Match Report,,2018-2019,Paris S-G
2018-08-18,17:00,Ligue 1,Matchweek 2,Sat,Away,W,3,1,Guingamp,2.6,1.1,65.0,19003,Thiago Silva,4-3-3,4-2-3-1,Clément Turpin,Match Report,,2018-2019,Paris S-G
2018-08-25,17:00,Ligue 1,Matchweek 3,Sat,Home,W,3,1,Angers,1.8,1.5,59.0,47105,Thiago Silva,3-4-1-2,4-1-4-1,Jérôme Miguelgorry,Match Report,,2018-2019,Paris S-G
2018-09-01,17:00,Ligue 1,Matchweek 4,Sat,Away,W,4,2,Nîmes,2.2,1.3,60.0,15311,Thiago Silva,4-2-3-1,4-3-3,Jérôme Brisard,Match Report,,2018-2019,Paris S-G
2018-09-14,20:45,Ligue 1,Matchweek 5,Fri,Home,W,4,0,Saint-Étienne,2.5,1.0,64.0,46549,Thiago Silva,4-3-3,3-4-3,Franck Schneider,Match Report,,2018-2019,Paris S-G
2018-09-18,20:00,Champions Lg,Group stage,Tue,Away,L,2,3,eng Liverpool,0.8,2.3,47.0,52478,Thiago Silva,4-3-3,4-3-3,Baris Şimşek,Match Report,,2018-2019,Paris S-G
2018-09-23,15:00,Ligue 1,Matchweek 6,Sun,Away,W,3,1,Rennes,1.6,1.3,61.0,29205,Marquinhos,4-3-3,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,2018-2019,Paris S-G
2018-09-26,21:00,Ligue 1,Matchweek 7,Wed,Home,W,4,1,Reims,3.5,0.4,71.0,47237,Thiago Silva,4-2-3-1,4-1-4-1,Olivier Thual,Match Report,,2018-2019,Paris S-G
2018-09-29,17:15,Ligue 1,Matchweek 8,Sat,Away,W,3,0,Nice,2.6,0.5,62.0,33138,Thiago Silva,3-4-3,3-5-2,Clément Turpin,Match Report,,2018-2019,Paris S-G
2018-10-03,18:55,Champions Lg,Group stage,Wed,Home,W,6,1,rs Red Star,5.4,0.3,73.0,39979,Thiago Silva,4-2-3-1,4-2-3-1,Artur Dias,Match Report,,2018-2019,Paris S-G
2018-10-07,21:00,Ligue 1,Matchweek 9,Sun,Home,W,5,0,Lyon,3.6,1.5,49.0,47443,Thiago Silva,4-2-3-1,4-2-3-1,Antony Gautier,Match Report,,2018-2019,Paris S-G
2018-10-20,17:00,Ligue 1,Matchweek 10,Sat,Home,W,5,0,Amiens,2.4,0.7,58.0,47497,Marquinhos,4-3-3,4-4-1-1,Mikael Lesage,Match Report,,2018-2019,Paris S-G
2018-10-24,21:00,Champions Lg,Group stage,Wed,Home,D,2,2,it Napoli,1.1,1.7,53.0,46274,Marquinhos,4-2-3-1,4-4-2,Tobias Stieler,Match Report,,2018-2019,Paris S-G
2018-10-28,21:00,Ligue 1,Matchweek 11,Sun,Away,W,2,0,Marseille,1.5,0.6,53.0,64696,Marquinhos,3-4-3,4-3-3,Benoît Bastien,Match Report,,2018-2019,Paris S-G
2018-11-02,20:45,Ligue 1,Matchweek 12,Fri,Home,W,2,1,Lille,1.9,1.0,65.0,47549,Thiago Silva,3-5-2,4-2-3-1,François Letexier,Match Report,,2018-2019,Paris S-G
2018-11-06,21:00,Champions Lg,Group stage,Tue,Away,D,1,1,it Napoli,1.3,2.0,56.0,55489,Thiago Silva,3-5-2,4-4-2,Björn Kuipers,Match Report,,2018-2019,Paris S-G
2018-11-11,21:00,Ligue 1,Matchweek 13,Sun,Away,W,4,0,Monaco,3.6,1.4,66.0,12533,Thiago Silva,3-4-3,4-2-3-1,Ruddy Buquet,Match Report,,2018-2019,Paris S-G
2018-11-24,17:00,Ligue 1,Matchweek 14,Sat,Home,W,1,0,Toulouse,1.2,0.6,73.0,47244,Thiago Silva,3-4-3,5-4-1,Hakim Ben El Hadj Salem,Match Report,,2018-2019,Paris S-G
2018-11-28,21:00,Champions Lg,Group stage,Wed,Home,W,2,1,eng Liverpool,1.5,1.3,44.0,46880,Thiago Silva,4-4-2,4-3-3,Tomasz Musiał,Match Report,,2018-2019,Paris S-G
2018-12-02,21:00,Ligue 1,Matchweek 15,Sun,Away,D,2,2,Bordeaux,1.4,0.9,63.0,40841,Thiago Silva,3-4-3,4-2-3-1,Franck Schneider,Match Report,,2018-2019,Paris S-G
2018-12-05,21:00,Ligue 1,Matchweek 16,Wed,Away,D,1,1,Strasbourg,2.3,1.0,67.0,25702,Edinson Cavani,3-5-2,5-4-1,Antony Gautier,Match Report,,2018-2019,Paris S-G
2018-12-11,21:00,Champions Lg,Group stage,Tue,Away,W,4,1,rs Red Star,2.9,0.4,69.0,48357,Thiago Silva,4-4-2,4-2-3-1,William Collum,Match Report,,2018-2019,Paris S-G
2018-12-18,21:00,Coupe de la Ligue,Round of 16,Tue,Away,W,2,1,Orléans,,,,7812,Thiago Silva,4-4-2,4-1-4-1,Jérôme Miguelgorry,Match Report,,2018-2019,Paris S-G
2018-12-22,21:00,Ligue 1,Matchweek 19,Sat,Home,W,1,0,Nantes,2.1,0.5,67.0,47511,Thiago Silva,4-2-2-2,3-5-1-1,Karim Abed,Match Report,,2018-2019,Paris S-G
2019-01-06,20:45,Coupe de France,Round of 64,Sun,Away,W,4,0,GSI Pontivy,,,68.0,14201,Thiago Silva,3-5-2,5-3-2,William Lavis,Match Report,,2018-2019,Paris S-G
2019-01-09,21:05,Coupe de la Ligue,Quarter-finals,Wed,Home,L,1,2,Guingamp,,,,47576,Thiago Silva,3-4-3,4-1-4-1,Benoît Bastien,Match Report,,2018-2019,Paris S-G
2019-01-12,17:00,Ligue 1,Matchweek 20,Sat,Away,W,3,0,Amiens,2.5,0.3,73.0,11932,Thiago Silva,4-3-1-2,4-5-1,Florent Batta,Match Report,,2018-2019,Paris S-G
2019-01-19,17:00,Ligue 1,Matchweek 21,Sat,Home,W,9,0,Guingamp,5.1,0.1,67.0,47268,Thiago Silva,4-2-2-2,4-1-4-1,Amaury Delerue,Match Report,,2018-2019,Paris S-G
