Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-06,21:15,Coppa Italia,Second round,Sun,Away,L,1,2,Bari,,11347,,,,Francesco Paolo Saia,Match Report,,2017-2018,Parma
2017-08-25,20:30,Serie B,Matchweek 1,Fri,Home,W,1,0,Cremonese,,11387,Emanuele Calaiò,4-3-3,4-3-1-2,Eugenio Abbattista,Match Report,,2017-2018,Parma
2017-09-03,20:30,Serie B,Matchweek 2,Sun,Away,W,1,0,Novara,,4581,Emanuele Calaiò,4-3-3,3-5-2,Daniele Martinelli,Match Report,,2017-2018,Parma
2017-09-10,17:30,Serie B,Matchweek 3,Sun,Home,L,0,1,Brescia,,11541,,4-3-3,3-5-2,Daniele Minelli,Match Report,,2017-2018,Parma
2017-09-16,15:00,Serie B,Matchweek 4,Sat,Away,L,0,3,Perugia,,8690,Emanuele Calaiò,4-3-3,4-3-1-2,Davide Ghersini,Match Report,,2017-2018,Parma
2017-09-19,20:30,Serie B,Matchweek 5,Tue,Home,L,1,2,Empoli,,10221,Alessandro Lucarelli,4-3-3,3-4-1-2,Gianluca Aureliano,Match Report,,2017-2018,Parma
2017-09-23,15:00,Serie B,Matchweek 6,Sat,Away,W,1,0,Venezia,,10500,Alessandro Lucarelli,4-3-3,3-5-2,Antonello Balice,Match Report,,2017-2018,Parma
2017-09-29,20:30,Serie B,Matchweek 7,Fri,Home,D,2,2,Salernitana,,11493,Alessandro Lucarelli,4-3-3,3-5-2,Aleandro Di Paolo,Match Report,,2017-2018,Parma
2017-10-08,15:00,Serie B,Matchweek 8,Sun,Away,D,1,1,Palermo,,7256,Alessandro Lucarelli,4-3-3,3-5-1-1,Juan Sacchi,Match Report,,2017-2018,Parma
2017-10-14,15:00,Serie B,Matchweek 9,Sat,Home,L,0,1,Pescara,,11370,Alessandro Lucarelli,4-3-3,4-3-3,Niccolò Baroni,Match Report,,2017-2018,Parma
2017-10-21,15:00,Serie B,Matchweek 10,Sat,Home,W,3,1,Virtus Entella,,10178,Alessandro Lucarelli,4-3-3,4-3-1-2,Antonio Di Martino,Match Report,,2017-2018,Parma
2017-10-24,20:30,Serie B,Matchweek 11,Tue,Away,W,3,0,Foggia,,11488,Alessandro Lucarelli,,,Marco Piccinini,Match Report,,2017-2018,Parma
2017-10-29,15:00,Serie B,Matchweek 12,Sun,Home,W,2,0,Avellino,,11535,Alessandro Lucarelli,4-3-3,4-4-1-1,Livio Marinelli,Match Report,,2017-2018,Parma
2017-11-04,15:00,Serie B,Matchweek 13,Sat,Away,L,1,2,Frosinone,,11043,Alessandro Lucarelli,4-3-3,3-4-1-2,Luigi Nasca,Match Report,,2017-2018,Parma
2017-11-12,15:00,Serie B,Matchweek 14,Sun,Away,W,2,1,Cittadella,,4144,Alessandro Lucarelli,4-3-3,4-3-1-2,Marco Serra,Match Report,,2017-2018,Parma
