Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-19,20:15,La Liga,Matchweek 1,Sun,Home,L,1,4,Sevilla,2.1,2.8,49,11626,Alberto García,4-1-4-1,3-4-3,Antonio Matéu Lahoz,Match Report,,2018-2019,Rayo Vallecano
2018-08-25,20:15,La Liga,Matchweek 2,Sat,Away,L,0,1,Atlético Madrid,1.5,0.9,53,52693,Alberto García,4-1-4-1,4-4-2,José González,Match Report,,2018-2019,Rayo Vallecano
2018-09-14,21:00,La Liga,Matchweek 4,Fri,Away,W,1,0,Huesca,1.2,1.7,45,6498,Alberto García,4-2-3-1,4-4-2,David Medié,Match Report,,2018-2019,Rayo Vallecano
2018-09-22,13:00,La Liga,Matchweek 5,Sat,Home,L,1,5,Alavés,1.5,1.3,52,12011,Alberto García,4-1-4-1,4-4-2,Adrián Cordero,Match Report,,2018-2019,Rayo Vallecano
2018-09-25,21:00,La Liga,Matchweek 6,Tue,Away,D,2,2,Real Sociedad,2.1,1.6,43,21510,Alberto García,4-1-4-1,4-2-3-1,Juan Martínez,Match Report,,2018-2019,Rayo Vallecano
2018-09-28,21:00,La Liga,Matchweek 7,Fri,Home,D,2,2,Espanyol,1.3,1.5,52,12100,Alberto García,4-1-4-1,4-1-4-1,Alberola Rojas,Match Report,,2018-2019,Rayo Vallecano
2018-10-06,20:45,La Liga,Matchweek 8,Sat,Away,L,0,1,Leganés,0.4,0.9,64,11539,Alberto García,4-3-3,4-4-1-1,David Medié,Match Report,,2018-2019,Rayo Vallecano
2018-10-21,12:00,La Liga,Matchweek 9,Sun,Home,L,1,2,Getafe,0.4,0.5,64,12040,Alberto García,4-1-4-1,4-4-2,Mario Melero,Match Report,,2018-2019,Rayo Vallecano
2018-10-24,19:00,La Liga,Matchweek 3,Wed,Home,D,1,1,Athletic Club,1.3,1.3,35,11850,Alberto García,4-1-4-1,4-3-3,Guillermo Cuadra,Match Report,,2018-2019,Rayo Vallecano
2018-10-27,13:00,La Liga,Matchweek 10,Sat,Away,L,1,2,Girona,1.6,2.4,56,6618,Alberto García,4-3-3,3-4-3,José Luis Munuera,Match Report,,2018-2019,Rayo Vallecano
2018-10-30,20:30,Copa del Rey,Round of 32,Tue,Away,D,2,2,Leganés,,,42,5872,Chechu,4-1-4-1,4-2-3-1,Alberto Undiano,Match Report,Leg 1 of 2,2018-2019,Rayo Vallecano
2018-11-03,20:45,La Liga,Matchweek 11,Sat,Home,L,2,3,Barcelona,1.6,1.9,31,13785,Alberto García,4-1-4-1,4-3-3,Alejandro Hernández,Match Report,,2018-2019,Rayo Vallecano
2018-11-11,18:30,La Liga,Matchweek 12,Sun,Home,D,2,2,Villarreal,2.3,0.9,58,11840,Adri Embarba,4-1-4-1,4-4-2,José González,Match Report,,2018-2019,Rayo Vallecano
2018-11-24,16:15,La Liga,Matchweek 13,Sat,Away,L,0,3,Valencia,0.8,1.9,50,37814,Adri Embarba,4-1-4-1,4-4-2,Pablo González,Match Report,,2018-2019,Rayo Vallecano
2018-11-30,21:00,La Liga,Matchweek 14,Fri,Home,W,1,0,Eibar,1.2,1.0,36,11257,Adri Embarba,4-1-4-1,4-2-3-1,Alberto Undiano,Match Report,,2018-2019,Rayo Vallecano
2018-12-04,20:30,Copa del Rey,Round of 32,Tue,Home,L,0,1,Leganés,,,73,8372,Alberto García,4-4-1-1,5-4-1,Alejandro Hernández,Match Report,Leg 2 of 2; Leganés won,2018-2019,Rayo Vallecano
2018-12-09,20:45,La Liga,Matchweek 15,Sun,Away,L,0,2,Betis,1.2,1.7,39,40218,Adri Embarba,4-1-2-1-2◆,3-5-2,Juan Martínez,Match Report,,2018-2019,Rayo Vallecano
2018-12-15,18:30,La Liga,Matchweek 16,Sat,Away,L,0,1,Real Madrid,0.7,1.2,31,55229,Adri Embarba,4-1-4-1,4-3-3,Ricardo de Burgos,Match Report,,2018-2019,Rayo Vallecano
2018-12-23,18:30,La Liga,Matchweek 17,Sun,Home,W,2,1,Levante,2.5,1.0,40,11206,Adri Embarba,3-4-3,4-4-2,Ignacio Iglesias,Match Report,,2018-2019,Rayo Vallecano
2019-01-05,13:00,La Liga,Matchweek 18,Sat,Away,W,1,0,Valladolid,1.0,1.8,41,17261,Adri Embarba,5-4-1,4-4-2,Adrián Cordero,Match Report,,2018-2019,Rayo Vallecano
2019-01-11,21:00,La Liga,Matchweek 19,Fri,Home,W,4,2,Celta Vigo,2.0,1.3,40,11465,Adri Embarba,3-5-2,4-1-4-1,Alberola Rojas,Match Report,,2018-2019,Rayo Vallecano
2019-01-20,18:30,La Liga,Matchweek 20,Sun,Home,D,2,2,Real Sociedad,0.9,1.6,36,12562,Adri Embarba,3-5-2,4-1-4-1,David Medié,Match Report,,2018-2019,Rayo Vallecano
2019-01-28,21:00,La Liga,Matchweek 21,Mon,Away,W,1,0,Alavés,1.0,1.0,48,13982,Adri Embarba,3-1-4-2,4-4-2,Mario Melero,Match Report,,2018-2019,Rayo Vallecano
2019-02-04,21:00,La Liga,Matchweek 22,Mon,Home,L,1,2,Leganés,1.7,1.3,61,11435,Adri Embarba,3-4-3,3-5-2,Juan Martínez,Match Report,,2018-2019,Rayo Vallecano
2019-02-09,18:30,La Liga,Matchweek 23,Sat,Away,L,1,2,Espanyol,0.6,2.0,39,22104,Adri Embarba,3-4-3,4-3-3,Eduardo Prieto,Match Report,,2018-2019,Rayo Vallecano
2019-02-16,16:15,La Liga,Matchweek 24,Sat,Home,L,0,1,Atlético Madrid,1.0,0.2,49,13880,Adri Embarba,3-4-3,4-4-2,Jesús Gil,Match Report,,2018-2019,Rayo Vallecano
2019-02-23,13:00,La Liga,Matchweek 25,Sat,Away,L,1,2,Getafe,0.8,1.3,57,11207,Adri Embarba,3-4-3,4-4-2,Alberola Rojas,Match Report,,2018-2019,Rayo Vallecano
2019-03-01,21:00,La Liga,Matchweek 26,Fri,Home,L,0,2,Girona,0.8,1.3,55,12087,Adri Embarba,4-2-3-1,4-3-2-1,Santiago Jaime,Match Report,,2018-2019,Rayo Vallecano
2019-03-09,18:30,La Liga,Matchweek 27,Sat,Away,L,1,3,Barcelona,0.4,2.4,32,74158,Jordi Amat,5-4-1,4-3-3,Mario Melero,Match Report,,2018-2019,Rayo Vallecano
2019-03-17,18:30,La Liga,Matchweek 28,Sun,Away,L,1,3,Villarreal,0.2,2.5,46,17117,Jordi Amat,3-4-3,3-4-3,José González,Match Report,,2018-2019,Rayo Vallecano
2019-03-31,14:00,La Liga,Matchweek 29,Sun,Home,D,1,1,Betis,2.2,0.6,46,12310,Jordi Amat,4-3-3,3-4-1-2,Antonio Matéu Lahoz,Match Report,,2018-2019,Rayo Vallecano
2019-04-03,20:30,La Liga,Matchweek 30,Wed,Away,L,1,2,Eibar,0.9,1.6,54,3940,Jordi Amat,4-2-3-1,4-4-2,Alberto Undiano,Match Report,,2018-2019,Rayo Vallecano
2019-04-06,18:30,La Liga,Matchweek 31,Sat,Home,W,2,0,Valencia,1.5,2.3,52,11320,Alberto García,4-1-4-1,4-4-2,Alberola Rojas,Match Report,,2018-2019,Rayo Vallecano
2019-04-14,14:00,La Liga,Matchweek 32,Sun,Away,L,2,3,Athletic Club,1.0,2.7,53,38732,Alberto García,4-2-3-1,4-2-3-1,Juan Martínez,Match Report,,2018-2019,Rayo Vallecano
2019-04-20,18:30,La Liga,Matchweek 33,Sat,Home,D,0,0,Huesca,1.2,1.1,55,10542,Alberto García,4-1-4-1,4-2-3-1,José González,Match Report,,2018-2019,Rayo Vallecano
2019-04-25,19:30,La Liga,Matchweek 34,Thu,Away,L,0,5,Sevilla,0.9,3.8,50,31636,Alberto García,3-4-3,4-1-4-1,Guillermo Cuadra,Match Report,,2018-2019,Rayo Vallecano
2019-04-28,20:45,La Liga,Matchweek 35,Sun,Home,W,1,0,Real Madrid,1.8,0.5,50,13273,Alberto García,4-2-3-1,4-2-2-2,Pablo González,Match Report,,2018-2019,Rayo Vallecano
2019-05-04,13:00,La Liga,Matchweek 36,Sat,Away,L,1,4,Levante,1.7,2.8,65,19868,Alberto García,4-2-3-1,4-3-3,Javier Estrada,Match Report,,2018-2019,Rayo Vallecano
2019-05-12,18:30,La Liga,Matchweek 37,Sun,Home,L,1,2,Valladolid,1.9,1.4,69,10040,Tito,4-2-3-1,4-4-2,José Sánchez,Match Report,,2018-2019,Rayo Vallecano
2019-05-18,20:45,La Liga,Matchweek 38,Sat,Away,D,2,2,Celta Vigo,1.4,2.1,54,21607,Adri Embarba,4-2-3-1,4-4-2,Antonio Matéu Lahoz,Match Report,,2018-2019,Rayo Vallecano
