Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2020-09-13,16:00,La Liga 2,Matchweek 1,Sun,Away,W,1,0,Mallorca,44.0,,Santi Comesaña,4-4-2,4-4-2,Luis Milla,Match Report,,2020-2021,Rayo Vallecano
2020-09-19,21:00,La Liga 2,Matchweek 2,Sat,Home,W,2,1,Sabadell,53.0,,Óscar Trejo,4-4-2,4-5-1,Daniel Trujillo,Match Report,,2020-2021,Rayo Vallecano
2020-09-27,18:15,La Liga 2,Matchweek 3,Sun,Away,L,0,3,Ponferradina,63.0,,Óscar Trejo,4-1-4-1,4-2-3-1,Eduardo Prieto,Match Report,,2020-2021,Rayo Vallecano
2020-10-03,21:00,La Liga 2,Matchweek 4,Sat,Home,W,4,0,Málaga,53.0,,Santi Comesaña,4-3-3,4-4-2,Dámaso Arcediano,Match Report,,2020-2021,Rayo Vallecano
2020-10-10,17:30,La Liga 2,Matchweek 5,Sat,Away,L,0,1,Tenerife,55.0,,Santi Comesaña,4-2-3-1,4-2-3-1,Javier Villanueva,Match Report,,2020-2021,Rayo Vallecano
2020-10-18,16:00,La Liga 2,Matchweek 6,Sun,Home,W,1,0,Espanyol,52.0,,Santi Comesaña,4-2-3-1,4-2-3-1,José López,Match Report,,2020-2021,Rayo Vallecano
2020-10-22,19:00,La Liga 2,Matchweek 7,Thu,Away,D,0,0,Oviedo,59.0,,Óscar Trejo,4-2-3-1,4-2-3-1,Alejandro Muñíz,Match Report,,2020-2021,Rayo Vallecano
2020-10-25,20:30,La Liga 2,Matchweek 8,Sun,Away,L,1,2,Albacete,59.0,,Santi Comesaña,4-2-3-1,4-1-4-1,Daniel Trujillo,Match Report,,2020-2021,Rayo Vallecano
2020-10-29,21:30,La Liga 2,Matchweek 9,Thu,Home,W,2,0,Fuenlabrada,64.0,,Óscar Trejo,4-2-3-1,5-4-1,Juan Pulido,Match Report,,2020-2021,Rayo Vallecano
2020-11-01,20:30,La Liga 2,Matchweek 10,Sun,Away,L,0,1,Lugo,68.0,,Santi Comesaña,4-2-3-1,4-2-3-1,Oliver De La Fuente,Match Report,,2020-2021,Rayo Vallecano
2020-11-08,16:00,La Liga 2,Matchweek 11,Sun,Home,L,0,1,Almería,38.0,,Óscar Trejo,4-2-3-1,4-2-3-1,Javier Villanueva,Match Report,,2020-2021,Rayo Vallecano
2020-11-16,21:00,La Liga 2,Matchweek 12,Mon,Away,D,1,1,Sporting Gijón,48.0,,Óscar Trejo,4-4-2,4-2-3-1,Saúl Ais,Match Report,,2020-2021,Rayo Vallecano
2020-11-21,18:15,La Liga 2,Matchweek 13,Sat,Home,W,2,1,Castellón,51.0,,Óscar Trejo,4-2-3-1,5-4-1,Francisco Hernández,Match Report,,2020-2021,Rayo Vallecano
2020-11-25,19:00,La Liga 2,Matchweek 14,Wed,Away,W,2,1,Zaragoza,66.0,,Óscar Trejo,4-2-3-1,4-1-4-1,Iosu Galech,Match Report,,2020-2021,Rayo Vallecano
2020-11-28,18:15,La Liga 2,Matchweek 15,Sat,Home,D,0,0,Cartagena,59.0,,Mario Suárez,4-2-3-1,4-4-2,Daniel Ocón,Match Report,,2020-2021,Rayo Vallecano
2020-12-02,19:00,La Liga 2,Matchweek 16,Wed,Away,L,0,1,Leganés,62.0,,Óscar Trejo,4-2-3-1,4-4-2,Eduardo Prieto,Match Report,,2020-2021,Rayo Vallecano
2020-12-05,14:00,La Liga 2,Matchweek 17,Sat,Home,W,2,1,UD Logroñés,54.0,,Óscar Trejo,4-2-3-1,4-2-3-1,Iñaki Bikandi,Match Report,,2020-2021,Rayo Vallecano
2020-12-14,19:00,La Liga 2,Matchweek 18,Mon,Away,D,0,0,Girona,53.0,,Óscar Trejo,4-4-2,4-4-2,Alejandro Muñíz,Match Report,,2020-2021,Rayo Vallecano
2020-12-17,19:00,Copa del Rey,First round,Thu,Away,W,3,2,Teruel,,,Mario Suárez,4-4-2,4-4-2,Eduardo Prieto,Match Report,Required Extra Time,2020-2021,Rayo Vallecano
2020-12-20,18:15,La Liga 2,Matchweek 19,Sun,Home,W,2,0,Las Palmas,54.0,,Óscar Trejo,4-2-3-1,4-1-4-1,Oliver De La Fuente,Match Report,,2020-2021,Rayo Vallecano
2021-01-02,16:00,La Liga 2,Matchweek 20,Sat,Home,W,2,1,Alcorcón,42.0,,Óscar Trejo,4-4-2,3-5-2,Francisco Hernández,Match Report,,2020-2021,Rayo Vallecano
2021-01-06,17:00,Copa del Rey,Second round,Wed,Away,W,3,1,Haro Deportivo,,,,4-3-3,4-3-3,Dámaso Arcediano,Match Report,,2020-2021,Rayo Vallecano
2021-01-16,22:00,Copa del Rey,Round of 32,Sat,Home,W,2,0,Elche,36.0,,Óscar Trejo,4-2-3-1,4-1-3-2,Isidro Díaz de Mera,Match Report,,2020-2021,Rayo Vallecano
2021-01-19,19:00,La Liga 2,Matchweek 21,Tue,Away,W,2,0,CD Mirandés,38.0,,Óscar Trejo,4-2-3-1,4-4-2,José López,Match Report,,2020-2021,Rayo Vallecano
2021-01-23,16:00,La Liga 2,Matchweek 22,Sat,Home,L,1,3,Mallorca,63.0,,Óscar Trejo,4-2-3-1,4-2-3-1,Eduardo Prieto,Match Report,,2020-2021,Rayo Vallecano
2021-01-27,21:00,Copa del Rey,Round of 16,Wed,Home,L,1,2,Barcelona,30.0,,,4-1-4-1,4-3-3,Guillermo Cuadra,Match Report,,2020-2021,Rayo Vallecano
2021-01-31,16:00,La Liga 2,Matchweek 23,Sun,Away,W,3,2,Espanyol,57.0,,Óscar Trejo,4-2-3-1,4-4-2,Jon González,Match Report,,2020-2021,Rayo Vallecano
