Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-08-17,17:00,La Liga,Matchweek 1,Sat,Away,W,3,1,Celta Vigo,2.1,1.6,44.0,23566.0,Sergio Ramos,4-3-3,4-2-2-2,Javier Estrada,Match Report,,2019-2020,Real Madrid
2019-08-24,19:00,La Liga,Matchweek 2,Sat,Home,D,1,1,Valladolid,1.7,1.2,66.0,63037.0,Sergio Ramos,4-1-4-1,4-4-2,Pablo González,Match Report,,2019-2020,Real Madrid
2019-09-01,21:00,La Liga,Matchweek 3,Sun,Away,D,2,2,Villarreal,1.9,1.4,56.0,20128.0,Sergio Ramos,4-4-2,4-4-2,Jesús Gil,Match Report,,2019-2020,Real Madrid
2019-09-14,13:00,La Liga,Matchweek 4,Sat,Home,W,3,2,Levante,2.9,1.2,65.0,60401.0,Sergio Ramos,4-1-4-1,5-3-2,Ricardo de Burgos,Match Report,,2019-2020,Real Madrid
2019-09-18,21:00,Champions Lg,Group stage,Wed,Away,L,0,3,fr Paris S-G,0.6,1.7,48.0,46361.0,Karim Benzema,4-3-3,4-3-3,Anthony Taylor,Match Report,,2019-2020,Real Madrid
2019-09-22,21:00,La Liga,Matchweek 5,Sun,Away,W,1,0,Sevilla,1.2,0.5,45.0,42354.0,Sergio Ramos,4-2-3-1,4-3-3,Juan Martínez,Match Report,,2019-2020,Real Madrid
2019-09-25,21:00,La Liga,Matchweek 6,Wed,Home,W,2,0,Osasuna,1.6,0.2,55.0,57520.0,Sergio Ramos,4-1-4-1,4-4-2,Antonio Matéu Lahoz,Match Report,,2019-2020,Real Madrid
2019-09-28,21:00,La Liga,Matchweek 7,Sat,Away,D,0,0,Atlético Madrid,0.4,0.9,55.0,68032.0,Sergio Ramos,4-1-4-1,4-4-2,José González,Match Report,,2019-2020,Real Madrid
2019-10-01,18:55,Champions Lg,Group stage,Tue,Home,D,2,2,be Club Brugge,2.3,1.4,73.0,65112.0,Sergio Ramos,4-3-3,3-1-4-2,Georgi Kabakov,Match Report,,2019-2020,Real Madrid
2019-10-05,16:00,La Liga,Matchweek 8,Sat,Home,W,4,2,Granada,2.6,1.6,61.0,70315.0,Sergio Ramos,4-3-3,4-1-4-1,Santiago Jaime,Match Report,,2019-2020,Real Madrid
2019-10-19,21:00,La Liga,Matchweek 9,Sat,Away,L,0,1,Mallorca,1.0,0.2,63.0,20275.0,Sergio Ramos,4-4-2,4-3-3,Alberola Rojas,Match Report,,2019-2020,Real Madrid
2019-10-22,22:00,Champions Lg,Group stage,Tue,Away,W,1,0,tr Galatasaray,2.4,1.2,44.0,48886.0,Sergio Ramos,4-3-3,3-4-1-2,Daniele Orsato,Match Report,,2019-2020,Real Madrid
2019-10-30,21:15,La Liga,Matchweek 11,Wed,Home,W,5,0,Leganés,4.8,0.3,61.0,53870.0,Sergio Ramos,4-3-3,4-2-3-1,César Soto,Match Report,,2019-2020,Real Madrid
2019-11-02,21:00,La Liga,Matchweek 12,Sat,Home,D,0,0,Betis,2.8,0.5,63.0,70375.0,Sergio Ramos,4-3-3,5-3-2,José Sánchez,Match Report,,2019-2020,Real Madrid
