Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-19,18:15,La Liga,Matchweek 1,Sat,Away,W,3,2,Celta Vigo,2.1,1.8,47.0,16961,Xabi Prieto,4-3-3,4-3-3,Antonio Matéu Lahoz,Match Report,,2017-2018,Real Sociedad
2017-08-25,20:15,La Liga,Matchweek 2,Fri,Home,W,3,0,Villarreal,2.0,0.2,60.0,19931,Xabi Prieto,4-3-3,4-4-2,Javier Estrada,Match Report,,2017-2018,Real Sociedad
2017-09-10,12:00,La Liga,Matchweek 3,Sun,Away,W,4,2,La Coruña,2.0,1.0,57.0,21942,Xabi Prieto,4-3-3,4-4-2,José Munuera,Match Report,,2017-2018,Real Sociedad
2017-09-14,21:05,Europa Lg,Group stage,Thu,Home,W,4,0,no Rosenborg,3.1,0.4,65.0,21479,Xabi Prieto,4-3-3,4-3-3,Paolo Mazzoleni,Match Report,,2017-2018,Real Sociedad
2017-09-17,20:45,La Liga,Matchweek 4,Sun,Home,L,1,3,Real Madrid,0.5,2.8,50.0,24966,Xabi Prieto,4-3-3,4-3-3,Ignacio Iglesias,Match Report,,2017-2018,Real Sociedad
2017-09-21,22:00,La Liga,Matchweek 5,Thu,Away,L,0,3,Levante,0.7,1.9,67.0,17415,Xabi Prieto,4-2-3-1,4-1-4-1,Jesús Gil,Match Report,,2017-2018,Real Sociedad
2017-09-24,20:45,La Liga,Matchweek 6,Sun,Home,L,2,3,Valencia,1.1,1.8,58.0,20266,Xabi Prieto,4-1-4-1,4-4-2,Santiago Jaime,Match Report,,2017-2018,Real Sociedad
2017-09-28,20:00,Europa Lg,Group stage,Thu,Away,L,1,3,ru Zenit,0.7,1.5,68.0,50487,Xabi Prieto,4-3-3,4-3-3,Andre Marriner,Match Report,,2017-2018,Real Sociedad
2017-10-01,12:00,La Liga,Matchweek 7,Sun,Home,D,4,4,Betis,1.7,2.1,56.0,19669,Xabi Prieto,4-3-3,4-3-3,Alfonso Álvarez,Match Report,,2017-2018,Real Sociedad
2017-10-14,18:30,La Liga,Matchweek 8,Sat,Away,W,2,0,Alavés,0.8,0.6,73.0,19840,Xabi Prieto,4-3-3,4-5-1,Alberola Rojas,Match Report,,2017-2018,Real Sociedad
