Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-07-28,20:00,Ligue 2,Matchweek 1,Fri,Away,W,1,0,Nîmes,40.0,7065,Danilson da Cruz,4-2-3-1,4-3-3,Tony Chapron,Match Report,,2017-2018,Reims
2017-08-05,15:00,Ligue 2,Matchweek 2,Sat,Home,W,2,0,Orléans,38.0,8152,Danilson da Cruz,4-4-2,4-3-3,Pierre Gaillouste,Match Report,,2017-2018,Reims
2017-08-08,20:00,Coupe de la Ligue,First round,Tue,Away,W,1,0,Bourg-Péronnas,,1425,Danilson da Cruz,4-4-2,4-2-3-1,William Lavis,Match Report,,2017-2018,Reims
2017-08-11,20:00,Ligue 2,Matchweek 3,Fri,Away,W,1,0,Tours,47.0,3554,Danilson da Cruz,4-4-2,4-3-3,Willy Delajod,Match Report,,2017-2018,Reims
2017-08-18,20:00,Ligue 2,Matchweek 4,Fri,Home,W,3,0,Bourg-Péronnas,48.0,8376,Danilson da Cruz,4-4-2,3-4-1-2,Alexandre Perreau Niel,Match Report,,2017-2018,Reims
2017-08-22,21:00,Coupe de la Ligue,Second round,Tue,Away,L,0,3,Valenciennes,,4113,Danilson da Cruz,4-4-2,4-4-2,Sylvain Palhies,Match Report,,2017-2018,Reims
2017-08-26,15:00,Ligue 2,Matchweek 5,Sat,Away,L,1,2,Lorient,40.0,8516,Danilson da Cruz,4-4-2,4-2-3-1,Aurélien Petit,Match Report,,2017-2018,Reims
2017-09-11,20:45,Ligue 2,Matchweek 6,Mon,Home,L,0,1,Brest,57.0,8145,Yunis Abdelhamid,4-2-3-1,4-1-4-1,Olivier Thual,Match Report,,2017-2018,Reims
2017-09-16,15:00,Ligue 2,Matchweek 7,Sat,Away,W,4,2,Sochaux,45.0,7912,Danilson da Cruz,4-4-2,4-4-2,Willy Delajod,Match Report,,2017-2018,Reims
2017-09-19,21:00,Ligue 2,Matchweek 8,Tue,Home,W,5,0,Gazélec Ajaccio,53.0,7283,Danilson da Cruz,4-4-2,4-1-4-1,Antony Gautier,Match Report,,2017-2018,Reims
2017-09-22,20:00,Ligue 2,Matchweek 9,Fri,Away,W,2,1,Quevilly-Rouen,49.0,718,Danilson da Cruz,4-4-2,4-1-4-1,Alexandre Perreau Niel,Match Report,,2017-2018,Reims
2017-09-30,15:00,Ligue 2,Matchweek 10,Sat,Home,W,1,0,Clermont Foot,47.0,9015,Danilson da Cruz,4-2-3-1,4-2-3-1,Eric Wattellier,Match Report,,2017-2018,Reims
2017-10-13,20:00,Ligue 2,Matchweek 11,Fri,Away,L,1,3,Châteauroux,69.0,3319,Danilson da Cruz,4-4-2,5-3-2,Stéphanie Frappart,Match Report,,2017-2018,Reims
2017-10-21,15:00,Ligue 2,Matchweek 12,Sat,Away,W,1,0,Lens,28.0,35520,Danilson da Cruz,4-4-2,4-2-3-1,Jeremy Stinat,Match Report,,2017-2018,Reims
2017-10-28,15:00,Ligue 2,Matchweek 13,Sat,Home,W,3,0,Nancy,49.0,11273,Danilson da Cruz,4-4-2,4-2-3-1,Willy Delajod,Match Report,,2017-2018,Reims
2017-11-06,20:45,Ligue 2,Matchweek 14,Mon,Away,D,0,0,Le Havre,49.0,6857,Danilson da Cruz,4-4-2,4-2-3-1,Tony Chapron,Match Report,,2017-2018,Reims
2017-11-12,14:30,Coupe de France,Seventh round,Sun,Away,W,2,0,Geispolsheim,,1343,Julian Jeanvier,,,Thierry Bouille,Match Report,,2017-2018,Reims
2017-11-17,20:00,Ligue 2,Matchweek 15,Fri,Home,D,1,1,Paris FC,51.0,10005,Danilson da Cruz,4-4-2,4-3-3,Amaury Delerue,Match Report,,2017-2018,Reims
2017-11-24,20:00,Ligue 2,Matchweek 16,Fri,Away,W,1,0,Ajaccio,49.0,4527,Danilson da Cruz,4-4-2,4-4-1-1,Olivier Thual,Match Report,,2017-2018,Reims
2017-11-27,20:45,Ligue 2,Matchweek 17,Mon,Home,W,2,0,Auxerre,42.0,7612,Danilson da Cruz,4-2-3-1,4-2-3-1,Sébastien Moreira,Match Report,,2017-2018,Reims
2017-12-03,13:45,Coupe de France,Eighth round,Sun,Away,L,2,3,Lens,,11542,Julian Jeanvier,,,Johan Hamel,Match Report,Required Extra Time,2017-2018,Reims
2017-12-08,20:00,Ligue 2,Matchweek 18,Fri,Away,W,2,1,Niort,53.0,3788,Danilson da Cruz,4-4-2,4-3-3,Pierre Gaillouste,Match Report,,2017-2018,Reims
2017-12-16,14:55,Ligue 2,Matchweek 19,Sat,Home,W,5,1,Valenciennes,55.0,9415,Danilson da Cruz,4-4-2,4-2-3-1,Eric Wattellier,Match Report,,2017-2018,Reims
2018-01-12,20:00,Ligue 2,Matchweek 20,Fri,Away,W,2,0,Orléans,39.0,3480,Danilson da Cruz,4-4-2,4-5-1,Alexandre Castro,Match Report,,2017-2018,Reims
2018-01-16,21:00,Ligue 2,Matchweek 21,Tue,Home,W,1,0,Tours,41.0,7356,Danilson da Cruz,4-4-2,4-3-3,Stéphanie Frappart,Match Report,,2017-2018,Reims
2018-01-19,20:00,Ligue 2,Matchweek 22,Fri,Away,W,2,0,Bourg-Péronnas,52.0,3002,Danilson da Cruz,4-2-3-1,4-2-3-1,Pierre Gaillouste,Match Report,,2017-2018,Reims
2018-01-29,20:45,Ligue 2,Matchweek 23,Mon,Home,L,0,1,Lorient,44.0,9322,Danilson da Cruz,4-4-2,4-2-3-1,Stéphane Jochem,Match Report,,2017-2018,Reims
2018-02-05,20:45,Ligue 2,Matchweek 24,Mon,Away,D,0,0,Brest,41.0,7221,Danilson da Cruz,4-2-3-1,4-4-1-1,Franck Schneider,Match Report,,2017-2018,Reims
2018-02-09,20:00,Ligue 2,Matchweek 25,Fri,Home,W,3,0,Sochaux,45.0,7293,Danilson da Cruz,4-2-3-1,4-1-4-1,Jeremy Stinat,Match Report,,2017-2018,Reims
