Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-11,20:00,Ligue 1,Matchweek 1,Sat,Away,W,1,0,Nice,0.3,1.2,31.0,21421,Marvin Martin,4-2-3-1,4-3-3,Johan Hamel,Match Report,,2018-2019,Reims
2018-08-17,20:45,Ligue 1,Matchweek 2,Fri,Home,W,1,0,Lyon,0.6,1.1,34.0,18917,Marvin Martin,4-2-3-1,4-3-3,Ruddy Buquet,Match Report,,2018-2019,Reims
2018-08-25,20:00,Ligue 1,Matchweek 3,Sat,Away,L,1,4,Amiens,0.9,1.6,42.0,10709,Marvin Martin,4-2-3-1,4-2-3-1,Florent Batta,Match Report,,2018-2019,Reims
2018-09-01,20:00,Ligue 1,Matchweek 4,Sat,Home,L,0,1,Montpellier,1.2,0.8,57.0,12042,Pablo Chavarría,4-3-3,3-4-3,Jeremy Stinat,Match Report,,2018-2019,Reims
2018-09-16,15:00,Ligue 1,Matchweek 5,Sun,Away,D,0,0,Nantes,0.5,0.9,34.0,18981,Alaixys Romao,4-2-3-1,4-3-3,Eric Wattellier,Match Report,,2018-2019,Reims
2018-09-22,20:00,Ligue 1,Matchweek 6,Sat,Home,D,0,0,Dijon,0.9,0.2,43.0,11523,Marvin Martin,4-2-3-1,3-5-1-1,Jérôme Brisard,Match Report,,2018-2019,Reims
2018-09-26,21:00,Ligue 1,Matchweek 7,Wed,Away,L,1,4,Paris S-G,0.4,3.5,29.0,47237,Alaixys Romao,4-1-4-1,4-2-3-1,Olivier Thual,Match Report,,2018-2019,Reims
2018-09-29,20:00,Ligue 1,Matchweek 8,Sat,Home,D,0,0,Bordeaux,0.9,0.3,51.0,13406,Marvin Martin,4-1-2-1-2◆,4-3-3,Hakim Ben El Hadj Salem,Match Report,,2018-2019,Reims
2018-10-06,20:00,Ligue 1,Matchweek 9,Sat,Away,D,0,0,Nîmes,1.2,0.9,37.0,12958,Alaixys Romao,4-2-3-1,4-4-2,Karim Abed,Match Report,,2018-2019,Reims
2018-10-20,20:00,Ligue 1,Matchweek 10,Sat,Home,D,1,1,Angers,1.1,1.7,56.0,10954,Alaixys Romao,4-2-3-1,4-3-3,Eric Wattellier,Match Report,,2018-2019,Reims
2018-10-28,15:00,Ligue 1,Matchweek 11,Sun,Away,W,2,0,Rennes,0.3,0.6,33.0,22710,Marvin Martin,4-2-3-1,4-2-3-1,Benoît Millot,Match Report,,2018-2019,Reims
2018-10-31,21:05,Coupe de la Ligue,Third round,Wed,Home,D,1 (2),1 (3),Orléans,,,,5237,Edouard Mendy,4-4-2,4-4-2,William Lavis,Match Report,Orléans won on penalty kicks following extra time,2018-2019,Reims
2018-11-03,20:00,Ligue 1,Matchweek 12,Sat,Home,W,1,0,Monaco,1.1,1.0,29.0,16005,Marvin Martin,4-2-3-1,3-4-3,Hakim Ben El Hadj Salem,Match Report,,2018-2019,Reims
