Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-08-03,19:30,Trophée des Champions,Trophée des Champions,Sat,Neutral,L,1,2,Paris S-G,,,33.0,22045.0,Damien Da Silva,5-3-2,4-3-3,Benoît Bastien,Match Report,,2019-2020,Rennes
2019-08-10,20:00,Ligue 1,Matchweek 1,Sat,Away,W,1,0,Montpellier,1.2,2.9,44.0,15212.0,Damien Da Silva,5-3-2,3-4-1-2,Willy Delajod,Match Report,,2019-2020,Rennes
2019-08-18,21:00,Ligue 1,Matchweek 2,Sun,Home,W,2,1,Paris S-G,1.2,1.0,38.0,28596.0,Damien Da Silva,5-3-2,4-3-3,Antony Gautier,Match Report,,2019-2020,Rennes
2019-08-25,17:00,Ligue 1,Matchweek 3,Sun,Away,W,2,0,Strasbourg,0.6,1.9,49.0,24951.0,Damien Da Silva,5-3-2,3-4-1-2,Ruddy Buquet,Match Report,,2019-2020,Rennes
2019-09-01,15:00,Ligue 1,Matchweek 4,Sun,Home,L,1,2,Nice,0.8,1.8,46.0,26721.0,Damien Da Silva,5-3-2,4-3-3,Johan Hamel,Match Report,,2019-2020,Rennes
2019-09-14,20:00,Ligue 1,Matchweek 5,Sat,Away,D,0,0,Brest,0.4,0.5,50.0,14937.0,Damien Da Silva,5-3-2,4-2-3-1,Clément Turpin,Match Report,,2019-2020,Rennes
2019-09-19,18:55,Europa Lg,Group stage,Thu,Home,D,1,1,sct Celtic,1.3,1.1,52.0,27026.0,Damien Da Silva,4-1-4-1,4-2-3-1,José Sánchez,Match Report,,2019-2020,Rennes
2019-09-22,15:00,Ligue 1,Matchweek 6,Sun,Home,D,1,1,Lille,0.9,1.1,51.0,25772.0,M'Baye Niang,4-4-2,4-2-3-1,Jérôme Brisard,Match Report,,2019-2020,Rennes
2019-09-25,19:00,Ligue 1,Matchweek 7,Wed,Away,L,0,1,Nantes,1.1,1.4,56.0,26952.0,Damien Da Silva,4-4-2,4-2-3-1,Antony Gautier,Match Report,,2019-2020,Rennes
2019-09-29,21:00,Ligue 1,Matchweek 8,Sun,Away,D,1,1,Marseille,0.9,0.8,45.0,44281.0,Damien Da Silva,5-3-2,4-2-3-1,Franck Schneider,Match Report,,2019-2020,Rennes
