Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-19,18:00,Serie A,Matchweek 1,Sun,Away,W,1,0,Torino,1.2,0.6,57.0,18000,Daniele De Rossi,4-3-3,3-5-2,Marco Di Bello,Match Report,,2018-2019,Roma
2018-08-27,20:30,Serie A,Matchweek 2,Mon,Home,D,3,3,Atalanta,2.5,3.0,55.0,41725,Daniele De Rossi,4-3-3,3-4-1-2,Michael Fabbri,Match Report,,2018-2019,Roma
2018-08-31,20:30,Serie A,Matchweek 3,Fri,Away,L,1,2,Milan,0.3,1.9,49.0,57789,Daniele De Rossi,3-4-1-2,4-3-3,Marco Guida,Match Report,,2018-2019,Roma
2018-09-16,12:30,Serie A,Matchweek 4,Sun,Home,D,2,2,Chievo,2.4,1.6,56.0,39849,Alessandro Florenzi,4-3-3,4-1-2-1-2,Paolo Mazzoleni,Match Report,,2018-2019,Roma
2018-09-19,21:00,Champions Lg,Group stage,Wed,Away,L,0,3,es Real Madrid,0.6,3.5,39.0,69251,Daniele De Rossi,4-3-3,4-3-3,Björn Kuipers,Match Report,,2018-2019,Roma
2018-09-23,15:00,Serie A,Matchweek 5,Sun,Away,L,0,2,Bologna,2.9,0.9,72.0,20067,Daniele De Rossi,4-3-3,3-5-2,Davide Massa,Match Report,,2018-2019,Roma
2018-09-26,21:00,Serie A,Matchweek 6,Wed,Home,W,4,0,Frosinone,2.4,0.6,67.0,34380,Daniele De Rossi,4-2-3-1,5-3-2,Marco Di Bello,Match Report,,2018-2019,Roma
2018-09-29,15:00,Serie A,Matchweek 7,Sat,Home,W,3,1,Lazio,2.0,0.9,45.0,47600,Daniele De Rossi,4-2-3-1,3-5-1-1,Gianluca Rocchi,Match Report,,2018-2019,Roma
2018-10-02,21:00,Champions Lg,Group stage,Tue,Home,W,5,0,cz Viktoria Plzeň,3.1,0.3,65.0,41243,Alessandro Florenzi,4-2-3-1,4-2-3-1,Paweł Raczkowski,Match Report,,2018-2019,Roma
2018-10-06,20:30,Serie A,Matchweek 8,Sat,Away,W,2,0,Empoli,0.8,2.1,56.0,10670,Daniele De Rossi,4-2-3-1,4-3-2-1,Paolo Mazzoleni,Match Report,,2018-2019,Roma
