Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-08-10,20:00,Ligue 1,Matchweek 1,Sat,Away,W,2.0,1.0,Dijon,1.0,2.1,47.0,14334.0,Loïc Perrin,4-2-3-1,4-2-3-1,Thomas Léonard,Match Report,,2019-2020,Saint-Etienne
2019-08-18,15:00,Ligue 1,Matchweek 2,Sun,Home,D,1.0,1.0,Brest,2.3,0.5,55.0,28645.0,Loïc Perrin,4-2-3-1,4-4-2,Johan Hamel,Match Report,,2019-2020,Saint-Etienne
2019-08-28,19:00,Ligue 1,Matchweek 3,Wed,Away,L,0.0,3.0,Lille,0.8,2.4,49.0,36138.0,Loïc Perrin,4-2-3-1,4-2-3-1,Olivier Thual,Match Report,,2019-2020,Saint-Etienne
2019-09-01,21:00,Ligue 1,Matchweek 4,Sun,Away,L,0.0,1.0,Marseille,0.8,0.7,50.0,44074.0,Loïc Perrin,3-4-1-2,4-3-3,Benoît Millot,Match Report,,2019-2020,Saint-Etienne
2019-09-15,17:00,Ligue 1,Matchweek 5,Sun,Home,D,2.0,2.0,Toulouse,1.1,1.9,59.0,24240.0,Loïc Perrin,4-2-3-1,4-2-3-1,Jeremy Stinat,Match Report,,2019-2020,Saint-Etienne
2019-09-19,21:00,Europa Lg,Group stage,Thu,Away,L,2.0,3.0,be Gent,0.6,1.1,53.0,14928.0,Loïc Perrin,5-3-2,4-4-2,Roi Reinshreiber,Match Report,,2019-2020,Saint-Etienne
2019-09-22,17:00,Ligue 1,Matchweek 6,Sun,Away,L,1.0,4.0,Angers,0.8,2.0,50.0,9831.0,Stéphane Ruffier,4-2-3-1,4-1-4-1,Franck Schneider,Match Report,,2019-2020,Saint-Etienne
2019-09-25,19:00,Ligue 1,Matchweek 7,Wed,Home,L,0.0,1.0,Metz,1.3,0.8,53.0,19712.0,Loïc Perrin,4-2-3-1,4-3-3,Eric Wattellier,Match Report,,2019-2020,Saint-Etienne
2019-09-29,17:00,Ligue 1,Matchweek 8,Sun,Away,W,1.0,0.0,Nîmes,0.7,1.8,35.0,13802.0,Loïc Perrin,4-2-3-1,4-3-3,Thomas Léonard,Match Report,,2019-2020,Saint-Etienne
2019-10-03,18:55,Europa Lg,Group stage,Thu,Home,D,1.0,1.0,de Wolfsburg,0.5,0.6,53.0,27000.0,Loïc Perrin,4-2-3-1,3-4-3,Craig Pawson,Match Report,,2019-2020,Saint-Etienne
