Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2022-07-30,15:00,Ligue 2,Matchweek 1,Sat,Away,L,1,2,Dijon,60.0,11465.0,Anthony Briançon,3-1-4-2,4-2-3-1,Romain Lissorgue,Match Report,,2022-2023,Saint-Etienne
2022-08-06,15:00,Ligue 2,Matchweek 2,Sat,Home,D,1,1,Nîmes,68.0,,Jimmy Giraudon,4-3-3,5-3-2,Mathieu Vernice,Match Report,,2022-2023,Saint-Etienne
2022-08-15,20:45,Ligue 2,Matchweek 3,Mon,Away,D,2,2,Quevilly-Rouen,56.0,7500.0,Jimmy Giraudon,4-3-3,4-2-3-1,Alexandre Perreau Niel,Match Report,,2022-2023,Saint-Etienne
2022-08-20,15:00,Ligue 2,Matchweek 4,Sat,Home,L,0,6,Le Havre,37.0,,Anthony Briançon,4-3-3,4-3-3,François Letexier,Match Report,,2022-2023,Saint-Etienne
2022-08-27,19:00,Ligue 2,Matchweek 5,Sat,Away,D,2,2,Valenciennes,51.0,8210.0,Jimmy Giraudon,3-4-3,4-2-3-1,Guillaume Paradis,Match Report,,2022-2023,Saint-Etienne
2022-08-30,20:45,Ligue 2,Matchweek 6,Tue,Home,W,5,0,Bastia,56.0,,Anthony Briançon,3-4-3,3-5-2,Mikael Lesage,Match Report,,2022-2023,Saint-Etienne
2022-09-05,20:45,Ligue 2,Matchweek 7,Mon,Away,D,2,2,Pau FC,46.0,3779.0,Anthony Briançon,3-4-3,5-3-2,Pierre Legat,Match Report,,2022-2023,Saint-Etienne
2022-09-10,15:00,Ligue 2,Matchweek 8,Sat,Home,W,2,0,Bordeaux,53.0,,Anthony Briançon,3-4-1-2,4-3-3,Romain Lissorgue,Match Report,,2022-2023,Saint-Etienne
2022-09-17,15:00,Ligue 2,Matchweek 9,Sat,Away,L,1,2,Guingamp,64.0,11645.0,Anthony Briançon,3-4-1-2,5-3-2,Benjamin Lepaysant,Match Report,,2022-2023,Saint-Etienne
2022-10-01,15:00,Ligue 2,Matchweek 10,Sat,Home,D,2,2,Grenoble,68.0,22959.0,Anthony Briançon,5-3-2,3-1-4-2,Gaël Angoula,Match Report,,2022-2023,Saint-Etienne
2022-10-10,20:45,Ligue 2,Matchweek 11,Mon,Away,L,1,2,Sochaux,46.0,19205.0,Anthony Briançon,5-3-2,4-4-1-1,Guillaume Paradis,Match Report,,2022-2023,Saint-Etienne
