Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-08-18,19:00,La Liga,Matchweek 1,Sun,Away,W,2.0,0.0,Espanyol,1.6,0.2,55.0,19832.0,Jesús Navas,4-3-3,4-4-2,Juan Martínez,Match Report,,2019-2020,Sevilla
2019-08-23,20:00,La Liga,Matchweek 2,Fri,Away,W,1.0,0.0,Granada,1.1,0.5,54.0,15849.0,Jesús Navas,4-2-3-1,4-2-3-1,José Sánchez,Match Report,,2019-2020,Sevilla
2019-08-30,20:00,La Liga,Matchweek 3,Fri,Home,D,1.0,1.0,Celta Vigo,1.5,0.4,63.0,37787.0,Jesús Navas,4-3-3,4-4-2,Carlos del Cerro,Match Report,,2019-2020,Sevilla
2019-09-15,14:00,La Liga,Matchweek 4,Sun,Away,W,1.0,0.0,Alavés,1.1,0.8,61.0,16309.0,Jesús Navas,4-3-3,4-4-2,Alejandro Hernández,Match Report,,2019-2020,Sevilla
2019-09-19,20:55,Europa Lg,Group stage,Thu,Away,W,3.0,0.0,az Qarabağ,1.7,0.7,70.0,30826.0,Sergio Escudero,4-3-3,4-1-4-1,Yevhen Aranovskyi,Match Report,,2019-2020,Sevilla
2019-09-22,21:00,La Liga,Matchweek 5,Sun,Home,L,0.0,1.0,Real Madrid,0.5,1.2,55.0,42354.0,Jesús Navas,4-3-3,4-2-3-1,Juan Martínez,Match Report,,2019-2020,Sevilla
2019-09-26,19:00,La Liga,Matchweek 6,Thu,Away,L,2.0,3.0,Eibar,1.4,1.5,53.0,5434.0,Jesús Navas,4-3-3,4-2-3-1,Pablo González,Match Report,,2019-2020,Sevilla
2019-09-29,21:00,La Liga,Matchweek 7,Sun,Home,W,3.0,2.0,Real Sociedad,1.7,0.8,52.0,37414.0,Jesús Navas,4-3-3,4-3-3,Alberola Rojas,Match Report,,2019-2020,Sevilla
2019-10-03,21:00,Europa Lg,Group stage,Thu,Home,W,1.0,0.0,cy APOEL,2.2,0.1,77.0,30008.0,Sergio Escudero,4-3-3,5-4-1,Bas Nijhuis,Match Report,,2019-2020,Sevilla
2019-10-06,21:00,La Liga,Matchweek 8,Sun,Away,L,0.0,4.0,Barcelona,2.5,2.1,44.0,81331.0,Jesús Navas,4-3-3,4-3-3,Antonio Matéu Lahoz,Match Report,,2019-2020,Sevilla
