Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2023-08-04,20:00,Championship,Matchweek 1,Fri,Away,W,2,1,Sheffield Weds,1.4,0.5,80,28558,James Ward-Prowse,4-3-3,4-2-3-1,Robert Madley,Match Report,,2023-2024,Southampton
2023-08-08,19:45,EFL Cup,First round,Tue,Away,L,1,3,Gillingham,,,72,7775,Che Adams,4-4-2,4-2-3-1,Carl Brook,Match Report,,2023-2024,Southampton
2023-08-12,15:00,Championship,Matchweek 2,Sat,Home,D,4,4,Norwich City,3.7,2.0,69,30113,Jack Stephens,4-3-3,4-3-1-2,Darren England,Match Report,,2023-2024,Southampton
2023-08-19,12:30,Championship,Matchweek 3,Sat,Away,W,2,1,Plymouth Argyle,2.0,1.4,62,16392,Jack Stephens,4-3-3,4-3-3,David Webb,Match Report,,2023-2024,Southampton
2023-08-26,15:00,Championship,Matchweek 4,Sat,Home,W,2,1,QPR,0.4,0.6,73,30401,Jack Stephens,4-3-3,5-4-1,James Bell,Match Report,,2023-2024,Southampton
2023-09-02,12:30,Championship,Matchweek 5,Sat,Away,L,0,5,Sunderland,0.8,1.9,67,41459,Adam Armstrong,4-3-3,4-2-3-1,David Coote,Match Report,,2023-2024,Southampton
2023-09-15,20:00,Championship,Matchweek 6,Fri,Home,L,1,4,Leicester City,1.6,4.1,55,28877,Adam Armstrong,4-4-2,4-3-3,Robert Madley,Match Report,,2023-2024,Southampton
2023-09-19,19:45,Championship,Matchweek 7,Tue,Home,L,0,1,Ipswich Town,0.8,0.7,58,27265,Adam Armstrong,4-3-3,4-2-3-1,Joshua Smith,Match Report,,2023-2024,Southampton
2023-09-23,15:00,Championship,Matchweek 8,Sat,Away,L,1,2,Middlesbrough,1.4,3.0,49,26141,Adam Armstrong,4-3-3,4-2-3-1,Tim Robinson,Match Report,,2023-2024,Southampton
2023-09-30,12:30,Championship,Matchweek 9,Sat,Home,W,3,1,Leeds United,1.5,0.9,47,30372,Adam Armstrong,4-3-3,4-2-3-1,John Brooks,Match Report,,2023-2024,Southampton
2023-10-03,20:00,Championship,Matchweek 10,Tue,Away,W,1,0,Stoke City,0.9,0.7,57,20002,Adam Armstrong,4-3-3,4-1-2-1-2,James Bell,Match Report,,2023-2024,Southampton
2023-10-07,15:00,Championship,Matchweek 11,Sat,Home,D,1,1,Rotherham Utd,3.1,0.1,80,28404,Adam Armstrong,4-3-3,4-5-1,John Busby,Match Report,,2023-2024,Southampton
2023-10-21,15:00,Championship,Matchweek 12,Sat,Away,W,2,1,Hull City,1.5,1.2,57,21524,Adam Armstrong,4-3-3,4-2-3-1,Geoff Eltringham,Match Report,,2023-2024,Southampton
2023-10-25,19:45,Championship,Matchweek 13,Wed,Away,D,2,2,Preston,0.8,0.8,71,15346,Adam Armstrong,4-3-3,3-4-3,Jeremy Simpson,Match Report,,2023-2024,Southampton
2023-10-28,12:30,Championship,Matchweek 14,Sat,Home,W,3,1,Birmingham City,2.3,0.6,70,28924,Adam Armstrong,4-3-3,4-2-3-1,David Webb,Match Report,,2023-2024,Southampton
2023-11-04,15:00,Championship,Matchweek 15,Sat,Away,W,1,0,Millwall,1.1,0.5,72,18905,Adam Armstrong,4-3-3,4-4-2,James Linington,Match Report,,2023-2024,Southampton
2023-11-11,15:00,Championship,Matchweek 16,Sat,Home,W,2,1,West Brom,1.1,2.0,52,30160,Adam Armstrong,4-4-2,4-4-2,Tom Nield,Match Report,,2023-2024,Southampton
2023-11-25,15:00,Championship,Matchweek 17,Sat,Away,D,1,1,Huddersfield,1.5,0.5,77,19387,Adam Armstrong,4-3-3,3-4-3,David Webb,Match Report,,2023-2024,Southampton
2023-11-29,19:45,Championship,Matchweek 18,Wed,Home,W,1,0,Bristol City,0.7,0.8,66,28047,Adam Armstrong,4-3-2-1,3-4-3,Keith Stroud,Match Report,,2023-2024,Southampton
2023-12-02,15:00,Championship,Matchweek 19,Sat,Home,W,2,0,Cardiff City,2.5,0.8,64,28659,Adam Armstrong,4-3-2-1,4-2-3-1,James Bell,Match Report,,2023-2024,Southampton
2023-12-09,15:00,Championship,Matchweek 20,Sat,Away,D,1,1,Watford,0.8,0.6,60,19797,Adam Armstrong,4-3-2-1,4-2-3-1,Geoff Eltringham,Match Report,,2023-2024,Southampton
2023-12-13,19:45,Championship,Matchweek 21,Wed,Away,D,1,1,Coventry City,0.7,0.6,71,23996,Adam Armstrong,4-3-2-1,4-4-2,Ben Toner,Match Report,,2023-2024,Southampton
2023-12-16,15:00,Championship,Matchweek 22,Sat,Home,W,4,0,Blackburn,3.9,0.7,73,27545,Adam Armstrong,4-3-2-1,4-3-3,Graham Scott,Match Report,,2023-2024,Southampton
2023-12-23,15:00,Championship,Matchweek 23,Sat,Away,W,1,0,QPR,1.6,0.4,61,17745,Adam Armstrong,4-3-2-1,4-1-4-1,Oliver Langford,Match Report,,2023-2024,Southampton
2023-12-26,15:00,Championship,Matchweek 24,Tue,Home,W,5,0,Swansea City,2.0,0.4,60,30279,Jack Stephens,4-3-2-1,4-2-3-1,Keith Stroud,Match Report,,2023-2024,Southampton
2023-12-29,18:00,Championship,Matchweek 25,Fri,Home,W,2,1,Plymouth Argyle,2.9,0.5,77,30559,Adam Armstrong,4-3-2-1,5-4-1,James Linington,Match Report,,2023-2024,Southampton
2024-01-01,15:00,Championship,Matchweek 26,Mon,Away,D,1,1,Norwich City,2.5,0.8,75,26467,Jack Stephens,3-4-3,5-4-1,Darren England,Match Report,,2023-2024,Southampton
