Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-07-29,20:30,2. Bundesliga,Matchweek 1,Mon,Away,D,1,1,Arminia,33,23857.0,Christopher Avevor,4-1-4-1,4-1-4-1,Bastian Dankert,Match Report,,2019-2020,St. Pauli
2019-08-02,20:30,2. Bundesliga,Matchweek 2,Fri,Home,L,1,3,Greuther Fürth,60,29546.0,Christopher Avevor,4-1-4-1,4-1-4-1,Sven Jablonski,Match Report,,2019-2020,St. Pauli
2019-08-11,15:30,DFB-Pokal,First round,Sun,Away,D,3 (4),3 (3),Lübeck,68,15292.0,Daniel Buballa,3-4-1-2,3-5-2,Frank Willenborg,Match Report,St. Pauli won on penalty kicks following extra time,2019-2020,St. Pauli
2019-08-17,13:00,2. Bundesliga,Matchweek 3,Sat,Away,L,1,2,Stuttgart,32,53315.0,Daniel Buballa,4-2-3-1,4-4-2,Guido Winkmann,Match Report,,2019-2020,St. Pauli
2019-08-26,20:30,2. Bundesliga,Matchweek 4,Mon,Home,W,2,1,Holstein Kiel,45,29546.0,Daniel Buballa,3-4-1-2,4-2-3-1,Markus Schmidt,Match Report,,2019-2020,St. Pauli
2019-08-31,13:00,2. Bundesliga,Matchweek 5,Sat,Away,D,3,3,Dresden,43,29953.0,Daniel Buballa,4-2-3-1,3-4-3,Benjamin Cortus,Match Report,,2019-2020,St. Pauli
2019-09-16,20:30,2. Bundesliga,Matchweek 6,Mon,Home,W,2,0,Hamburger SV,37,29226.0,Daniel Buballa,4-2-3-1,4-1-4-1,Sven Jablonski,Match Report,,2019-2020,St. Pauli
2019-09-22,13:30,2. Bundesliga,Matchweek 7,Sun,Away,D,1,1,Osnabrück,43,16000.0,Daniel Buballa,4-2-3-1,4-2-3-1,Martin Petersen,Match Report,,2019-2020,St. Pauli
2019-09-29,13:30,2. Bundesliga,Matchweek 8,Sun,Home,W,2,0,Sandhausen,53,29546.0,Daniel Buballa,4-1-4-1,4-2-3-1,Matthias Jöllenbeck,Match Report,,2019-2020,St. Pauli
2019-10-06,13:30,2. Bundesliga,Matchweek 9,Sun,Away,D,1,1,Nürnberg,48,32117.0,Daniel Buballa,4-1-4-1,4-3-3,Lasse Koslowski,Match Report,,2019-2020,St. Pauli
2019-10-19,13:00,2. Bundesliga,Matchweek 10,Sat,Home,L,0,1,Darmstadt 98,62,29412.0,Daniel Buballa,4-1-4-1,4-4-1-1,Tobias Reichel,Match Report,,2019-2020,St. Pauli
2019-10-27,13:30,2. Bundesliga,Matchweek 11,Sun,Away,L,0,1,Heidenheim,52,13500.0,Daniel Buballa,3-4-1-2,4-4-2,Martin Thomsen,Match Report,,2019-2020,St. Pauli
2019-10-30,20:45,DFB-Pokal,Second round,Wed,Home,L,1,2,Eint Frankfurt,40,29500.0,Daniel Buballa,3-5-1-1,3-1-4-2,Matthias Jöllenbeck,Match Report,,2019-2020,St. Pauli
2019-11-02,13:00,2. Bundesliga,Matchweek 12,Sat,Home,D,2,2,Karlsruher,57,29546.0,Daniel Buballa,4-2-3-1,4-1-3-2,Christof Günsch,Match Report,,2019-2020,St. Pauli
2019-11-08,18:30,2. Bundesliga,Matchweek 13,Fri,Home,D,1,1,Bochum,46,29546.0,Daniel Buballa,4-1-4-1,4-2-3-1,Florian Badstübner,Match Report,,2019-2020,St. Pauli
2019-11-22,18:30,2. Bundesliga,Matchweek 14,Fri,Away,L,1,3,Erzgebirge Aue,54,14000.0,Jan-Philipp Kalla,4-1-4-1,4-2-3-1,Markus Schmidt,Match Report,,2019-2020,St. Pauli
2019-11-30,13:00,2. Bundesliga,Matchweek 15,Sat,Home,L,0,1,Hannover 96,57,29546.0,Jan-Philipp Kalla,4-1-4-1,4-2-3-1,Robert Hartmann,Match Report,,2019-2020,St. Pauli
2019-12-08,13:30,2. Bundesliga,Matchweek 16,Sun,Away,L,0,1,Jahn R'burg,46,15026.0,Waldemar Sobota,3-4-3,4-4-2,Sven Waschitzki,Match Report,,2019-2020,St. Pauli
2019-12-14,13:00,2. Bundesliga,Matchweek 17,Sat,Home,W,3,1,Wehen,59,29211.0,Waldemar Sobota,4-1-4-1,5-4-1,Robert Kempter,Match Report,,2019-2020,St. Pauli
2019-12-21,13:00,2. Bundesliga,Matchweek 18,Sat,Home,W,3,0,Arminia,41,29546.0,Daniel Buballa,4-1-4-1,4-2-3-1,Manuel Gräfe,Match Report,,2019-2020,St. Pauli
2020-01-28,20:30,2. Bundesliga,Matchweek 19,Tue,Away,L,0,3,Greuther Fürth,50,9220.0,Daniel Buballa,3-4-1-2,4-4-2,Christof Günsch,Match Report,,2019-2020,St. Pauli
2020-02-01,13:00,2. Bundesliga,Matchweek 20,Sat,Home,D,1,1,Stuttgart,39,29546.0,Daniel Buballa,4-1-4-1,3-5-1-1,Felix Brych,Match Report,,2019-2020,St. Pauli
2020-02-10,20:30,2. Bundesliga,Matchweek 21,Mon,Away,L,1,2,Holstein Kiel,42,14129.0,Daniel Buballa,4-2-3-1,4-3-3,Aarne Aarnink,Match Report,,2019-2020,St. Pauli
2020-02-14,18:30,2. Bundesliga,Matchweek 22,Fri,Home,D,0,0,Dresden,65,28980.0,Daniel Buballa,4-1-4-1,4-2-3-1,Daniel Schlager,Match Report,,2019-2020,St. Pauli
2020-02-22,13:00,2. Bundesliga,Matchweek 23,Sat,Away,W,2,0,Hamburger SV,33,57000.0,Daniel Buballa,3-1-4-2,4-3-3,Manuel Gräfe,Match Report,,2019-2020,St. Pauli
2020-03-01,13:30,2. Bundesliga,Matchweek 24,Sun,Home,W,3,1,Osnabrück,42,29546.0,Daniel Buballa,3-1-4-2,3-4-3,Daniel Siebert,Match Report,,2019-2020,St. Pauli
2020-03-08,13:30,2. Bundesliga,Matchweek 25,Sun,Away,D,2,2,Sandhausen,52,9872.0,Daniel Buballa,3-1-4-2,4-4-2,René Rohde,Match Report,,2019-2020,St. Pauli
2020-05-17,13:30,2. Bundesliga,Matchweek 26,Sun,Home,W,1,0,Nürnberg,51,,Daniel Buballa,3-1-4-2,4-2-3-1,Daniel Siebert,Match Report,,2019-2020,St. Pauli
2020-05-23,13:00,2. Bundesliga,Matchweek 27,Sat,Away,L,0,4,Darmstadt 98,60,,Daniel Buballa,4-1-4-1,4-2-3-1,Benedikt Kempkes,Match Report,,2019-2020,St. Pauli
2020-05-27,18:30,2. Bundesliga,Matchweek 28,Wed,Home,D,0,0,Heidenheim,47,,Daniel Buballa,3-4-3,4-2-3-1,Lasse Koslowski,Match Report,,2019-2020,St. Pauli
2020-05-30,13:00,2. Bundesliga,Matchweek 29,Sat,Away,D,1,1,Karlsruher,36,,Daniel Buballa,4-4-2,4-1-4-1,Markus Schmidt,Match Report,,2019-2020,St. Pauli
2020-06-05,18:30,2. Bundesliga,Matchweek 30,Fri,Away,L,0,2,Bochum,43,,Waldemar Sobota,4-2-3-1,4-2-3-1,Florian Heft,Match Report,,2019-2020,St. Pauli
2020-06-14,13:30,2. Bundesliga,Matchweek 31,Sun,Home,W,2,1,Erzgebirge Aue,51,,Daniel Buballa,4-3-1-2,4-4-2,Thorben Siewer,Match Report,,2019-2020,St. Pauli
2020-06-17,18:30,2. Bundesliga,Matchweek 32,Wed,Away,L,0,4,Hannover 96,44,,Daniel Buballa,4-3-1-2,4-3-1-2,Alexander Sather,Match Report,,2019-2020,St. Pauli
2020-06-21,15:30,2. Bundesliga,Matchweek 33,Sun,Home,D,1,1,Jahn R'burg,54,,Waldemar Sobota,4-4-2◆,4-2-3-1,Florian Heft,Match Report,,2019-2020,St. Pauli
2020-06-28,15:30,2. Bundesliga,Matchweek 34,Sun,Away,L,3,5,Wehen,37,,Henk Veerman,4-4-2,4-2-3-1,Christian Dingert,Match Report,,2019-2020,St. Pauli
