Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-07-25,20:45,Europa Lg,Second qualifying round,Thu,Home,W,3,1,il Maccabi Haifa,,,,20137.0,Jonas Martin,3-5-2,4-4-2,Kevin Blom,Match Report,Leg 1 of 2,2019-2020,Strasbourg
2019-08-01,20:00,Europa Lg,Second qualifying round,Thu,Away,L,1,2,il Maccabi Haifa,,,,23038.0,Stefan Mitrović,5-3-2,3-3-2-2,Maurizio Mariani,Match Report,Leg 2 of 2; Strasbourg won,2019-2020,Strasbourg
2019-08-08,20:30,Europa Lg,Third qualifying round,Thu,Away,W,1,0,bg Loko Plovdiv,,,,7600.0,Stefan Mitrović,4-4-2,3-4-1-2,João Pinheiro,Match Report,Leg 1 of 2,2019-2020,Strasbourg
2019-08-11,17:00,Ligue 1,Matchweek 1,Sun,Home,D,1,1,Metz,1.7,0.3,59.0,25476.0,Stefan Mitrović,3-5-1-1,4-3-3,Antony Gautier,Match Report,,2019-2020,Strasbourg
2019-08-15,20:30,Europa Lg,Third qualifying round,Thu,Home,W,1,0,bg Loko Plovdiv,,,,19109.0,Stefan Mitrović,4-2-3-1,3-4-1-2,John Beaton,Match Report,Leg 2 of 2; Strasbourg won,2019-2020,Strasbourg
2019-08-18,17:00,Ligue 1,Matchweek 2,Sun,Away,D,0,0,Reims,0.4,0.5,41.0,13714.0,Stefan Mitrović,3-5-1-1,4-2-3-1,Florent Batta,Match Report,,2019-2020,Strasbourg
2019-08-22,20:30,Europa Lg,Play-off round,Thu,Home,W,1,0,de Eint Frankfurt,,,46.0,21708.0,Stefan Mitrović,4-4-2,3-5-2,Ivan Kružliak,Match Report,Leg 1 of 2,2019-2020,Strasbourg
2019-08-25,17:00,Ligue 1,Matchweek 3,Sun,Home,L,0,2,Rennes,1.9,0.6,51.0,24951.0,Jonas Martin,3-4-1-2,5-3-2,Ruddy Buquet,Match Report,,2019-2020,Strasbourg
2019-08-29,20:30,Europa Lg,Play-off round,Thu,Away,L,0,3,de Eint Frankfurt,,,54.0,47000.0,Stefan Mitrović,3-4-3,3-4-1-2,Orel Grinfeeld,Match Report,Leg 2 of 2; Eint Frankfurt won,2019-2020,Strasbourg
2019-09-01,17:00,Ligue 1,Matchweek 4,Sun,Home,D,2,2,Monaco,1.5,2.9,59.0,24556.0,Stefan Mitrović,3-4-1-2,3-5-2,Willy Delajod,Match Report,,2019-2020,Strasbourg
2019-09-14,17:30,Ligue 1,Matchweek 5,Sat,Away,L,0,1,Paris S-G,0.5,0.8,38.0,47505.0,Stefan Mitrović,5-3-2,4-2-3-1,Amaury Delerue,Match Report,,2019-2020,Strasbourg
2019-09-20,20:45,Ligue 1,Matchweek 6,Fri,Home,W,2,1,Nantes,2.0,0.6,60.0,24013.0,Stefan Mitrović,3-4-1-2,4-4-1-1,Florent Batta,Match Report,,2019-2020,Strasbourg
2019-09-25,19:00,Ligue 1,Matchweek 7,Wed,Away,L,0,2,Lille,0.3,2.8,36.0,30103.0,Stefan Mitrović,3-5-1-1,4-4-2,Johan Hamel,Match Report,,2019-2020,Strasbourg
2019-09-29,15:00,Ligue 1,Matchweek 8,Sun,Home,W,1,0,Montpellier,0.4,1.4,46.0,25010.0,Lamine Koné,3-5-2,3-4-1-2,Hakim Ben El Hadj Salem,Match Report,,2019-2020,Strasbourg
2019-10-05,20:00,Ligue 1,Matchweek 9,Sat,Away,L,0,1,Dijon,0.8,1.1,57.0,12124.0,Stefan Mitrović,3-5-1-1,4-4-2,Olivier Thual,Match Report,,2019-2020,Strasbourg
2019-10-20,21:00,Ligue 1,Matchweek 10,Sun,Away,L,0,2,Marseille,0.5,1.6,50.0,50203.0,Lamine Koné,4-4-1-1,4-3-3,Hakim Ben El Hadj Salem,Match Report,,2019-2020,Strasbourg
2019-10-26,20:00,Ligue 1,Matchweek 11,Sat,Home,W,1,0,Nice,2.1,0.8,52.0,25007.0,Stefan Mitrović,4-1-2-1-2◆,3-4-1-2,Mikael Lesage,Match Report,,2019-2020,Strasbourg
2019-11-02,20:00,Ligue 1,Matchweek 12,Sat,Away,L,0,1,Angers,1.2,1.2,64.0,9681.0,Stefan Mitrović,4-1-2-1-2◆,4-1-4-1,Florent Batta,Match Report,,2019-2020,Strasbourg
2019-11-09,20:00,Ligue 1,Matchweek 13,Sat,Home,W,4,1,Nîmes,3.5,0.5,60.0,24745.0,Stefan Mitrović,4-1-2-1-2◆,4-4-2,Ruddy Buquet,Match Report,,2019-2020,Strasbourg
2019-11-23,20:00,Ligue 1,Matchweek 14,Sat,Away,W,4,0,Amiens,2.0,0.3,46.0,10358.0,Stefan Mitrović,4-1-2-1-2◆,4-2-3-1,Alain Bieri,Match Report,,2019-2020,Strasbourg
2019-11-30,17:30,Ligue 1,Matchweek 15,Sat,Home,L,1,2,Lyon,0.5,0.7,51.0,25455.0,Stefan Mitrović,4-1-2-1-2◆,4-3-3,Mikael Lesage,Match Report,,2019-2020,Strasbourg
2019-12-03,19:00,Ligue 1,Matchweek 16,Tue,Away,L,0,5,Brest,0.8,2.0,51.0,12437.0,Stefan Mitrović,4-1-2-1-2◆,4-3-3,Jérôme Brisard,Match Report,,2019-2020,Strasbourg
2019-12-07,20:00,Ligue 1,Matchweek 17,Sat,Home,W,4,2,Toulouse,2.3,1.7,54.0,23634.0,Lamine Koné,4-1-2-1-2◆,4-2-3-1,Johan Hamel,Match Report,,2019-2020,Strasbourg
2019-12-15,15:00,Ligue 1,Matchweek 18,Sun,Away,W,1,0,Bordeaux,0.6,1.4,33.0,18710.0,Stefan Mitrović,3-4-3,3-4-3,Florent Batta,Match Report,,2019-2020,Strasbourg
2019-12-18,21:05,Coupe de la Ligue,Round of 16,Wed,Away,W,1,0,Nantes,,,47.0,9565.0,Stefan Mitrović,4-1-4-1,4-2-3-1,Eric Wattellier,Match Report,,2019-2020,Strasbourg
2019-12-21,20:45,Ligue 1,Matchweek 19,Sat,Home,W,2,1,Saint-Étienne,0.6,1.6,41.0,25471.0,Stefan Mitrović,4-1-2-1-2◆,3-4-3,Olivier Thual,Match Report,,2019-2020,Strasbourg
2020-01-04,15:00,Coupe de France,Round of 64,Sat,Away,W,4,1,Stade Portel,,,,7446.0,Lamine Koné,4-3-2-1,3-5-2,Benoît Millot,Match Report,,2019-2020,Strasbourg
2020-01-07,21:00,Coupe de la Ligue,Quarter-finals,Tue,Away,D,0 (2),0 (4),Reims,,,62.0,10202.0,Stefan Mitrović,4-2-3-1,4-2-3-1,François Letexier,Match Report,Reims won on penalty kicks following extra time,2019-2020,Strasbourg
2020-01-11,20:00,Ligue 1,Matchweek 20,Sat,Away,L,0,1,Metz,1.1,0.9,49.0,18079.0,Stefan Mitrović,3-4-3,4-3-3,Jérôme Brisard,Match Report,,2019-2020,Strasbourg
2020-01-18,18:00,Coupe de France,Round of 32,Sat,Away,W,5,1,Angoulême,,,,5104.0,Stefan Mitrović,4-3-1-2,4-2-3-1,Jeremy Stinat,Match Report,,2019-2020,Strasbourg
2020-01-25,20:00,Ligue 1,Matchweek 21,Sat,Away,W,3,1,Monaco,1.1,1.0,40.0,4800.0,Stefan Mitrović,4-1-2-1-2◆,4-2-3-1,Eric Wattellier,Match Report,,2019-2020,Strasbourg
2020-01-29,21:05,Coupe de France,Round of 16,Wed,Away,L,1,3,Marseille,,,41.0,29589.0,Stefan Mitrović,4-4-1-1,4-3-3,Mikael Lesage,Match Report,,2019-2020,Strasbourg
2020-02-01,20:00,Ligue 1,Matchweek 22,Sat,Home,L,1,2,Lille,1.3,1.5,45.0,25139.0,Stefan Mitrović,4-1-2-1-2◆,4-4-2,Stéphanie Frappart,Match Report,,2019-2020,Strasbourg
