Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-13,18:30,DFB-Pokal,First round,Sun,Away,D,2 (4),2 (3),Energie Cottbus,,,65,17516,Simon Terodde,4-1-4-1,4-1-4-1,Benjamin Cortus,Match Report,Stuttgart won on penalty kicks following extra time,2017-2018,Stuttgart
2017-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,L,0,2,Hertha BSC,1.0,0.5,47,44751,Christian Gentner,4-4-2,4-4-2,Sascha Stegemann,Match Report,,2017-2018,Stuttgart
2017-08-26,15:30,Bundesliga,Matchweek 2,Sat,Home,W,1,0,Mainz 05,1.9,0.9,52,53100,Christian Gentner,3-4-3,4-2-3-1,Benjamin Brand,Match Report,,2017-2018,Stuttgart
2017-09-10,18:00,Bundesliga,Matchweek 3,Sun,Away,L,1,3,Schalke 04,1.3,2.0,62,61098,Christian Gentner,3-4-3,3-4-1-2,Frank Willenborg,Match Report,,2017-2018,Stuttgart
2017-09-16,15:30,Bundesliga,Matchweek 4,Sat,Home,W,1,0,Wolfsburg,1.0,0.5,46,50500,Christian Gentner,3-4-3,3-4-1-2,Guido Winkmann,Match Report,,2017-2018,Stuttgart
2017-09-19,18:30,Bundesliga,Matchweek 5,Tue,Away,L,0,2,Gladbach,0.6,1.1,45,44063,Simon Terodde,3-4-3,4-4-2,Sören Storks,Match Report,,2017-2018,Stuttgart
2017-09-23,15:30,Bundesliga,Matchweek 6,Sat,Home,D,0,0,Augsburg,0.7,0.4,63,55202,Simon Terodde,3-4-3,3-4-3,Harm Osmers,Match Report,,2017-2018,Stuttgart
2017-09-30,15:30,Bundesliga,Matchweek 7,Sat,Away,L,1,2,Eint Frankfurt,1.0,1.2,57,51500,Dennis Aogo,3-4-3,4-2-3-1,Felix Brych,Match Report,,2017-2018,Stuttgart
2017-10-13,20:30,Bundesliga,Matchweek 8,Fri,Home,W,2,1,Köln,2.3,2.1,45,58716,Dennis Aogo,3-4-3,4-4-2,Benjamin Cortus,Match Report,,2017-2018,Stuttgart
2017-10-21,15:30,Bundesliga,Matchweek 9,Sat,Away,L,0,1,RB Leipzig,0.8,1.1,43,42558,Simon Terodde,3-4-3,4-2-2-2,Sven Jablonski,Match Report,,2017-2018,Stuttgart
2017-10-25,18:30,DFB-Pokal,Second round,Wed,Away,W,3,1,Kaiserslautern,,,68,28322,Ron-Robert Zieler,3-4-3,3-4-3,Patrick Ittrich,Match Report,,2017-2018,Stuttgart
2017-10-29,18:00,Bundesliga,Matchweek 10,Sun,Home,W,3,0,Freiburg,1.4,0.4,71,58872,Ron-Robert Zieler,4-2-3-1,4-3-3,Tobias Stieler,Match Report,,2017-2018,Stuttgart
2017-11-04,15:30,Bundesliga,Matchweek 11,Sat,Away,L,1,3,Hamburger SV,1.4,1.8,27,54976,Ron-Robert Zieler,4-2-3-1,4-2-3-1,Guido Winkmann,Match Report,,2017-2018,Stuttgart
2017-11-17,20:30,Bundesliga,Matchweek 12,Fri,Home,W,2,1,Dortmund,1.2,1.5,38,58932,Christian Gentner,3-4-3,4-3-3,Frank Willenborg,Match Report,,2017-2018,Stuttgart
2017-11-24,20:30,Bundesliga,Matchweek 13,Fri,Away,D,1,1,Hannover 96,1.7,1.7,53,43500,Christian Gentner,3-4-3,3-4-3,Christian Dingert,Match Report,,2017-2018,Stuttgart
2017-12-02,15:30,Bundesliga,Matchweek 14,Sat,Away,L,0,1,Werder Bremen,1.1,0.7,58,41500,Christian Gentner,3-4-1-2,4-3-3,Bastian Dankert,Match Report,,2017-2018,Stuttgart
2017-12-08,20:30,Bundesliga,Matchweek 15,Fri,Home,L,0,2,Leverkusen,0.4,1.9,59,54650,Christian Gentner,3-4-3,3-4-3,Deniz Aytekin,Match Report,,2017-2018,Stuttgart
2017-12-13,18:30,Bundesliga,Matchweek 16,Wed,Away,L,0,1,Hoffenheim,0.6,1.5,42,30150,Christian Gentner,3-4-3,3-1-4-2,Bibiana Steinhaus,Match Report,,2017-2018,Stuttgart
2017-12-16,15:30,Bundesliga,Matchweek 17,Sat,Home,L,0,1,Bayern Munich,1.2,1.6,43,58885,Christian Gentner,3-4-3,4-1-4-1,Patrick Ittrich,Match Report,,2017-2018,Stuttgart
2017-12-19,18:30,DFB-Pokal,Round of 16,Tue,Away,L,1,3,Mainz 05,,,59,22193,Christian Gentner,3-4-3,3-1-4-2,Tobias Stieler,Match Report,,2017-2018,Stuttgart
2018-01-13,15:30,Bundesliga,Matchweek 18,Sat,Home,W,1,0,Hertha BSC,0.3,1.0,47,57181,Christian Gentner,4-4-2,4-2-3-1,Felix Brych,Match Report,,2017-2018,Stuttgart
