Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-07-26,20:30,2. Bundesliga,Matchweek 1,Fri,Home,W,2,1,Hannover 96,64,52021.0,Marc-Oliver Kempf,4-4-2◆,4-3-3,Felix Brych,Match Report,,2019-2020,Stuttgart
2019-08-04,13:30,2. Bundesliga,Matchweek 2,Sun,Away,D,2,2,Heidenheim,67,15000.0,Marc-Oliver Kempf,4-3-3,4-4-1-1,Benjamin Cortus,Match Report,,2019-2020,Stuttgart
2019-08-12,18:30,DFB-Pokal,First round,Mon,Away,W,1,0,Hansa Rostock,66,24000.0,Marc-Oliver Kempf,4-3-3,5-4-1,Sven Jablonski,Match Report,,2019-2020,Stuttgart
2019-08-17,13:00,2. Bundesliga,Matchweek 3,Sat,Home,W,2,1,St. Pauli,68,53315.0,Marc-Oliver Kempf,4-4-2◆,4-2-3-1,Guido Winkmann,Match Report,,2019-2020,Stuttgart
2019-08-23,18:30,2. Bundesliga,Matchweek 4,Fri,Away,D,0,0,Erzgebirge Aue,74,13950.0,Daniel Didavi,4-3-1-2,5-4-1,Felix Zwayer,Match Report,,2019-2020,Stuttgart
2019-09-02,20:30,2. Bundesliga,Matchweek 5,Mon,Home,W,2,1,Bochum,66,48624.0,Daniel Didavi,4-4-2◆,4-2-3-1,Manuel Gräfe,Match Report,,2019-2020,Stuttgart
2019-09-14,13:00,2. Bundesliga,Matchweek 6,Sat,Away,W,3,2,Jahn R'burg,70,15200.0,Marc-Oliver Kempf,4-4-2◆,4-2-2-2,Tobias Stieler,Match Report,,2019-2020,Stuttgart
2019-09-21,13:00,2. Bundesliga,Matchweek 7,Sat,Home,W,2,0,Greuther Fürth,45,50543.0,Marc-Oliver Kempf,4-3-1-2,4-2-3-1,Sören Storks,Match Report,,2019-2020,Stuttgart
2019-09-27,18:30,2. Bundesliga,Matchweek 8,Fri,Away,W,1,0,Arminia,68,26124.0,Marc-Oliver Kempf,4-3-3,4-3-3,Timo Gerach,Match Report,,2019-2020,Stuttgart
2019-10-04,18:30,2. Bundesliga,Matchweek 9,Fri,Home,L,1,2,Wehen,85,49627.0,Marc-Oliver Kempf,4-4-2◆,5-4-1,Johann Pfeifer,Match Report,,2019-2020,Stuttgart
2019-10-20,13:30,2. Bundesliga,Matchweek 10,Sun,Home,L,0,1,Holstein Kiel,62,54176.0,Marc-Oliver Kempf,4-1-3-2,4-4-2,Benedikt Kempkes,Match Report,,2019-2020,Stuttgart
2019-10-26,13:00,2. Bundesliga,Matchweek 11,Sat,Away,L,2,6,Hamburger SV,64,57000.0,Marc-Oliver Kempf,4-4-2◆,4-3-3,Deniz Aytekin,Match Report,,2019-2020,Stuttgart
2019-10-29,18:30,DFB-Pokal,Second round,Tue,Away,W,2,1,Hamburger SV,55,45503.0,Marc-Oliver Kempf,4-3-3,4-3-3,Bastian Dankert,Match Report,Required Extra Time,2019-2020,Stuttgart
2019-11-03,13:30,2. Bundesliga,Matchweek 12,Sun,Home,W,3,1,Dresden,60,52129.0,Marc-Oliver Kempf,4-3-3,3-4-3,Aarne Aarnink,Match Report,,2019-2020,Stuttgart
2019-11-09,13:00,2. Bundesliga,Matchweek 13,Sat,Away,L,0,1,Osnabrück,73,15801.0,Marc-Oliver Kempf,4-3-3,4-1-3-2,Nicolas Winter,Match Report,,2019-2020,Stuttgart
2019-11-24,13:30,2. Bundesliga,Matchweek 14,Sun,Home,W,3,0,Karlsruher,64,57483.0,Marc-Oliver Kempf,4-3-3,4-1-3-2,Tobias Stieler,Match Report,,2019-2020,Stuttgart
2019-12-01,13:30,2. Bundesliga,Matchweek 15,Sun,Away,L,1,2,Sandhausen,74,13689.0,Pascal Stenzel,4-3-3,4-4-2,Harm Osmers,Match Report,,2019-2020,Stuttgart
2019-12-09,20:30,2. Bundesliga,Matchweek 16,Mon,Home,W,3,1,Nürnberg,74,48971.0,Daniel Didavi,4-3-3,4-1-4-1,Robert Schröder,Match Report,,2019-2020,Stuttgart
2019-12-16,20:30,2. Bundesliga,Matchweek 17,Mon,Away,D,1,1,Darmstadt 98,67,14875.0,Pascal Stenzel,4-3-3,4-2-3-1,Patrick Ittrich,Match Report,,2019-2020,Stuttgart
2019-12-21,13:00,2. Bundesliga,Matchweek 18,Sat,Away,D,2,2,Hannover 96,54,35200.0,Marc-Oliver Kempf,4-4-2◆,3-5-2,Thorben Siewer,Match Report,,2019-2020,Stuttgart
2020-01-29,18:30,2. Bundesliga,Matchweek 19,Wed,Home,W,3,0,Heidenheim,58,52585.0,Marc-Oliver Kempf,4-4-1-1,4-1-4-1,Florian Badstübner,Match Report,,2019-2020,Stuttgart
2020-02-01,13:00,2. Bundesliga,Matchweek 20,Sat,Away,D,1,1,St. Pauli,61,29546.0,Marc-Oliver Kempf,3-5-1-1,4-1-4-1,Felix Brych,Match Report,,2019-2020,Stuttgart
2020-02-05,18:30,DFB-Pokal,Round of 16,Wed,Away,L,1,2,Leverkusen,36,20320.0,Daniel Didavi,3-4-3,4-2-3-1,Bibiana Steinhaus,Match Report,,2019-2020,Stuttgart
2020-02-08,13:00,2. Bundesliga,Matchweek 21,Sat,Home,W,3,0,Erzgebirge Aue,66,50846.0,Daniel Didavi,3-4-3,4-1-4-1,René Rohde,Match Report,,2019-2020,Stuttgart
2020-02-17,20:30,2. Bundesliga,Matchweek 22,Mon,Away,W,1,0,Bochum,62,18090.0,Daniel Didavi,3-4-3,4-2-3-1,Frank Willenborg,Match Report,,2019-2020,Stuttgart
2020-02-22,13:00,2. Bundesliga,Matchweek 23,Sat,Home,W,2,0,Jahn R'burg,63,46924.0,Daniel Didavi,3-4-3,4-2-2-2,Harm Osmers,Match Report,,2019-2020,Stuttgart
2020-02-29,13:00,2. Bundesliga,Matchweek 24,Sat,Away,L,0,2,Greuther Fürth,55,13490.0,Daniel Didavi,3-4-3,5-3-2,Thorben Siewer,Match Report,,2019-2020,Stuttgart
2020-03-09,20:30,2. Bundesliga,Matchweek 25,Mon,Home,D,1,1,Arminia,53,54302.0,Daniel Didavi,4-3-3,4-2-3-1,Bastian Dankert,Match Report,,2019-2020,Stuttgart
2020-05-17,13:30,2. Bundesliga,Matchweek 26,Sun,Away,L,1,2,Wehen,68,,Marc-Oliver Kempf,4-3-3,3-3-3-1,Sascha Stegemann,Match Report,,2019-2020,Stuttgart
