Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-11,21:15,Coppa Italia,Third round,Fri,Home,W,7,1,Trapani,,,,10525,,,,Fabrizio Pasqua,Match Report,,2017-2018,Torino
2017-08-20,20:45,Serie A,Matchweek 1,Sun,Away,D,1,1,Bologna,0.4,0.6,61.0,19033,Andrea Belotti,4-2-3-1,4-3-3,Davide Massa,Match Report,,2017-2018,Torino
2017-08-27,18:00,Serie A,Matchweek 2,Sun,Home,W,3,0,Sassuolo,1.1,0.8,51.0,18289,Emiliano Moretti,4-2-3-1,4-3-3,Paolo Mazzoleni,Match Report,,2017-2018,Torino
2017-09-10,18:00,Serie A,Matchweek 3,Sun,Away,W,1,0,Benevento,1.0,0.9,65.0,11416,Andrea Belotti,4-2-3-1,4-4-2,Rosario Abisso,Match Report,,2017-2018,Torino
2017-09-17,15:00,Serie A,Matchweek 4,Sun,Home,D,2,2,Sampdoria,1.3,1.0,49.0,19879,Andrea Belotti,4-2-3-1,4-3-1-2,Paolo Tagliavento,Match Report,,2017-2018,Torino
2017-09-20,20:45,Serie A,Matchweek 5,Wed,Away,W,3,2,Udinese,1.4,2.4,51.0,14793,Andrea Belotti,4-2-3-1,4-3-3,Gianluca Rocchi,Match Report,,2017-2018,Torino
2017-09-23,20:45,Serie A,Matchweek 6,Sat,Away,L,0,4,Juventus,0.2,2.2,34.0,40856,Andrea Belotti,4-2-3-1,4-4-2,Piero Giacomelli,Match Report,,2017-2018,Torino
2017-10-01,15:00,Serie A,Matchweek 7,Sun,Home,D,2,2,Hellas Verona,1.5,2.7,59.0,16834,Andrea Belotti,4-2-3-1,4-3-3,Claudio Gavillucci,Match Report,,2017-2018,Torino
2017-10-15,15:00,Serie A,Matchweek 8,Sun,Away,D,2,2,Crotone,2.2,0.6,66.0,9563,Emiliano Moretti,4-2-3-1,4-4-2,Paolo Valeri,Match Report,,2017-2018,Torino
2017-10-22,15:00,Serie A,Matchweek 9,Sun,Home,L,0,1,Roma,0.5,0.6,39.0,19646,Emiliano Moretti,4-2-3-1,4-3-3,Antonio Damato,Match Report,,2017-2018,Torino
2017-10-25,20:45,Serie A,Matchweek 10,Wed,Away,L,0,3,Fiorentina,0.6,1.3,53.0,22459,Emiliano Moretti,4-2-3-1,4-3-3,Maurizio Mariani,Match Report,,2017-2018,Torino
2017-10-29,20:45,Serie A,Matchweek 11,Sun,Home,W,2,1,Cagliari,2.8,0.6,54.0,18309,Emiliano Moretti,4-3-3,3-4-1-2,Giampaolo Calvarese,Match Report,,2017-2018,Torino
2017-11-05,12:30,Serie A,Matchweek 12,Sun,Away,D,1,1,Inter,1.0,1.9,46.0,71581,Andrea Belotti,4-3-3,4-2-3-1,Daniele Orsato,Match Report,,2017-2018,Torino
2017-11-19,15:00,Serie A,Matchweek 13,Sun,Home,D,1,1,Chievo,2.9,1.3,59.0,15523,Andrea Belotti,4-3-3,4-3-1-2,Luca Banti,Match Report,,2017-2018,Torino
2017-11-26,15:00,Serie A,Matchweek 14,Sun,Away,D,0,0,Milan,0.9,1.2,46.0,53923,Andrea Belotti,4-3-3,3-5-2,Massimiliano Irrati,Match Report,,2017-2018,Torino
2017-11-29,21:00,Coppa Italia,Fourth round,Wed,Home,W,2,0,Carpi,,,,3931,,,,Lorenzo Illuzzi,Match Report,,2017-2018,Torino
2017-12-02,20:45,Serie A,Matchweek 15,Sat,Home,D,1,1,Atalanta,0.6,1.1,53.0,14605,Andrea Belotti,4-3-3,3-4-3,Paolo Tagliavento,Match Report,,2017-2018,Torino
2017-12-11,21:00,Serie A,Matchweek 16,Mon,Away,W,3,1,Lazio,1.0,1.7,50.0,20000,Andrea Belotti,4-3-3,3-5-1-1,Piero Giacomelli,Match Report,,2017-2018,Torino
