Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-11,20:00,Coppa Italia,Third round,Sat,Home,L,1,2,Benevento,,,,15141,,,,Piero Giacomelli,Match Report,Required Extra Time,2018-2019,Udinese
2018-08-19,20:30,Serie A,Matchweek 1,Sun,Away,D,2,2,Parma,1.9,1.5,55.0,13141,Kevin Lasagna,4-4-1-1,4-3-3,Giampaolo Calvarese,Match Report,,2018-2019,Udinese
2018-08-26,20:30,Serie A,Matchweek 2,Sun,Home,W,1,0,Sampdoria,1.8,0.7,35.0,15770,Valon Behrami,4-3-3,4-3-1-2,Federico La Penna,Match Report,,2018-2019,Udinese
2018-09-02,18:00,Serie A,Matchweek 3,Sun,Away,L,0,1,Fiorentina,0.2,0.9,38.0,31009,Valon Behrami,4-2-3-1,4-3-3,Antonio Giua,Match Report,,2018-2019,Udinese
2018-09-16,15:00,Serie A,Matchweek 4,Sun,Home,D,1,1,Torino,0.3,0.7,35.0,18813,Valon Behrami,4-1-4-1,3-4-3,Paolo Valeri,Match Report,,2018-2019,Udinese
2018-09-23,15:00,Serie A,Matchweek 5,Sun,Away,W,2,0,Chievo,1.1,1.5,41.0,10000,Valon Behrami,4-1-4-1,4-1-2-1-2,Luca Pairetto,Match Report,,2018-2019,Udinese
2018-09-26,19:00,Serie A,Matchweek 6,Wed,Home,L,1,2,Lazio,0.9,1.6,51.0,19455,Kevin Lasagna,4-4-1-1,3-5-1-1,Fabio Maresca,Match Report,,2018-2019,Udinese
2018-09-30,12:30,Serie A,Matchweek 7,Sun,Away,L,1,2,Bologna,1.0,1.6,54.0,19039,Valon Behrami,4-1-4-1,3-5-2,Gianluca Manganiello,Match Report,,2018-2019,Udinese
2018-10-06,18:00,Serie A,Matchweek 8,Sat,Home,L,0,2,Juventus,0.7,2.3,40.0,25000,Valon Behrami,4-1-4-1,4-3-3,Rosario Abisso,Match Report,,2018-2019,Udinese
2018-10-20,20:30,Serie A,Matchweek 9,Sat,Home,L,0,3,Napoli,2.0,1.8,40.0,21449,Valon Behrami,3-5-2,4-4-2,Maurizio Mariani,Match Report,,2018-2019,Udinese
2018-10-28,15:00,Serie A,Matchweek 10,Sun,Away,D,2,2,Genoa,0.5,1.7,63.0,18880,Valon Behrami,3-1-4-2,3-4-1-2,Paolo Mazzoleni,Match Report,,2018-2019,Udinese
2018-11-04,20:30,Serie A,Matchweek 11,Sun,Home,L,0,1,Milan,0.5,0.7,45.0,23540,Kevin Lasagna,3-1-4-2,4-4-2,Marco Di Bello,Match Report,,2018-2019,Udinese
2018-11-11,15:00,Serie A,Matchweek 12,Sun,Away,L,1,2,Empoli,3.9,1.3,61.0,7553,Kevin Lasagna,3-1-4-2,4-3-2-1,Piero Giacomelli,Match Report,,2018-2019,Udinese
2018-11-24,15:00,Serie A,Matchweek 13,Sat,Home,W,1,0,Roma,1.4,1.3,26.0,21986,Valon Behrami,3-5-2,4-2-3-1,Michael Fabbri,Match Report,,2018-2019,Udinese
2018-12-02,15:00,Serie A,Matchweek 14,Sun,Away,D,0,0,Sassuolo,0.1,1.5,35.0,10655,Valon Behrami,5-3-2,4-3-3,Marco Guida,Match Report,,2018-2019,Udinese
2018-12-09,15:00,Serie A,Matchweek 15,Sun,Home,L,1,3,Atalanta,1.0,2.2,32.0,24413,Kevin Lasagna,3-4-3,3-4-1-2,Giampaolo Calvarese,Match Report,,2018-2019,Udinese
