Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-05,15:30,2. Bundesliga,Matchweek 1,Sun,Home,W,1,0,Erzgebirge Aue,50.0,21752,Christopher Trimmel,4-3-3,3-5-2,Benjamin Cortus,Match Report,,2018-2019,Union Berlin
2018-08-13,20:30,2. Bundesliga,Matchweek 2,Mon,Away,D,1,1,Köln,35.0,50000,Christopher Trimmel,4-2-3-1,4-3-3,Daniel Schlager,Match Report,,2018-2019,Union Berlin
2018-08-19,18:30,DFB-Pokal,First round,Sun,Away,W,4,2,Carl Zeiss Jena,46.0,10600,Christopher Trimmel,4-3-3,4-4-2,Felix Brych,Match Report,,2018-2019,Union Berlin
2018-08-26,13:30,2. Bundesliga,Matchweek 3,Sun,Home,W,4,1,St. Pauli,51.0,22012,Christopher Trimmel,4-3-3,4-2-3-1,Sven Jablonski,Match Report,,2018-2019,Union Berlin
2018-09-02,13:30,2. Bundesliga,Matchweek 4,Sun,Away,D,0,0,Sandhausen,48.0,5517,Christopher Trimmel,4-2-3-1,4-2-2-2,Timo Gerach,Match Report,,2018-2019,Union Berlin
2018-09-14,18:30,2. Bundesliga,Matchweek 5,Fri,Home,D,2,2,MSV Duisburg,51.0,20329,Christopher Trimmel,4-2-3-1,4-4-2,Michael Bacher,Match Report,,2018-2019,Union Berlin
2018-09-22,13:00,2. Bundesliga,Matchweek 6,Sat,Away,D,1,1,Arminia,45.0,18114,Christopher Trimmel,4-2-3-1,4-4-2,Martin Thomsen,Match Report,,2018-2019,Union Berlin
2018-09-25,18:30,2. Bundesliga,Matchweek 7,Tue,Home,W,2,0,Holstein Kiel,43.0,20879,Christopher Trimmel,4-2-3-1,4-2-3-1,Benjamin Cortus,Match Report,,2018-2019,Union Berlin
2018-10-01,20:30,2. Bundesliga,Matchweek 8,Mon,Away,W,2,1,Ingolstadt 04,47.0,7068,Christopher Trimmel,4-2-3-1,3-4-1-2,Bastian Dankert,Match Report,,2018-2019,Union Berlin
2018-10-07,13:30,2. Bundesliga,Matchweek 9,Sun,Home,D,1,1,Heidenheim,49.0,20108,Christopher Trimmel,4-2-3-1,4-4-2,Benedikt Kempkes,Match Report,,2018-2019,Union Berlin
