Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-08-11,15:30,DFB-Pokal,First round,Sun,Away,W,6,0,Halberstadt,,,56,6000.0,Christopher Trimmel,4-4-2,4-4-2,Tobias Reichel,Match Report,,2019-2020,Union Berlin
2019-08-18,18:00,Bundesliga,Matchweek 1,Sun,Home,L,0,4,RB Leipzig,1.0,3.4,36,22467.0,Christopher Trimmel,4-2-3-1,3-4-3,Markus Schmidt,Match Report,,2019-2020,Union Berlin
2019-08-24,15:30,Bundesliga,Matchweek 2,Sat,Away,D,1,1,Augsburg,1.1,1.5,46,27703.0,Christopher Trimmel,4-4-2,4-2-3-1,Robert Schröder,Match Report,,2019-2020,Union Berlin
2019-08-31,18:30,Bundesliga,Matchweek 3,Sat,Home,W,3,1,Dortmund,1.4,1.7,27,22012.0,Christopher Trimmel,4-4-2,4-2-3-1,Felix Brych,Match Report,,2019-2020,Union Berlin
2019-09-14,15:30,Bundesliga,Matchweek 4,Sat,Home,L,1,2,Werder Bremen,1.7,2.2,47,22012.0,Christopher Trimmel,4-4-2,4-1-3-2,Tobias Welz,Match Report,,2019-2020,Union Berlin
2019-09-21,15:30,Bundesliga,Matchweek 5,Sat,Away,L,0,2,Leverkusen,0.2,1.4,33,27430.0,Christopher Trimmel,4-4-2,4-2-3-1,Robert Hartmann,Match Report,,2019-2020,Union Berlin
2019-09-27,20:30,Bundesliga,Matchweek 6,Fri,Home,L,1,2,Eint Frankfurt,0.9,2.0,53,22012.0,Christopher Trimmel,4-2-3-1,3-4-1-2,Sascha Stegemann,Match Report,,2019-2020,Union Berlin
2019-10-06,15:30,Bundesliga,Matchweek 7,Sun,Away,L,0,1,Wolfsburg,0.7,1.8,48,27012.0,Christopher Trimmel,3-4-3,3-4-3,Bastian Dankert,Match Report,,2019-2020,Union Berlin
2019-10-19,15:30,Bundesliga,Matchweek 8,Sat,Home,W,2,0,Freiburg,1.5,0.7,40,22012.0,Christopher Trimmel,3-4-3,3-4-3,Benjamin Cortus,Match Report,,2019-2020,Union Berlin
2019-10-26,15:30,Bundesliga,Matchweek 9,Sat,Away,L,1,2,Bayern Munich,1.7,2.7,35,75000.0,Christopher Trimmel,4-2-3-1,4-1-4-1,Marco Fritz,Match Report,,2019-2020,Union Berlin
2019-10-29,18:30,DFB-Pokal,Second round,Tue,Away,W,3,1,Freiburg,,,39,24000.0,Marvin Friedrich,3-4-3,3-4-3,Robert Kampka,Match Report,,2019-2020,Union Berlin
2019-11-02,18:30,Bundesliga,Matchweek 10,Sat,Home,W,1,0,Hertha BSC,1.6,0.4,54,22012.0,Christopher Trimmel,3-4-3,4-2-3-1,Deniz Aytekin,Match Report,,2019-2020,Union Berlin
2019-11-09,15:30,Bundesliga,Matchweek 11,Sat,Away,W,3,2,Mainz 05,1.1,2.3,44,24349.0,Christopher Trimmel,3-4-1-2,4-3-1-2,Harm Osmers,Match Report,,2019-2020,Union Berlin
2019-11-23,15:30,Bundesliga,Matchweek 12,Sat,Home,W,2,0,Gladbach,1.8,1.2,37,22012.0,Christopher Trimmel,3-4-1-2,4-2-3-1,Felix Brych,Match Report,,2019-2020,Union Berlin
2019-11-29,20:30,Bundesliga,Matchweek 13,Fri,Away,L,1,2,Schalke 04,1.6,1.5,44,61837.0,Christopher Trimmel,3-4-3,4-2-3-1,Daniel Schlager,Match Report,,2019-2020,Union Berlin
2019-12-08,15:30,Bundesliga,Matchweek 14,Sun,Home,W,2,0,Köln,1.9,1.2,55,22012.0,Christopher Trimmel,3-4-3,4-4-1-1,Patrick Ittrich,Match Report,,2019-2020,Union Berlin
2019-12-14,15:30,Bundesliga,Matchweek 15,Sat,Away,D,1,1,Paderborn 07,1.9,1.4,44,14414.0,Christopher Trimmel,3-4-3,4-4-2,Sven Jablonski,Match Report,,2019-2020,Union Berlin
2019-12-17,20:30,Bundesliga,Matchweek 16,Tue,Home,L,0,2,Hoffenheim,1.5,0.8,49,20350.0,Christopher Trimmel,3-4-1-2,4-2-3-1,Sören Storks,Match Report,,2019-2020,Union Berlin
2019-12-22,15:30,Bundesliga,Matchweek 17,Sun,Away,L,1,2,Düsseldorf,2.2,1.3,52,45490.0,Christopher Trimmel,3-4-3,4-3-3,Benjamin Cortus,Match Report,,2019-2020,Union Berlin
2020-01-18,18:30,Bundesliga,Matchweek 18,Sat,Away,L,1,3,RB Leipzig,0.9,1.7,35,42146.0,Marvin Friedrich,3-4-3,4-2-3-1,Bastian Dankert,Match Report,,2019-2020,Union Berlin
2020-01-25,15:30,Bundesliga,Matchweek 19,Sat,Home,W,2,0,Augsburg,0.8,1.6,45,22012.0,Christopher Trimmel,3-4-1-2,4-2-3-1,Bibiana Steinhaus,Match Report,,2019-2020,Union Berlin
2020-02-01,15:30,Bundesliga,Matchweek 20,Sat,Away,L,0,5,Dortmund,0.4,2.9,34,81365.0,Christopher Trimmel,3-4-3,3-4-3,Benjamin Cortus,Match Report,,2019-2020,Union Berlin
2020-02-05,18:30,DFB-Pokal,Round of 16,Wed,Away,W,1,0,Verl,,,51,5135.0,Christopher Trimmel,3-4-3,4-3-3,Sven Jablonski,Match Report,,2019-2020,Union Berlin
2020-02-08,15:30,Bundesliga,Matchweek 21,Sat,Away,W,2,0,Werder Bremen,2.3,1.0,30,42100.0,Christopher Trimmel,3-4-3,3-4-3,Daniel Schlager,Match Report,,2019-2020,Union Berlin
2020-02-15,15:30,Bundesliga,Matchweek 22,Sat,Home,L,2,3,Leverkusen,2.0,1.7,40,22012.0,Christopher Trimmel,3-4-3,3-4-3,Harm Osmers,Match Report,,2019-2020,Union Berlin
2020-02-24,20:30,Bundesliga,Matchweek 23,Mon,Away,W,2,1,Eint Frankfurt,1.1,2.6,37,47000.0,Marvin Friedrich,3-4-3,4-2-3-1,Deniz Aytekin,Match Report,,2019-2020,Union Berlin
2020-03-01,13:30,Bundesliga,Matchweek 24,Sun,Home,D,2,2,Wolfsburg,0.7,1.9,40,22012.0,Christopher Trimmel,3-4-3,4-4-2,Bastian Dankert,Match Report,,2019-2020,Union Berlin
2020-03-04,18:30,DFB-Pokal,Quarter-finals,Wed,Away,L,1,3,Leverkusen,,,34,18453.0,Marvin Friedrich,3-4-3,3-4-3,Benjamin Cortus,Match Report,,2019-2020,Union Berlin
2020-03-07,15:30,Bundesliga,Matchweek 25,Sat,Away,L,1,3,Freiburg,0.7,1.4,48,24000.0,Christopher Trimmel,3-4-3,3-4-3,Marco Fritz,Match Report,,2019-2020,Union Berlin
2020-05-17,18:00,Bundesliga,Matchweek 26,Sun,Home,L,0,2,Bayern Munich,0.6,1.5,33,,Christopher Trimmel,3-4-3,4-2-3-1,Bastian Dankert,Match Report,,2019-2020,Union Berlin
2020-05-22,20:30,Bundesliga,Matchweek 27,Fri,Away,L,0,4,Hertha BSC,0.3,1.9,45,,Christopher Trimmel,3-4-3,4-2-3-1,Harm Osmers,Match Report,,2019-2020,Union Berlin
2020-05-27,20:30,Bundesliga,Matchweek 28,Wed,Home,D,1,1,Mainz 05,0.5,0.6,40,,Christopher Trimmel,3-4-3,4-2-3-1,Robert Schröder,Match Report,,2019-2020,Union Berlin
