Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-20,20:00,La Liga,Matchweek 1,Mon,Home,D,1,1,Atlético Madrid,1.1,0.9,51,46174,Daniel Parejo,4-4-2,4-4-2,Jesús Gil,Match Report,,2018-2019,Valencia
2018-08-26,18:15,La Liga,Matchweek 2,Sun,Away,L,0,2,Espanyol,1.9,1.3,51,18714,Daniel Parejo,4-4-2,4-1-4-1,Carlos del Cerro,Match Report,,2018-2019,Valencia
2018-09-02,12:00,La Liga,Matchweek 3,Sun,Away,D,2,2,Levante,4.1,1.6,54,24073,Daniel Parejo,4-4-2,4-4-2,Javier Estrada,Match Report,,2018-2019,Valencia
2018-09-15,18:30,La Liga,Matchweek 4,Sat,Home,D,0,0,Betis,1.0,1.0,40,40050,Daniel Parejo,4-4-2,3-4-3,Alejandro Hernández,Match Report,,2018-2019,Valencia
2018-09-19,21:00,Champions Lg,Group stage,Wed,Home,L,0,2,it Juventus,2.0,3.7,54,46067,Daniel Parejo,4-4-2,4-3-3,Felix Brych,Match Report,,2018-2019,Valencia
2018-09-23,16:15,La Liga,Matchweek 5,Sun,Away,D,0,0,Villarreal,0.4,0.7,45,18373,Daniel Parejo,4-4-2,4-4-2,Santiago Jaime,Match Report,,2018-2019,Valencia
2018-09-26,22:00,La Liga,Matchweek 6,Wed,Home,D,1,1,Celta Vigo,1.1,0.4,37,35945,Rodrigo,4-4-2,5-3-2,Ricardo de Burgos,Match Report,,2018-2019,Valencia
2018-09-29,13:00,La Liga,Matchweek 7,Sat,Away,W,1,0,Real Sociedad,0.9,1.3,46,23577,Daniel Parejo,4-4-2,4-4-2,Jesús Gil,Match Report,,2018-2019,Valencia
2018-10-02,20:00,Champions Lg,Group stage,Tue,Away,D,0,0,eng Manchester Utd,0.4,0.9,48,73569,Daniel Parejo,4-4-2,4-3-3,Slavko Vinčič,Match Report,,2018-2019,Valencia
2018-10-07,20:45,La Liga,Matchweek 8,Sun,Home,D,1,1,Barcelona,1.5,0.4,25,46249,Daniel Parejo,4-4-2,4-3-3,José González,Match Report,,2018-2019,Valencia
2018-10-20,16:15,La Liga,Matchweek 9,Sat,Home,D,1,1,Leganés,1.3,1.0,59,35597,Daniel Parejo,4-4-2,4-1-4-1,Ignacio Iglesias,Match Report,,2018-2019,Valencia
