Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-19,22:00,La Liga 2,Matchweek 1,Sat,Home,L,1,2,Barcelona B,62.0,7115,Javi Moyano,4-2-3-1,4-2-3-1,Juan Pulido,Match Report,,2017-2018,Valladolid
2017-08-26,20:30,La Liga 2,Matchweek 2,Sat,Away,W,2,1,Sevilla B,52.0,2034,Borja Fernández,4-2-3-1,4-4-2,Valentín Pizarro,Match Report,,2017-2018,Valladolid
2017-09-03,20:30,La Liga 2,Matchweek 3,Sun,Home,W,2,0,Tenerife,51.0,8843,Borja Fernández,4-2-3-1,4-2-3-1,José López,Match Report,,2017-2018,Valladolid
2017-09-06,21:00,Copa del Rey,Second round,Wed,Away,W,2,0,Huesca,,2971,,,,Álvaro Moreno,Match Report,,2017-2018,Valladolid
2017-09-10,18:00,La Liga 2,Matchweek 4,Sun,Away,D,4,4,Leonesa,42.0,10767,Borja Fernández,4-2-3-1,3-4-3,Jorge Figueroa,Match Report,,2017-2018,Valladolid
2017-09-16,16:00,La Liga 2,Matchweek 5,Sat,Home,W,2,1,Granada,51.0,8220,Borja Fernández,4-2-3-1,4-4-2,Adrián Cordero,Match Report,,2017-2018,Valladolid
2017-09-21,20:00,Copa del Rey,Third round,Thu,Away,W,4,0,Leonesa,,7484,,,,David Pérez,Match Report,,2017-2018,Valladolid
2017-09-24,12:00,La Liga 2,Matchweek 6,Sun,Away,L,0,1,Huesca,54.0,1609,Borja Fernández,4-2-3-1,4-1-4-1,Guillermo Cuadra,Match Report,,2017-2018,Valladolid
2017-09-30,16:00,La Liga 2,Matchweek 7,Sat,Home,W,4,1,Córdoba,56.0,8613,Borja Fernández,4-2-3-1,4-2-3-1,Daniel Ocón,Match Report,,2017-2018,Valladolid
2017-10-08,16:00,La Liga 2,Matchweek 8,Sun,Away,L,1,4,Rayo Vallecano,65.0,9116,Borja Fernández,4-2-3-1,4-3-3,Luis Milla,Match Report,,2017-2018,Valladolid
2017-10-12,18:00,La Liga 2,Matchweek 9,Thu,Home,W,4,0,Alcorcón,67.0,9402,Borja Fernández,4-2-3-1,5-4-1,Santiago Varón,Match Report,,2017-2018,Valladolid
2017-10-15,18:00,La Liga 2,Matchweek 10,Sun,Away,D,1,1,Almería,57.0,7260,Borja Fernández,4-2-3-1,4-3-3,Iñaki Bikandi,Match Report,,2017-2018,Valladolid
2017-10-22,16:00,La Liga 2,Matchweek 11,Sun,Home,D,2,2,Lugo,69.0,9341,Borja Fernández,4-2-3-1,4-2-3-1,Dámaso Arcediano,Match Report,,2017-2018,Valladolid
2017-10-25,20:30,Copa del Rey,Round of 32,Wed,Home,L,1,2,Leganés,,7289,,,,Jesús Gil,Match Report,Leg 1 of 2,2017-2018,Valladolid
2017-10-29,20:00,La Liga 2,Matchweek 12,Sun,Away,D,2,2,Reus,61.0,2138,Ángel,4-2-3-1,4-1-4-1,Juan Pulido,Match Report,,2017-2018,Valladolid
2017-11-05,18:00,La Liga 2,Matchweek 13,Sun,Home,L,0,3,Gimnàstic,69.0,9628,Ángel,4-2-3-1,4-4-1-1,Aitor Gorostegui,Match Report,,2017-2018,Valladolid
2017-11-12,20:30,La Liga 2,Matchweek 14,Sun,Away,D,1,1,Sporting Gijón,68.0,18986,Borja Fernández,4-2-3-1,4-4-2,Adrián Cordero,Match Report,,2017-2018,Valladolid
2017-11-18,18:00,La Liga 2,Matchweek 15,Sat,Home,W,3,1,Oviedo,42.0,12386,Borja Fernández,4-2-3-1,4-1-4-1,Rubén Eiriz,Match Report,,2017-2018,Valladolid
2017-11-25,16:00,La Liga 2,Matchweek 16,Sat,Away,L,0,1,Cádiz,69.0,12971,Javi Moyano,4-2-3-1,4-2-3-1,Álvaro Moreno,Match Report,,2017-2018,Valladolid
2017-11-28,19:30,Copa del Rey,Round of 32,Tue,Away,L,0,1,Leganés,,5732,,,,José Luis Munuera,Match Report,Leg 2 of 2; Leganés won,2017-2018,Valladolid
2017-12-03,16:00,La Liga 2,Matchweek 17,Sun,Home,L,2,3,Numancia,50.0,8571,Deivid,4-1-4-1,4-2-3-1,Víctor Areces,Match Report,,2017-2018,Valladolid
2017-12-09,16:00,La Liga 2,Matchweek 18,Sat,Away,L,1,2,Albacete,69.0,5705,Javi Moyano,4-1-4-1,3-1-4-2,Saúl Ais,Match Report,,2017-2018,Valladolid
2017-12-16,18:00,La Liga 2,Matchweek 19,Sat,Home,W,3,0,Lorca FC,49.0,6680,Javi Moyano,4-2-3-1,4-2-3-1,Santiago Varón,Match Report,,2017-2018,Valladolid
2017-12-19,21:00,La Liga 2,Matchweek 20,Tue,Home,W,3,2,Zaragoza,40.0,5559,Javi Moyano,4-2-3-1,4-4-2,Iñaki Bikandi,Match Report,,2017-2018,Valladolid
2018-01-07,12:00,La Liga 2,Matchweek 21,Sun,Away,L,2,4,Osasuna,49.0,9787,Javi Moyano,4-4-2,4-4-2,Isidro Díaz de Mera,Match Report,,2017-2018,Valladolid
2018-01-13,16:00,La Liga 2,Matchweek 22,Sat,Away,W,1,0,Barcelona B,46.0,1643,Javi Moyano,4-2-3-1,3-4-1-2,Daniel Ocón,Match Report,,2017-2018,Valladolid
2018-01-20,16:00,La Liga 2,Matchweek 23,Sat,Home,W,1,0,Sevilla B,55.0,13523,Javi Moyano,4-2-3-1,4-2-3-1,Guillermo Cuadra,Match Report,,2017-2018,Valladolid
2018-01-28,19:00,La Liga 2,Matchweek 24,Sun,Away,D,0,0,Tenerife,44.0,9815,Javi Moyano,4-4-1-1,4-4-2,David Pérez,Match Report,,2017-2018,Valladolid
2018-02-03,18:00,La Liga 2,Matchweek 25,Sat,Home,W,3,2,Leonesa,50.0,11853,Javi Moyano,4-2-3-1,4-2-3-1,Luis Milla,Match Report,,2017-2018,Valladolid
2018-02-09,21:00,La Liga 2,Matchweek 26,Fri,Away,L,0,1,Granada,61.0,9072,Javi Moyano,4-2-3-1,4-4-2,Aitor Gorostegui,Match Report,,2017-2018,Valladolid
2018-02-16,21:00,La Liga 2,Matchweek 27,Fri,Home,W,3,2,Huesca,50.0,11700,Javi Moyano,4-2-3-1,4-2-3-1,Valentín Pizarro,Match Report,,2017-2018,Valladolid
2018-02-25,12:00,La Liga 2,Matchweek 28,Sun,Away,L,1,2,Córdoba,42.0,14670,Javi Moyano,4-2-3-1,4-2-3-1,Eduardo Prieto,Match Report,,2017-2018,Valladolid
2018-03-04,18:00,La Liga 2,Matchweek 29,Sun,Home,D,1,1,Rayo Vallecano,56.0,10221,Javi Moyano,4-2-3-1,4-3-1-2,Isidro Díaz de Mera,Match Report,,2017-2018,Valladolid
2018-03-10,18:00,La Liga 2,Matchweek 30,Sat,Away,D,0,0,Alcorcón,51.0,2160,Javi Moyano,4-2-3-1,4-1-4-1,Iñaki Bikandi,Match Report,,2017-2018,Valladolid
2018-03-18,12:00,La Liga 2,Matchweek 31,Sun,Home,W,2,1,Almería,59.0,11617,Javi Moyano,4-2-3-1,5-4-1,Saúl Ais,Match Report,,2017-2018,Valladolid
2018-03-24,16:00,La Liga 2,Matchweek 32,Sat,Away,D,0,0,Lugo,54.0,3644,Javi Moyano,4-2-3-1,4-2-3-1,Guillermo Cuadra,Match Report,,2017-2018,Valladolid
2018-03-31,18:00,La Liga 2,Matchweek 33,Sat,Home,W,1,0,Reus,42.0,7759,Javi Moyano,4-2-3-1,4-1-4-1,David Pérez,Match Report,,2017-2018,Valladolid
2018-04-08,12:00,La Liga 2,Matchweek 34,Sun,Away,L,0,1,Gimnàstic,61.0,6307,Javi Moyano,4-2-3-1,4-2-3-1,Dámaso Arcediano,Match Report,,2017-2018,Valladolid
