Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-08-18,21:00,La Liga,Matchweek 1,Sun,Away,W,2,1,Betis,0.7,1.5,52.0,51497.0,Javi Moyano,4-4-2,4-2-3-1,Santiago Jaime,Match Report,,2019-2020,Valladolid
2019-08-24,19:00,La Liga,Matchweek 2,Sat,Away,D,1,1,Real Madrid,1.2,1.7,34.0,63037.0,Javi Moyano,4-4-2,4-1-4-1,Pablo González,Match Report,,2019-2020,Valladolid
2019-08-31,19:00,La Liga,Matchweek 3,Sat,Away,L,0,2,Levante,1.1,2.7,49.0,19347.0,Míchel,4-4-2,4-4-2,Adrián Cordero,Match Report,,2019-2020,Valladolid
2019-09-15,18:30,La Liga,Matchweek 4,Sun,Home,D,1,1,Osasuna,0.7,2.5,50.0,20670.0,Míchel,4-4-2,4-4-2,José Luis Munuera,Match Report,,2019-2020,Valladolid
2019-09-21,13:00,La Liga,Matchweek 5,Sat,Away,L,0,2,Villarreal,0.4,2.1,40.0,16195.0,Míchel,4-4-2,4-2-3-1,César Soto,Match Report,,2019-2020,Valladolid
2019-09-24,19:00,La Liga,Matchweek 6,Tue,Home,D,1,1,Granada,1.4,0.6,48.0,18410.0,Javi Moyano,4-4-2,4-4-2,Valentín Pizarro,Match Report,,2019-2020,Valladolid
2019-09-29,12:00,La Liga,Matchweek 7,Sun,Away,W,2,0,Espanyol,1.8,1.3,41.0,20911.0,Javi Moyano,4-4-2,4-4-1-1,Guillermo Cuadra,Match Report,,2019-2020,Valladolid
2019-10-06,16:00,La Liga,Matchweek 8,Sun,Home,D,0,0,Atlético Madrid,1.0,0.8,46.0,23650.0,Javi Moyano,4-4-2,4-4-2,José Sánchez,Match Report,,2019-2020,Valladolid
2019-10-20,18:30,La Liga,Matchweek 9,Sun,Away,D,1,1,Athletic Club,0.7,1.5,48.0,37107.0,Javi Moyano,4-4-2,4-2-3-1,Jesús Gil,Match Report,,2019-2020,Valladolid
2019-10-26,18:30,La Liga,Matchweek 10,Sat,Home,W,2,0,Eibar,1.7,0.6,36.0,20036.0,Javi Moyano,4-4-2,4-3-3,José Luis Munuera,Match Report,,2019-2020,Valladolid
