Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2020-09-26,16:00,Serie B,Matchweek 1,Sat,Home,W,1,0,Vicenza Virtus,2.0,0.9,50.0,566.0,Marco Modolo,4-3-1-2,4-4-2,Francesco Meraviglia,Match Report,,2020-2021,Venezia
2020-09-30,18:00,Coppa Italia,Second round,Wed,Home,W,2,0,Carrarese,,,,,,,,Riccardo Ros,Match Report,,2020-2021,Venezia
2020-10-03,16:15,Serie B,Matchweek 2,Sat,Home,L,0,2,Frosinone,1.0,0.8,54.0,500.0,Marco Modolo,4-3-3,3-5-2,Alberto Santoro,Match Report,,2020-2021,Venezia
2020-10-17,14:00,Serie B,Matchweek 3,Sat,Away,D,0,0,Cremonese,0.6,0.8,56.0,542.0,Marco Modolo,4-3-1-2,4-3-1-2,Gianluca Aureliano,Match Report,,2020-2021,Venezia
2020-10-20,21:00,Serie B,Matchweek 4,Tue,Home,W,4,0,Pescara,3.6,0.1,45.0,500.0,Marco Modolo,4-3-1-2,4-3-2-1,Lorenzo Maggioni,Match Report,,2020-2021,Venezia
2020-10-28,17:00,Coppa Italia,Third round,Wed,Away,D,3 (1),3 (3),Hellas Verona,,,,,,,,Giacomo Camplone,Match Report,Hellas Verona won on penalty kicks following extra time,2020-2021,Venezia
2020-11-01,14:00,Serie B,Matchweek 6,Sun,Home,W,2,0,Empoli,0.6,1.0,36.0,,Marco Modolo,4-3-3,4-3-1-2,Paolo Valeri,Match Report,,2020-2021,Venezia
2020-11-08,17:00,Serie B,Matchweek 7,Sun,Away,L,1,2,Reggiana,1.6,1.1,44.0,,Marco Modolo,4-3-3,3-4-1-2,Simone Sozza,Match Report,,2020-2021,Venezia
2020-11-14,15:00,Serie B,Matchweek 5,Sat,Away,W,2,0,Virtus Entella,1.4,0.5,53.0,,Marco Modolo,4-2-3-1,3-4-3,Giacomo Camplone,Match Report,,2020-2021,Venezia
2020-11-21,14:00,Serie B,Matchweek 8,Sat,Away,D,2,2,Brescia,1.2,1.4,44.0,,Marco Modolo,4-2-3-1,4-3-1-2,Lorenzo Illuzzi,Match Report,,2020-2021,Venezia
2020-11-28,14:00,Serie B,Matchweek 9,Sat,Home,W,2,1,Ascoli,2.0,0.7,54.0,,Marco Modolo,4-3-3,3-4-1-2,Daniel Amabile,Match Report,,2020-2021,Venezia
2020-12-05,14:00,Serie B,Matchweek 10,Sat,Away,D,2,2,Lecce,0.5,0.8,45.0,,Marco Modolo,4-3-3,4-3-1-2,Eugenio Abbattista,Match Report,,2020-2021,Venezia
2020-12-11,19:00,Serie B,Matchweek 11,Fri,Home,L,0,2,Monza,0.7,1.2,53.0,,Cristian Molinaro,4-3-3,4-3-3,Alessandro Prontera,Match Report,,2020-2021,Venezia
2020-12-14,21:00,Serie B,Matchweek 12,Mon,Away,W,2,1,US Reggina,1.2,0.9,59.0,,Luca Lezzerini,4-3-3,3-4-1-2,Fabio Maresca,Match Report,,2020-2021,Venezia
2020-12-19,18:00,Serie B,Matchweek 13,Sat,Home,D,0,0,SPAL,0.4,0.4,54.0,,Luca Lezzerini,4-3-1-2,3-4-3,Marco Serra,Match Report,,2020-2021,Venezia
2020-12-22,19:00,Serie B,Matchweek 14,Tue,Away,D,0,0,Cosenza,1.3,1.2,56.0,,Cristian Molinaro,4-3-1-2,3-4-1-2,Francesco Meraviglia,Match Report,,2020-2021,Venezia
2020-12-27,15:00,Serie B,Matchweek 15,Sun,Home,L,1,2,Salernitana,1.1,0.9,65.0,,Luca Lezzerini,4-3-1-2,3-5-2,Luca Pairetto,Match Report,,2020-2021,Venezia
2020-12-30,21:00,Serie B,Matchweek 16,Wed,Away,D,1,1,Chievo,1.4,1.2,43.0,,Marco Modolo,4-3-3,4-4-2,Massimiliano Irrati,Match Report,,2020-2021,Venezia
2021-01-04,15:00,Serie B,Matchweek 17,Mon,Home,D,1,1,Pisa,1.8,1.7,62.0,,Luca Lezzerini,4-2-3-1,4-3-1-2,Ivan Robilotta,Match Report,,2020-2021,Venezia
2021-01-16,14:00,Serie B,Matchweek 18,Sat,Away,L,0,2,Pordenone,1.6,1.3,65.0,,Marco Modolo,4-3-1-2,4-3-1-2,Antonio Di Martino,Match Report,,2020-2021,Venezia
2021-01-23,14:00,Serie B,Matchweek 19,Sat,Home,W,1,0,Cittadella,1.2,0.7,34.0,,Marco Modolo,4-3-1-2,4-3-1-2,Riccardo Ros,Match Report,,2020-2021,Venezia
2021-01-29,21:00,Serie B,Matchweek 20,Fri,Away,D,0,0,Vicenza Virtus,0.9,1.0,57.0,,Marco Modolo,4-3-1-2,4-3-1-2,Gianluca Aureliano,Match Report,,2020-2021,Venezia
2021-02-06,14:00,Serie B,Matchweek 21,Sat,Away,W,2,1,Frosinone,0.8,1.3,34.0,,Marco Modolo,4-3-1-2,4-3-2-1,Daniel Amabile,Match Report,,2020-2021,Venezia
2021-02-09,19:00,Serie B,Matchweek 22,Tue,Home,W,3,1,Cremonese,0.8,3.2,44.0,,Marco Modolo,4-2-3-1,4-2-3-1,Francesco Meraviglia,Match Report,,2020-2021,Venezia
2021-02-13,14:00,Serie B,Matchweek 23,Sat,Away,W,2,0,Pescara,0.8,1.4,56.0,,Marco Modolo,4-3-3,3-5-1-1,Lorenzo Illuzzi,Match Report,,2020-2021,Venezia
