Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-08-17,21:00,La Liga,Matchweek 1,Sat,Home,D,4,4,Granada,1.9,1.9,54.0,14753.0,Santi Cazorla,4-2-3-1,4-2-3-1,Adrián Cordero,Match Report,,2019-2020,Villarreal
2019-08-23,22:00,La Liga,Matchweek 2,Fri,Away,L,1,2,Levante,3.0,2.1,51.0,20240.0,Mario Gaspar,4-2-3-1,4-3-3,José Luis Munuera,Match Report,,2019-2020,Villarreal
2019-09-01,21:00,La Liga,Matchweek 3,Sun,Home,D,2,2,Real Madrid,1.4,1.9,44.0,20128.0,Mario Gaspar,4-4-2,4-4-2,Jesús Gil,Match Report,,2019-2020,Villarreal
2019-09-14,16:00,La Liga,Matchweek 4,Sat,Away,W,3,0,Leganés,1.6,0.4,51.0,7670.0,Mario Gaspar,4-2-3-1,4-4-2,David Medié,Match Report,,2019-2020,Villarreal
2019-09-21,13:00,La Liga,Matchweek 5,Sat,Home,W,2,0,Valladolid,2.1,0.4,60.0,16195.0,Santi Cazorla,4-2-3-1,4-4-2,César Soto,Match Report,,2019-2020,Villarreal
2019-09-24,21:00,La Liga,Matchweek 6,Tue,Away,L,1,2,Barcelona,0.6,0.5,43.0,70316.0,Santi Cazorla,4-2-3-1,4-3-3,Ricardo de Burgos,Match Report,,2019-2020,Villarreal
2019-09-27,21:00,La Liga,Matchweek 7,Fri,Home,W,5,1,Betis,3.2,0.7,43.0,18135.0,Santi Cazorla,4-2-3-1,4-4-2,Javier Estrada,Match Report,,2019-2020,Villarreal
2019-10-05,21:00,La Liga,Matchweek 8,Sat,Away,L,1,2,Osasuna,2.4,1.3,47.0,15349.0,Santi Cazorla,4-4-2,4-4-2,Valentín Pizarro,Match Report,,2019-2020,Villarreal
2019-10-20,16:00,La Liga,Matchweek 9,Sun,Away,W,1,0,Espanyol,1.6,1.0,49.0,20653.0,Santi Cazorla,4-3-3,3-4-3,Carlos del Cerro,Match Report,,2019-2020,Villarreal
2019-10-25,21:00,La Liga,Matchweek 10,Fri,Home,W,4,1,Alavés,2.5,0.8,63.0,16049.0,Mario Gaspar,4-1-4-1,4-4-2,David Medié,Match Report,,2019-2020,Villarreal
2019-10-31,19:00,La Liga,Matchweek 11,Thu,Away,L,1,2,Eibar,1.5,2.4,54.0,5583.0,Mario Gaspar,4-2-3-1,4-4-2,Guillermo Cuadra,Match Report,,2019-2020,Villarreal
2019-11-03,14:00,La Liga,Matchweek 12,Sun,Home,D,0,0,Athletic Club,0.8,0.9,56.0,17460.0,Santi Cazorla,4-1-4-1,4-2-3-1,Santiago Jaime,Match Report,,2019-2020,Villarreal
2019-11-10,12:00,La Liga,Matchweek 13,Sun,Away,L,1,3,Mallorca,3.2,1.7,65.0,8348.0,Mario Gaspar,4-3-3,4-4-2,Carlos del Cerro,Match Report,,2019-2020,Villarreal
2019-11-24,18:30,La Liga,Matchweek 14,Sun,Home,L,1,3,Celta Vigo,1.2,1.9,60.0,17352.0,Santi Cazorla,4-1-4-1,4-2-3-1,José Luis Munuera,Match Report,,2019-2020,Villarreal
2019-11-30,21:00,La Liga,Matchweek 15,Sat,Away,L,1,2,Valencia,2.1,1.5,58.0,38521.0,Mario Gaspar,4-1-4-1,4-4-2,César Soto,Match Report,,2019-2020,Villarreal
2019-12-06,21:00,La Liga,Matchweek 16,Fri,Home,D,0,0,Atlético Madrid,1.5,1.6,53.0,17964.0,Mario Gaspar,4-1-4-1,4-4-2,Alejandro Hernández,Match Report,,2019-2020,Villarreal
2019-12-15,18:30,La Liga,Matchweek 17,Sun,Away,W,2,1,Sevilla,1.5,1.7,28.0,36521.0,Mario Gaspar,4-1-4-1,4-3-3,Adrián Cordero,Match Report,,2019-2020,Villarreal
2019-12-18,18:00,Copa del Rey,First round,Wed,Away,W,5,0,Comillas,,,,,,,,,Match Report,,2019-2020,Villarreal
2019-12-21,18:30,La Liga,Matchweek 18,Sat,Home,W,1,0,Getafe,2.3,0.6,64.0,14526.0,Mario Gaspar,4-2-3-1,4-4-2,Santiago Jaime,Match Report,,2019-2020,Villarreal
2020-01-05,14:00,La Liga,Matchweek 19,Sun,Away,W,2,1,Real Sociedad,1.4,0.9,37.0,31538.0,Mario Gaspar,4-1-4-1,4-2-3-1,José Sánchez,Match Report,,2019-2020,Villarreal
2020-01-11,21:00,Copa del Rey,Second round,Sat,Away,W,2,1,Orihuela,,,,,,,,,Match Report,Required Extra Time,2019-2020,Villarreal
2020-01-19,16:00,La Liga,Matchweek 20,Sun,Home,L,1,2,Espanyol,2.4,1.7,68.0,12053.0,Mario Gaspar,4-5-1,4-4-2,Pablo González,Match Report,,2019-2020,Villarreal
2020-01-22,21:00,Copa del Rey,Round of 32,Wed,Away,W,3,0,Girona,,,62.0,928.0,Santi Cazorla,4-1-4-1,4-3-3,Guillermo Cuadra,Match Report,,2019-2020,Villarreal
2020-01-25,18:30,La Liga,Matchweek 21,Sat,Away,W,2,1,Alavés,1.0,0.9,46.0,18153.0,Mario Gaspar,4-1-4-1,4-4-2,José Luis Munuera,Match Report,,2019-2020,Villarreal
2020-01-29,19:00,Copa del Rey,Round of 16,Wed,Away,W,2,0,Rayo Vallecano,,,55.0,7500.0,Manu Trigueros,4-1-4-1,4-1-4-1,Eduardo Prieto,Match Report,,2019-2020,Villarreal
2020-02-02,18:30,La Liga,Matchweek 22,Sun,Home,W,3,1,Osasuna,2.1,0.9,55.0,17081.0,Mario Gaspar,4-1-4-1,4-2-3-1,Valentín Pizarro,Match Report,,2019-2020,Villarreal
2020-02-05,21:00,Copa del Rey,Quarter-finals,Wed,Away,L,2,4,CD Mirandés,,,63.0,4428.0,Mario Gaspar,4-1-4-1,4-2-3-1,Ricardo de Burgos,Match Report,,2019-2020,Villarreal
