Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-08-18,15:30,DFB-Pokal,First round,Sat,Away,W,6,1,Worms,,,72,8000,Max Kruse,4-3-3,4-2-3-1,Benedikt Kempkes,Match Report,,2018-2019,Werder Bremen
2018-08-25,15:30,Bundesliga,Matchweek 1,Sat,Home,D,1,1,Hannover 96,2.1,1.2,55,42100,Max Kruse,4-3-3,4-2-2-2,Felix Brych,Match Report,,2018-2019,Werder Bremen
2018-09-01,15:30,Bundesliga,Matchweek 2,Sat,Away,W,2,1,Eint Frankfurt,1.3,1.3,56,50000,Max Kruse,4-3-3,4-2-3-1,Sören Storks,Match Report,,2018-2019,Werder Bremen
2018-09-16,15:30,Bundesliga,Matchweek 3,Sun,Home,D,1,1,Nürnberg,0.7,0.6,56,42100,Max Kruse,4-1-4-1,4-3-3,Daniel Schlager,Match Report,,2018-2019,Werder Bremen
2018-09-22,15:30,Bundesliga,Matchweek 4,Sat,Away,W,3,2,Augsburg,1.4,2.1,50,28434,Max Kruse,4-3-3,3-4-3,Felix Zwayer,Match Report,,2018-2019,Werder Bremen
2018-09-25,18:30,Bundesliga,Matchweek 5,Tue,Home,W,3,1,Hertha BSC,2.9,0.9,54,39100,Max Kruse,4-3-3,4-2-3-1,Guido Winkmann,Match Report,,2018-2019,Werder Bremen
2018-09-29,15:30,Bundesliga,Matchweek 6,Sat,Away,L,1,2,Stuttgart,1.0,2.5,62,58569,Max Kruse,3-5-2,4-1-2-1-2,Tobias Welz,Match Report,,2018-2019,Werder Bremen
2018-10-05,20:30,Bundesliga,Matchweek 7,Fri,Home,W,2,0,Wolfsburg,1.1,0.6,48,42100,Max Kruse,4-3-3,4-1-4-1,Martin Petersen,Match Report,,2018-2019,Werder Bremen
2018-10-20,18:30,Bundesliga,Matchweek 8,Sat,Away,W,2,0,Schalke 04,0.4,1.2,53,62271,Max Kruse,4-3-3,4-4-1-1,Christian Dingert,Match Report,,2018-2019,Werder Bremen
2018-10-28,18:00,Bundesliga,Matchweek 9,Sun,Home,L,2,6,Leverkusen,1.6,4.0,60,40400,Max Kruse,3-5-2,3-4-3,Marco Fritz,Match Report,,2018-2019,Werder Bremen
2018-10-31,18:30,DFB-Pokal,Second round,Wed,Away,W,5,1,Weiche,,,75,8600,Davy Klaassen,4-3-2-1,3-2-4-1,Tobias Reichel,Match Report,,2018-2019,Werder Bremen
2018-11-04,18:00,Bundesliga,Matchweek 10,Sun,Away,L,1,2,Mainz 05,1.5,1.0,63,25105,Max Kruse,4-3-3,4-3-1-2,Guido Winkmann,Match Report,,2018-2019,Werder Bremen
2018-11-10,15:30,Bundesliga,Matchweek 11,Sat,Home,L,1,3,Gladbach,1.4,2.7,54,42100,Max Kruse,4-4-1-1,4-3-3,Sören Storks,Match Report,,2018-2019,Werder Bremen
2018-11-25,15:30,Bundesliga,Matchweek 12,Sun,Away,D,1,1,Freiburg,1.8,3.1,53,24000,Max Kruse,4-4-1-1,3-4-3,Bastian Dankert,Match Report,,2018-2019,Werder Bremen
2018-12-01,15:30,Bundesliga,Matchweek 13,Sat,Home,L,1,2,Bayern Munich,0.6,3.3,44,42100,Max Kruse,4-1-4-1,4-4-1-1,Christian Dingert,Match Report,,2018-2019,Werder Bremen
2018-12-07,20:30,Bundesliga,Matchweek 14,Fri,Home,W,3,1,Düsseldorf,2.3,1.4,69,41500,Max Kruse,4-1-2-1-2◆,4-5-1,Marco Fritz,Match Report,,2018-2019,Werder Bremen
2018-12-15,18:30,Bundesliga,Matchweek 15,Sat,Away,L,1,2,Dortmund,0.6,2.9,48,81365,Max Kruse,4-1-2-1-2◆,4-2-3-1,Guido Winkmann,Match Report,,2018-2019,Werder Bremen
2018-12-19,20:30,Bundesliga,Matchweek 16,Wed,Home,D,1,1,Hoffenheim,2.4,1.9,51,40003,Max Kruse,4-3-1-2,3-4-3,Markus Schmidt,Match Report,,2018-2019,Werder Bremen
2018-12-22,15:30,Bundesliga,Matchweek 17,Sat,Away,L,2,3,RB Leipzig,2.3,1.3,55,40455,Max Kruse,4-3-3,4-4-2,Bibiana Steinhaus,Match Report,,2018-2019,Werder Bremen
2019-01-19,15:30,Bundesliga,Matchweek 18,Sat,Away,W,1,0,Hannover 96,2.0,0.7,52,44300,Max Kruse,4-3-1-2,3-4-3,Marco Fritz,Match Report,,2018-2019,Werder Bremen
2019-01-26,18:30,Bundesliga,Matchweek 19,Sat,Home,D,2,2,Eint Frankfurt,2.3,1.3,48,42100,Max Kruse,4-3-3,3-4-1-2,Markus Schmidt,Match Report,,2018-2019,Werder Bremen
2019-02-02,15:30,Bundesliga,Matchweek 20,Sat,Away,D,1,1,Nürnberg,1.2,1.2,59,35753,Max Kruse,4-3-1-2,4-4-2,Robert Kampka,Match Report,,2018-2019,Werder Bremen
2019-02-05,20:45,DFB-Pokal,Round of 16,Tue,Away,D,3 (4),3 (2),Dortmund,,,37,81365,Max Kruse,3-5-2,4-2-3-1,Felix Brych,Match Report,Werder Bremen won on penalty kicks following extra time,2018-2019,Werder Bremen
2019-02-10,15:30,Bundesliga,Matchweek 21,Sun,Home,W,4,0,Augsburg,1.2,0.9,40,40138,Max Kruse,4-3-3,3-4-3,Manuel Gräfe,Match Report,,2018-2019,Werder Bremen
2019-02-16,18:30,Bundesliga,Matchweek 22,Sat,Away,D,1,1,Hertha BSC,0.5,1.2,61,49627,Max Kruse,3-4-1-2,3-4-1-2,Sören Storks,Match Report,,2018-2019,Werder Bremen
2019-02-22,20:30,Bundesliga,Matchweek 23,Fri,Home,D,1,1,Stuttgart,1.1,0.9,69,41000,Max Kruse,4-3-1-2,5-4-1,Robert Hartmann,Match Report,,2018-2019,Werder Bremen
2019-03-03,18:00,Bundesliga,Matchweek 24,Sun,Away,D,1,1,Wolfsburg,1.9,1.3,41,28101,Max Kruse,4-1-2-1-2◆,4-1-2-1-2,Daniel Siebert,Match Report,,2018-2019,Werder Bremen
2019-03-08,20:30,Bundesliga,Matchweek 25,Fri,Home,W,4,2,Schalke 04,2.6,1.4,56,42100,Max Kruse,4-3-1-2,3-4-3,Martin Petersen,Match Report,,2018-2019,Werder Bremen
2019-03-17,13:30,Bundesliga,Matchweek 26,Sun,Away,W,3,1,Leverkusen,1.3,1.1,29,30210,Max Kruse,4-3-1-2,4-3-3,Deniz Aytekin,Match Report,,2018-2019,Werder Bremen
2019-03-30,15:30,Bundesliga,Matchweek 27,Sat,Home,W,3,1,Mainz 05,1.1,1.2,56,40711,Max Kruse,4-1-2-1-2◆,4-1-2-1-2,Marco Fritz,Match Report,,2018-2019,Werder Bremen
2019-04-03,20:45,DFB-Pokal,Quarter-finals,Wed,Away,W,2,0,Schalke 04,,,51,61597,Max Kruse,4-3-1-2,3-1-4-2,Deniz Aytekin,Match Report,,2018-2019,Werder Bremen
2019-04-07,18:00,Bundesliga,Matchweek 28,Sun,Away,D,1,1,Gladbach,1.1,1.6,47,54022,Max Kruse,5-3-2,3-4-1-2,Daniel Schlager,Match Report,,2018-2019,Werder Bremen
2019-04-13,15:30,Bundesliga,Matchweek 29,Sat,Home,W,2,1,Freiburg,1.7,0.7,62,42100,Max Kruse,4-3-1-2,5-3-2,Bibiana Steinhaus,Match Report,,2018-2019,Werder Bremen
2019-04-20,15:30,Bundesliga,Matchweek 30,Sat,Away,L,0,1,Bayern Munich,0.1,2.4,31,75000,Max Kruse,4-3-1-2,4-2-3-1,Tobias Welz,Match Report,,2018-2019,Werder Bremen
2019-04-24,20:45,DFB-Pokal,Semi-finals,Wed,Home,L,2,3,Bayern Munich,,,48,6181,Max Kruse,4-1-3-2,4-2-3-1,Daniel Siebert,Match Report,,2018-2019,Werder Bremen
2019-04-27,15:30,Bundesliga,Matchweek 31,Sat,Away,L,1,4,Düsseldorf,3.2,2.1,54,52500,Max Kruse,4-1-4-1,4-4-2,Benjamin Cortus,Match Report,,2018-2019,Werder Bremen
