Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2021-07-24,20:30,2. Bundesliga,Matchweek 1,Sat,Home,D,1,1,Hannover 96,59,14000.0,Ömer Toprak,4-1-4-1,4-2-3-1,Robert Kampka,Match Report,,2021-2022,Werder Bremen
2021-07-31,20:30,2. Bundesliga,Matchweek 2,Sat,Away,W,3,2,Düsseldorf,53,12850.0,Ömer Toprak,4-1-4-1,4-4-2,Daniel Schlager,Match Report,,2021-2022,Werder Bremen
2021-08-07,15:30,DFB-Pokal,Round of 64,Sat,Away,L,0,2,Osnabrück,61,5341.0,Ömer Toprak,4-1-4-1,4-3-3,Patrick Ittrich,Match Report,,2021-2022,Werder Bremen
2021-08-15,13:30,2. Bundesliga,Matchweek 3,Sun,Home,L,1,4,Paderborn 07,54,21000.0,Ömer Toprak,4-1-4-1,4-3-3,Martin Petersen,Match Report,,2021-2022,Werder Bremen
2021-08-21,13:30,2. Bundesliga,Matchweek 4,Sat,Away,D,0,0,Karlsruher,65,10000.0,Christian Groß,4-1-4-1,4-2-3-1,Bastian Dankert,Match Report,,2021-2022,Werder Bremen
2021-08-29,13:30,2. Bundesliga,Matchweek 5,Sun,Home,W,3,0,Hansa Rostock,58,21050.0,Ömer Toprak,4-1-4-1,3-4-3,Daniel Siebert,Match Report,,2021-2022,Werder Bremen
2021-09-11,13:30,2. Bundesliga,Matchweek 6,Sat,Away,W,3,0,Ingolstadt 04,65,5825.0,Ömer Toprak,4-5-1,4-4-2,Tobias Welz,Match Report,,2021-2022,Werder Bremen
2021-09-18,20:30,2. Bundesliga,Matchweek 7,Sat,Home,L,0,2,Hamburger SV,47,21000.0,Christian Groß,4-3-3,4-3-3,Sascha Stegemann,Match Report,,2021-2022,Werder Bremen
2021-09-26,13:30,2. Bundesliga,Matchweek 8,Sun,Away,L,0,3,Dresden,59,16000.0,Miloš Veljković,4-1-4-1,4-3-3,Robert Hartmann,Match Report,,2021-2022,Werder Bremen
2021-10-01,18:30,2. Bundesliga,Matchweek 9,Fri,Home,W,3,0,Heidenheim,59,30000.0,Miloš Veljković,4-5-1,4-2-3-1,Martin Petersen,Match Report,,2021-2022,Werder Bremen
2021-10-17,13:30,2. Bundesliga,Matchweek 10,Sun,Away,L,0,3,Darmstadt 98,62,13000.0,Miloš Veljković,4-5-1,4-2-2-2,Florian Lechner,Match Report,,2021-2022,Werder Bremen
2021-10-24,13:30,2. Bundesliga,Matchweek 11,Sun,Away,D,2,2,Sandhausen,67,7252.0,Leonardo Bittencourt,4-5-1,4-2-3-1,Patrick Ittrich,Match Report,,2021-2022,Werder Bremen
2021-10-30,13:30,2. Bundesliga,Matchweek 12,Sat,Home,D,1,1,St. Pauli,42,42100.0,Miloš Veljković,3-1-4-2,4-4-2,Felix Zwayer,Match Report,,2021-2022,Werder Bremen
2021-11-05,18:30,2. Bundesliga,Matchweek 13,Fri,Away,W,2,1,Nürnberg,55,25000.0,Niclas Füllkrug,3-1-4-2,4-3-1-2,Tobias Welz,Match Report,,2021-2022,Werder Bremen
2021-11-20,20:30,2. Bundesliga,Matchweek 14,Sat,Home,D,1,1,Schalke 04,56,42000.0,Ömer Toprak,3-1-4-2,3-1-4-2,Tobias Stieler,Match Report,,2021-2022,Werder Bremen
2021-11-27,20:30,2. Bundesliga,Matchweek 15,Sat,Away,L,1,2,Holstein Kiel,51,11525.0,Ömer Toprak,4-2-3-1,4-5-1,Harm Osmers,Match Report,,2021-2022,Werder Bremen
2021-12-03,18:30,2. Bundesliga,Matchweek 16,Fri,Home,W,4,0,Erzgebirge Aue,57,15024.0,Ömer Toprak,3-1-4-2,4-2-3-1,Bastian Dankert,Match Report,,2021-2022,Werder Bremen
2021-12-10,18:30,2. Bundesliga,Matchweek 17,Fri,Away,W,3,2,Jahn R'burg,52,,Ömer Toprak,3-5-2,4-2-3-1,Robert Kampka,Match Report,,2021-2022,Werder Bremen
2021-12-19,13:30,2. Bundesliga,Matchweek 18,Sun,Away,W,4,1,Hannover 96,54,5000.0,Ömer Toprak,3-5-2,3-4-3,Martin Petersen,Match Report,,2021-2022,Werder Bremen
2022-01-15,13:30,2. Bundesliga,Matchweek 19,Sat,Home,W,3,0,Düsseldorf,60,,Ömer Toprak,3-5-2,4-5-1,Tobias Reichel,Match Report,,2021-2022,Werder Bremen
2022-01-22,13:30,2. Bundesliga,Matchweek 20,Sat,Away,W,4,3,Paderborn 07,55,750.0,Marco Friedl,3-5-2,4-4-2,Tobias Welz,Match Report,,2021-2022,Werder Bremen
