Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-08-10,12:30,Premier League,Matchweek 1,Sat,Home,L,0,5,Manchester City,1.1,3.2,43,59870.0,Aaron Cresswell,4-2-3-1,4-3-3,Mike Dean,Match Report,,2019-2020,West Ham
2019-08-17,15:00,Premier League,Matchweek 2,Sat,Away,D,1,1,Brighton,0.8,2.0,43,30459.0,Angelo Ogbonna,4-1-4-1,3-4-3,Anthony Taylor,Match Report,,2019-2020,West Ham
2019-08-24,15:00,Premier League,Matchweek 3,Sat,Away,W,3,1,Watford,3.5,2.3,45,20035.0,Mark Noble,4-2-3-1,4-1-2-1-2,Chris Kavanagh,Match Report,,2019-2020,West Ham
2019-08-27,19:45,EFL Cup,Second round,Tue,Away,W,2,0,Newport County,,,73,6382.0,Pablo Zabaleta,4-1-4-1,4-2-2-2,Steve Martin,Match Report,,2019-2020,West Ham
2019-08-31,15:00,Premier League,Matchweek 4,Sat,Home,W,2,0,Norwich City,2.0,1.4,48,59950.0,Mark Noble,4-1-4-1,4-2-3-1,Paul Tierney,Match Report,,2019-2020,West Ham
2019-09-16,20:00,Premier League,Matchweek 5,Mon,Away,D,0,0,Aston Villa,0.6,1.3,54,42010.0,Mark Noble,4-1-4-1,4-3-3,Mike Dean,Match Report,,2019-2020,West Ham
2019-09-22,14:00,Premier League,Matchweek 6,Sun,Home,W,2,0,Manchester Utd,0.4,0.9,47,59936.0,Mark Noble,4-1-4-1,4-2-3-1,Anthony Taylor,Match Report,,2019-2020,West Ham
2019-09-25,19:45,EFL Cup,Third round,Wed,Away,L,0,4,Oxford United,,,63,10450.0,Pablo Zabaleta,4-1-4-1,4-5-1,Robert Jones,Match Report,,2019-2020,West Ham
2019-09-28,15:00,Premier League,Matchweek 7,Sat,Away,D,2,2,Bournemouth,1.6,1.9,50,10729.0,Mark Noble,4-1-4-1,4-4-2,Stuart Attwell,Match Report,,2019-2020,West Ham
2019-10-05,17:30,Premier League,Matchweek 8,Sat,Home,L,1,2,Crystal Palace,1.4,2.1,52,59912.0,Mark Noble,4-1-4-1,4-5-1,Michael Oliver,Match Report,,2019-2020,West Ham
2019-10-19,12:30,Premier League,Matchweek 9,Sat,Away,L,0,2,Everton,0.8,2.1,49,39263.0,Mark Noble,4-1-4-1,4-2-3-1,Paul Tierney,Match Report,,2019-2020,West Ham
2019-10-26,15:00,Premier League,Matchweek 10,Sat,Home,D,1,1,Sheffield Utd,2.3,1.0,60,59878.0,Mark Noble,4-1-4-1,3-5-2,David Coote,Match Report,,2019-2020,West Ham
2019-11-02,15:00,Premier League,Matchweek 11,Sat,Home,L,2,3,Newcastle Utd,1.8,1.5,70,59907.0,Mark Noble,4-1-4-1,5-4-1,Stuart Attwell,Match Report,,2019-2020,West Ham
