Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-13,15:30,DFB-Pokal,First round,Sun,Away,W,1,0,Norderstedt,,,80.0,4500,Mario Gómez,4-2-3-1,4-2-3-1,Lasse Koslowski,Match Report,,2017-2018,Wolfsburg
2017-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,L,0,3,Dortmund,0.4,1.0,31.0,30000,Mario Gómez,4-2-3-1,4-3-3,Robert Hartmann,Match Report,,2017-2018,Wolfsburg
2017-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,W,1,0,Eint Frankfurt,1.0,1.0,51.0,46000,Mario Gómez,3-4-3,3-1-4-2,Benjamin Cortus,Match Report,,2017-2018,Wolfsburg
2017-09-09,15:30,Bundesliga,Matchweek 3,Sat,Home,D,1,1,Hannover 96,1.1,0.9,49.0,27321,Mario Gómez,3-4-1-2,4-3-3,Felix Zwayer,Match Report,,2017-2018,Wolfsburg
2017-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,L,0,1,Stuttgart,0.5,1.0,54.0,50500,Ignacio Camacho,3-4-1-2,3-4-3,Guido Winkmann,Match Report,,2017-2018,Wolfsburg
2017-09-19,20:30,Bundesliga,Matchweek 5,Tue,Home,D,1,1,Werder Bremen,1.0,0.9,62.0,26174,Ignacio Camacho,4-2-3-1,3-1-4-2,Felix Brych,Match Report,,2017-2018,Wolfsburg
2017-09-22,20:30,Bundesliga,Matchweek 6,Fri,Away,D,2,2,Bayern Munich,0.8,2.4,41.0,75000,Ignacio Camacho,4-1-4-1,4-2-3-1,Christian Dingert,Match Report,,2017-2018,Wolfsburg
2017-09-30,15:30,Bundesliga,Matchweek 7,Sat,Home,D,1,1,Mainz 05,0.9,1.1,53.0,24352,Ignacio Camacho,4-2-3-1,4-3-3,Robert Hartmann,Match Report,,2017-2018,Wolfsburg
2017-10-15,15:30,Bundesliga,Matchweek 8,Sun,Away,D,2,2,Leverkusen,1.0,2.3,46.0,29104,Ignacio Camacho,4-3-3,4-2-3-1,Patrick Ittrich,Match Report,,2017-2018,Wolfsburg
2017-10-22,18:00,Bundesliga,Matchweek 9,Sun,Home,D,1,1,Hoffenheim,1.6,2.1,53.0,23514,Ignacio Camacho,4-2-3-1,4-1-4-1,Felix Zwayer,Match Report,,2017-2018,Wolfsburg
2017-10-25,18:30,DFB-Pokal,Second round,Wed,Home,W,1,0,Hannover 96,,,54.0,15508,Ignacio Camacho,4-2-3-1,4-2-3-1,Felix Brych,Match Report,,2017-2018,Wolfsburg
