Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Fernando Pacheco,es ESP,GK,25,38,37,3358.0,37.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Alaves
Rodrigo Ely,br BRA,DF,23,36,35,3135.0,34.8,1.0,1.0,2.0,1.0,0.0,0.0,12.0,1.0,1.2,1.2,0.4,1.5,6.0,46.0,7.0,0.03,0.03,0.06,0.03,0.06,0.04,0.01,0.05,0.04,0.05,Matches,2017-2018,Alaves
Tomás Pina Isla,es ESP,MF,29,33,31,2687.0,29.9,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,1.0,1.3,2.3,18.0,122.0,18.0,0.03,0.0,0.03,0.03,0.03,0.04,0.05,0.09,0.04,0.09,Matches,2017-2018,Alaves
Alfonso Pedraza,es ESP,"MF,DF",21,37,29,2686.0,29.8,4.0,6.0,10.0,4.0,0.0,0.0,6.0,0.0,2.8,2.8,3.9,6.8,104.0,69.0,148.0,0.13,0.2,0.34,0.13,0.34,0.1,0.14,0.25,0.1,0.25,Matches,2017-2018,Alaves
Munir El Haddadi,ma MAR,FW,21,37,29,2611.0,29.0,14.0,7.0,21.0,14.0,0.0,0.0,8.0,1.0,9.1,9.1,3.9,13.1,48.0,68.0,173.0,0.48,0.24,0.72,0.48,0.72,0.34,0.14,0.48,0.34,0.48,Matches,2017-2018,Alaves
Ibai Gómez,es ESP,"MF,FW",27,38,29,2550.0,28.3,7.0,6.0,13.0,6.0,1.0,1.0,1.0,0.0,4.7,3.9,5.7,9.6,22.0,87.0,117.0,0.25,0.21,0.46,0.21,0.42,0.18,0.22,0.4,0.15,0.37,Matches,2017-2018,Alaves
Manu García,es ESP,MF,31,32,27,2490.0,27.7,3.0,0.0,3.0,3.0,0.0,2.0,9.0,0.0,3.3,1.8,1.2,3.0,15.0,96.0,48.0,0.11,0.0,0.11,0.11,0.11,0.12,0.05,0.17,0.07,0.11,Matches,2017-2018,Alaves
Alexis,es ESP,DF,31,30,27,2364.0,26.3,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.2,1.2,0.3,1.5,5.0,34.0,11.0,0.04,0.0,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06,Matches,2017-2018,Alaves
Rubén Duarte,es ESP,DF,21,26,26,2348.0,26.1,0.0,2.0,2.0,0.0,0.0,0.0,11.0,1.0,0.8,0.8,1.6,2.4,23.0,74.0,48.0,0.0,0.08,0.08,0.0,0.08,0.03,0.07,0.1,0.03,0.1,Matches,2017-2018,Alaves
Martin Agirregabiria,es ESP,DF,21,25,23,2141.0,23.8,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,1.5,1.6,24.0,48.0,54.0,0.0,0.17,0.17,0.0,0.17,0.0,0.08,0.08,0.0,0.08,Matches,2017-2018,Alaves
Rubén Sobrino,es ESP,"FW,MF",25,33,20,1933.0,21.5,5.0,4.0,9.0,5.0,0.0,0.0,6.0,0.0,4.3,4.3,1.2,5.5,29.0,29.0,82.0,0.23,0.19,0.42,0.23,0.42,0.26,0.07,0.34,0.26,0.34,Matches,2017-2018,Alaves
