Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Luis Rioja,es ESP,"MF,FW",27.0,39,36,3185.0,35.4,2.0,6.0,8.0,2.0,0.0,0.0,4.0,0.0,3.0,3.0,5.1,8.2,122.0,77.0,213.0,0.06,0.17,0.23,0.06,0.23,0.09,0.15,0.24,0.09,0.24,Matches,2021-2022,Alaves
Joselu,es ESP,FW,31.0,38,35,3154.0,35.0,14.0,4.0,18.0,8.0,6.0,7.0,0.0,0.0,12.9,7.4,4.5,11.9,27.0,108.0,137.0,0.4,0.11,0.51,0.23,0.34,0.37,0.13,0.5,0.21,0.34,Matches,2021-2022,Alaves
Fernando Pacheco,es ESP,GK,29.0,34,34,3053.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2021-2022,Alaves
Víctor Laguardia,es ESP,DF,31.0,34,34,3042.0,33.8,3.0,2.0,5.0,3.0,0.0,0.0,9.0,0.0,2.0,2.0,0.9,2.9,2.0,72.0,3.0,0.09,0.06,0.15,0.09,0.15,0.06,0.03,0.09,0.06,0.09,Matches,2021-2022,Alaves
Florian Lejeune,fr FRA,DF,30.0,31,31,2789.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.5,1.5,0.2,1.7,6.0,74.0,4.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,2021-2022,Alaves
Rubén Duarte,es ESP,DF,25.0,34,31,2621.0,29.1,0.0,4.0,4.0,0.0,0.0,0.0,12.0,1.0,0.4,0.4,2.5,2.8,35.0,85.0,46.0,0.0,0.14,0.14,0.0,0.14,0.01,0.09,0.1,0.01,0.1,Matches,2021-2022,Alaves
Mamadou Loum,sn SEN,MF,24.0,32,26,2312.0,25.7,2.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,2.9,2.9,0.6,3.4,13.0,72.0,14.0,0.08,0.0,0.08,0.08,0.08,0.11,0.02,0.13,0.11,0.13,Matches,2021-2022,Alaves
Édgar Méndez,es ESP,"FW,MF",31.0,33,18,1659.0,18.4,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.5,1.5,2.5,4.0,18.0,31.0,112.0,0.05,0.05,0.11,0.05,0.11,0.08,0.14,0.22,0.08,0.22,Matches,2021-2022,Alaves
Martin Agirregabiria,es ESP,DF,25.0,24,17,1616.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.7,0.8,15.0,57.0,40.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,Matches,2021-2022,Alaves
