Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Antonio Sivera,es ESP,GK,25,41,41,3690.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Alaves
Luis Rioja,es ESP,"MF,FW",28,41,36,3323.0,36.9,10.0,4.0,14.0,9.0,1.0,1.0,6.0,1.0,0.27,0.11,0.38,0.24,0.35,Matches,2022-2023,Alaves
Rubén Duarte,es ESP,DF,26,40,35,3122.0,34.7,0.0,5.0,5.0,0.0,0.0,0.0,18.0,2.0,0.0,0.14,0.14,0.0,0.14,Matches,2022-2023,Alaves
Abdel Abqar,ma MAR,DF,23,36,35,2941.0,32.7,1.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.03,0.0,0.03,0.03,0.03,Matches,2022-2023,Alaves
Nahuel Tenaglia,ar ARG,DF,26,35,33,2875.0,31.9,3.0,1.0,4.0,3.0,0.0,0.0,9.0,0.0,0.09,0.03,0.13,0.09,0.13,Matches,2022-2023,Alaves
Jon Guridi,es ESP,"MF,FW",27,40,32,2773.0,30.8,1.0,1.0,2.0,1.0,0.0,1.0,6.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,2022-2023,Alaves
Aleksandar Sedlar,rs SRB,"DF,MF",30,33,31,2668.0,29.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Alaves
Salva Sevilla,es ESP,MF,38,40,29,2474.0,27.5,4.0,3.0,7.0,1.0,3.0,4.0,13.0,0.0,0.15,0.11,0.25,0.04,0.15,Matches,2022-2023,Alaves
Miguel,es ESP,FW,22,34,25,2054.0,22.8,4.0,4.0,8.0,4.0,0.0,0.0,5.0,0.0,0.18,0.18,0.35,0.18,0.35,Matches,2022-2023,Alaves
Jason,es ESP,"MF,FW",28,36,22,1847.0,20.5,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,2022-2023,Alaves
Toni Moya,es ESP,MF,24,42,16,1843.0,20.5,3.0,4.0,7.0,3.0,0.0,0.0,4.0,0.0,0.15,0.2,0.34,0.15,0.34,Matches,2022-2023,Alaves
Xeber,es ESP,"MF,FW",25,33,19,1645.0,18.3,4.0,0.0,4.0,4.0,0.0,0.0,1.0,2.0,0.22,0.0,0.22,0.22,0.22,Matches,2022-2023,Alaves
Nikola Maraš,rs SRB,DF,26,20,18,1605.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Alaves
Carlos Benavídez,uy URU,MF,24,32,18,1567.0,17.4,1.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches,2022-2023,Alaves
Javi López,es ESP,DF,20,33,14,1477.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Alaves
Roberto González,es ESP,"MF,FW",21,32,15,1471.0,16.3,2.0,2.0,4.0,2.0,0.0,0.0,4.0,1.0,0.12,0.12,0.24,0.12,0.24,Matches,2022-2023,Alaves
Antonio Blanco,es ESP,MF,22,18,17,1339.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Alaves
Anderson Arroyo,co COL,DF,22,21,13,1212.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Alaves
Mamadou Sylla,sn SEN,FW,28,22,12,1029.0,11.4,5.0,1.0,6.0,5.0,0.0,0.0,1.0,1.0,0.44,0.09,0.52,0.44,0.52,Matches,2022-2023,Alaves
Abderrahman Rebbach,dz ALG,"MF,FW",23,22,13,1017.0,11.3,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.18,0.09,0.27,0.18,0.27,Matches,2022-2023,Alaves
Asier Villalibre,es ESP,FW,24,16,8,938.0,10.4,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,0.38,0.19,0.58,0.38,0.58,Matches,2022-2023,Alaves
Víctor Laguardia,es ESP,DF,32,18,9,935.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Alaves
Taichi Hara,jp JPN,FW,23,16,4,534.0,5.9,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.34,0.0,0.34,0.34,0.34,Matches,2022-2023,Alaves
Jesús Owono,gq EQG,GK,21,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Alaves
Alex Balboa,gq EQG,MF,21,15,5,412.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Alaves
