Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Baptiste Santamaria,fr FRA,MF,24,30,30,2715.0,30.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,1.4,3.0,36.0,165.0,16.0,0.03,0.03,0.07,0.03,0.07,0.06,0.05,0.11,0.06,0.11,Matches,2019-2020,Angers
Romain Thomas,fr FRA,DF,31,31,30,2650.0,29.4,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,0.7,0.7,0.3,1.0,2.0,41.0,1.0,0.1,0.07,0.17,0.1,0.17,0.03,0.01,0.04,0.03,0.04,Matches,2019-2020,Angers
Ludovic Butelle,fr FRA,GK,36,26,26,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Angers
Vincent Manceau,fr FRA,DF,30,25,25,2255.0,25.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.1,1.4,30.0,120.0,69.0,0.0,0.04,0.04,0.0,0.04,0.01,0.05,0.06,0.01,0.06,Matches,2019-2020,Angers
Thomas Mangani,fr FRA,MF,32,27,23,2126.0,23.6,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,1.7,1.7,3.5,5.2,31.0,157.0,58.0,0.08,0.13,0.21,0.08,0.21,0.08,0.17,0.25,0.08,0.25,Matches,2019-2020,Angers
Ismaël Traoré,ci CIV,DF,32,23,23,2052.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.3,1.0,7.0,54.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Matches,2019-2020,Angers
Pierrick Capelle,fr FRA,"MF,DF",32,27,22,1975.0,21.9,3.0,2.0,5.0,3.0,0.0,0.0,7.0,0.0,2.6,2.6,2.6,5.2,50.0,68.0,102.0,0.14,0.09,0.23,0.14,0.23,0.14,0.13,0.27,0.14,0.27,Matches,2019-2020,Angers
Angelo Fulgini,fr FRA,MF,22,23,22,1831.0,20.3,1.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,3.1,3.1,2.6,5.7,56.0,106.0,76.0,0.05,0.1,0.15,0.05,0.15,0.18,0.15,0.32,0.18,0.32,Matches,2019-2020,Angers
Rachid Alioui,ma MAR,FW,27,31,19,1731.0,19.2,7.0,3.0,10.0,7.0,0.0,0.0,1.0,0.0,5.2,5.2,1.3,6.5,24.0,35.0,108.0,0.36,0.16,0.52,0.36,0.52,0.3,0.07,0.37,0.3,0.37,Matches,2019-2020,Angers
Sada Thioub,sn SEN,"MF,FW",24,26,16,1699.0,18.9,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,2.3,3.3,84.0,76.0,170.0,0.16,0.11,0.26,0.16,0.26,0.06,0.14,0.2,0.06,0.2,Matches,2019-2020,Angers
Mathias Pereira Lage,pt POR,MF,22,27,18,1682.0,18.7,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,1.7,1.7,2.9,4.6,49.0,50.0,136.0,0.05,0.16,0.21,0.05,0.21,0.1,0.17,0.27,0.1,0.27,Matches,2019-2020,Angers
Rayan Aït-Nouri,dz ALG,DF,18,17,16,1282.0,14.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.7,0.8,45.0,56.0,69.0,0.0,0.14,0.14,0.0,0.14,0.01,0.05,0.06,0.01,0.06,Matches,2019-2020,Angers
Mateo Pavlović,ba BIH,DF,29,15,12,1202.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.8,0.8,0.2,1.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.12,0.09,0.12,Matches,2019-2020,Angers
Stéphane Bahoken,cm CMR,FW,27,24,13,1194.0,13.3,7.0,2.0,9.0,5.0,2.0,2.0,4.0,0.0,3.4,2.6,0.6,3.2,16.0,8.0,74.0,0.53,0.15,0.68,0.38,0.53,0.33,0.06,0.39,0.26,0.31,Matches,2019-2020,Angers
Antonin Bobichon,fr FRA,MF,23,15,12,910.0,10.1,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,1.6,20.0,42.0,24.0,0.2,0.1,0.3,0.2,0.3,0.14,0.09,0.23,0.14,0.23,Matches,2019-2020,Angers
Abdoulaye Bamba,ci CIV,DF,29,9,8,764.0,8.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,9.0,15.0,23.0,0.0,0.12,0.12,0.0,0.12,0.0,0.03,0.03,0.0,0.03,Matches,2019-2020,Angers
Casimir Ninga,td CHA,"MF,FW",26,18,7,737.0,8.2,3.0,1.0,4.0,3.0,0.0,0.0,2.0,1.0,3.2,3.2,1.1,4.3,30.0,21.0,63.0,0.37,0.12,0.49,0.37,0.49,0.42,0.14,0.56,0.42,0.56,Matches,2019-2020,Angers
Théo Pellenard,fr FRA,DF,25,11,6,660.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,12.0,21.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2019-2020,Angers
Danijel Petković,me MNE,GK,26,6,6,570.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Angers
Farid El Melali,dz ALG,"MF,FW",22,11,6,485.0,5.4,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.4,1.4,0.1,1.5,10.0,4.0,23.0,0.93,0.0,0.93,0.93,0.93,0.41,0.02,0.44,0.41,0.44,Matches,2019-2020,Angers
Souleyman Doumbia,ci CIV,DF,22,5,5,450.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,22.0,19.0,16.0,0.0,0.2,0.2,0.0,0.2,0.0,0.05,0.05,0.0,0.05,Matches,2019-2020,Angers
Vincent Pajot,fr FRA,MF,28,7,2,203.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,3.0,1.0,5.0,0.0,0.44,0.44,0.0,0.44,0.11,0.31,0.42,0.11,0.42,Matches,2019-2020,Angers
Zinédine Ould Khaled,fr FRA,MF,19,2,2,149.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Angers
Ibrahim Cissé,sn SEN,DF,23,2,2,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,2019-2020,Angers
Wilfried Kanga,ci CIV,FW,21,5,0,93.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,1.0,2.0,7.0,0.97,0.0,0.97,0.97,0.97,0.51,0.15,0.67,0.51,0.67,Matches,2019-2020,Angers
Jeff Reine-Adélaïde,fr FRA,MF,21,1,1,79.0,0.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,1.1,4.0,6.0,2.0,1.14,1.14,2.28,1.14,2.28,0.86,0.34,1.2,0.86,1.2,Matches,2019-2020,Angers
Mazire Soula,fr FRA,FW,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2019-2020,Angers
Jason Mbock,fr FRA,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2019-2020,Angers
Anthony Mandrea,dz ALG,GK,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2019-2020,Angers
Anthony Gomez Mancini,fr FRA,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2019-2020,Angers
