Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Ismaël Traoré,ci CIV,DF,34,37,36,3215.0,35.7,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,4.0,4.0,1.3,5.3,7.0,58.0,6.0,0.11,0.03,0.14,0.11,0.14,0.11,0.04,0.15,0.11,0.15,Matches,2021-2022,Angers
Angelo Fulgini,fr FRA,"MF,FW",24,36,35,2929.0,32.5,5.0,4.0,9.0,5.0,0.0,0.0,6.0,0.0,5.8,5.8,4.0,9.7,75.0,147.0,189.0,0.15,0.12,0.28,0.15,0.28,0.18,0.12,0.3,0.18,0.3,Matches,2021-2022,Angers
Romain Thomas,fr FRA,DF,33,31,30,2653.0,29.5,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,2.0,2.0,0.0,2.1,4.0,93.0,2.0,0.07,0.0,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,Matches,2021-2022,Angers
Batista Mendy,fr FRA,"MF,DF",21,35,28,2476.0,27.5,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,0.6,1.5,20.0,117.0,23.0,0.04,0.04,0.07,0.04,0.07,0.03,0.02,0.05,0.03,0.05,Matches,2021-2022,Angers
Vincent Manceau,fr FRA,DF,32,29,26,2451.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.3,0.4,19.0,113.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2021-2022,Angers
Sofiane Boufal,ma MAR,"FW,MF",27,29,28,2330.0,25.9,8.0,4.0,12.0,5.0,3.0,3.0,6.0,0.0,8.5,6.1,6.4,12.6,127.0,125.0,207.0,0.31,0.15,0.46,0.19,0.35,0.33,0.25,0.58,0.24,0.49,Matches,2021-2022,Angers
Thomas Mangani,fr FRA,MF,34,34,25,2220.0,24.7,7.0,2.0,9.0,1.0,6.0,6.0,6.0,0.0,5.7,0.9,1.3,2.2,8.0,165.0,31.0,0.28,0.08,0.36,0.04,0.12,0.23,0.05,0.28,0.04,0.09,Matches,2021-2022,Angers
Souleyman Doumbia,ci CIV,"DF,FW",24,27,27,2219.0,24.7,0.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,0.8,0.8,2.1,2.9,66.0,54.0,147.0,0.0,0.04,0.04,0.0,0.04,0.03,0.09,0.12,0.03,0.12,Matches,2021-2022,Angers
Jimmy Cabot,fr FRA,DF,27,24,24,2008.0,22.3,0.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,1.7,2.1,92.0,77.0,150.0,0.0,0.22,0.22,0.0,0.22,0.02,0.08,0.09,0.02,0.09,Matches,2021-2022,Angers
