Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Bukayo Saka,eng ENG,"FW,MF",19,43,40,3343.0,37.1,12.0,7.0,19.0,10.0,2.0,2.0,6.0,0.0,10.3,8.7,7.5,16.3,140.0,101.0,388.0,0.32,0.19,0.51,0.27,0.46,0.31,0.23,0.54,0.26,0.49,Matches,2021-2022,Arsenal
Aaron Ramsdale,eng ENG,GK,23,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Arsenal
Ben White,eng ENG,DF,23,37,37,3276.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.3,2.3,38.0,124.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Matches,2021-2022,Arsenal
Gabriel Magalhães,br BRA,DF,23,38,37,3261.0,36.2,5.0,0.0,5.0,5.0,0.0,0.0,9.0,1.0,3.2,3.2,0.7,3.9,12.0,110.0,9.0,0.14,0.0,0.14,0.14,0.14,0.09,0.02,0.12,0.09,0.12,Matches,2021-2022,Arsenal
Martin Ødegaard,no NOR,"MF,FW",22,40,36,3097.0,34.4,7.0,5.0,12.0,7.0,0.0,0.0,4.0,0.0,4.8,4.8,6.3,11.1,57.0,224.0,146.0,0.2,0.15,0.35,0.2,0.35,0.15,0.2,0.36,0.15,0.36,Matches,2021-2022,Arsenal
Granit Xhaka,ch SUI,"MF,DF",28,30,29,2451.0,27.2,1.0,2.0,3.0,1.0,0.0,0.0,10.0,2.0,1.4,1.4,2.3,3.7,39.0,230.0,67.0,0.04,0.07,0.11,0.04,0.11,0.05,0.09,0.14,0.05,0.14,Matches,2021-2022,Arsenal
Gabriel Martinelli,br BRA,"FW,MF",20,36,26,2328.0,25.9,6.0,6.0,12.0,5.0,1.0,1.0,4.0,1.0,7.3,6.6,4.3,11.0,79.0,37.0,207.0,0.23,0.23,0.46,0.19,0.43,0.35,0.21,0.56,0.32,0.53,Matches,2021-2022,Arsenal
Emile Smith Rowe,eng ENG,"MF,FW",21,37,24,2175.0,24.2,11.0,2.0,13.0,11.0,0.0,0.0,1.0,0.0,6.0,6.0,2.0,8.0,65.0,85.0,139.0,0.46,0.08,0.54,0.46,0.54,0.28,0.09,0.38,0.28,0.38,Matches,2021-2022,Arsenal
Kieran Tierney,sct SCO,DF,24,25,24,2151.0,23.9,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,1.8,2.4,62.0,105.0,128.0,0.04,0.13,0.17,0.04,0.17,0.03,0.09,0.11,0.03,0.11,Matches,2021-2022,Arsenal
