Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
James Chester,wls WAL,DF,28,47,47,4230.0,47.0,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,0.09,0.02,0.11,0.09,0.11,Matches,2017-2018,Aston Villa
Sam Johnstone,eng ENG,GK,24,45,45,4050.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Aston Villa
Conor Hourihane,ie IRL,MF,26,43,42,3601.0,40.0,11.0,2.0,13.0,11.0,0.0,0.0,8.0,0.0,0.27,0.05,0.32,0.27,0.32,Matches,2017-2018,Aston Villa
Ahmed Elmohamady,eg EGY,"DF,MF",29,43,36,3181.0,35.3,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,2017-2018,Aston Villa
Robert Snodgrass,sct SCO,"FW,MF",29,40,38,3144.0,34.9,7.0,14.0,21.0,6.0,1.0,1.0,9.0,0.0,0.2,0.4,0.6,0.17,0.57,Matches,2017-2018,Aston Villa
Albert Adomah,gh GHA,"DF,FW",29,41,36,3004.0,33.4,15.0,6.0,21.0,12.0,3.0,3.0,1.0,0.0,0.45,0.18,0.63,0.36,0.54,Matches,2017-2018,Aston Villa
John Terry,eng ENG,DF,36,33,33,2900.0,32.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,2017-2018,Aston Villa
Glenn Whelan,ie IRL,MF,33,33,30,2545.0,28.3,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches,2017-2018,Aston Villa
Alan Hutton,sct SCO,DF,32,30,27,2441.0,27.1,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,2017-2018,Aston Villa
