Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Jack Grealish,eng ENG,"FW,MF",23,41,39,3551.0,39.5,10.0,8.0,18.0,10.0,0.0,1.0,8.0,0.0,6.8,6.0,7.4,13.4,212.0,197.0,209.0,0.25,0.2,0.46,0.25,0.46,0.19,0.21,0.4,0.17,0.37,Matches,2019-2020,Aston Villa
Tyrone Mings,eng ENG,DF,26,36,36,3172.0,35.2,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,0.8,0.8,0.7,1.5,12.0,60.0,11.0,0.06,0.06,0.11,0.06,0.11,0.02,0.02,0.05,0.02,0.05,Matches,2019-2020,Aston Villa
Douglas Luiz,br BRA,MF,21,42,34,3152.0,35.0,3.0,2.0,5.0,3.0,0.0,0.0,9.0,0.0,2.6,2.6,1.7,4.2,35.0,143.0,46.0,0.09,0.06,0.14,0.09,0.14,0.09,0.06,0.15,0.09,0.15,Matches,2019-2020,Aston Villa
Matt Targett,eng ENG,"DF,MF",23,32,31,2603.0,28.9,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.4,0.4,2.6,3.0,22.0,115.0,81.0,0.07,0.07,0.14,0.07,0.14,0.02,0.1,0.12,0.02,0.12,Matches,2019-2020,Aston Villa
Ezri Konsa,eng ENG,DF,21,31,30,2579.0,28.7,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,1.5,1.5,1.0,2.4,8.0,53.0,13.0,0.07,0.07,0.14,0.07,0.14,0.06,0.04,0.11,0.06,0.11,Matches,2019-2020,Aston Villa
Anwar El Ghazi,nl NED,"FW,MF",24,40,32,2534.0,28.2,6.0,7.0,13.0,5.0,1.0,1.0,4.0,0.0,6.2,5.4,2.7,8.2,65.0,47.0,155.0,0.21,0.25,0.46,0.18,0.43,0.27,0.12,0.39,0.24,0.36,Matches,2019-2020,Aston Villa
John McGinn,sct SCO,MF,24,30,28,2387.0,26.5,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,3.9,3.9,2.5,6.4,38.0,113.0,84.0,0.11,0.11,0.23,0.11,0.23,0.15,0.1,0.25,0.15,0.25,Matches,2019-2020,Aston Villa
Frederic Guilbert,fr FRA,"DF,MF",24,29,25,2352.0,26.1,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,0.3,0.3,1.5,1.9,56.0,81.0,96.0,0.08,0.08,0.15,0.08,0.15,0.02,0.07,0.08,0.02,0.08,Matches,2019-2020,Aston Villa
Trézéguet,eg EGY,"FW,MF",24,41,24,2325.0,25.8,7.0,2.0,9.0,7.0,0.0,0.0,4.0,1.0,4.7,4.7,1.0,5.8,59.0,37.0,170.0,0.27,0.08,0.35,0.27,0.35,0.22,0.05,0.27,0.22,0.27,Matches,2019-2020,Aston Villa
