Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Ezri Konsa,eng ENG,DF,25,48,48,4244.0,47.2,1.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,2.9,2.9,0.6,3.4,48.0,174.0,39.0,0.02,0.0,0.02,0.02,0.02,0.07,0.01,0.08,0.07,0.08,Matches,2023-2024,Aston Villa
Ollie Watkins,eng ENG,FW,27,51,47,4216.0,46.8,24.0,13.0,37.0,24.0,0.0,0.0,7.0,0.0,19.6,19.6,7.8,27.4,69.0,66.0,260.0,0.51,0.28,0.79,0.51,0.79,0.45,0.18,0.63,0.45,0.63,Matches,2023-2024,Aston Villa
Douglas Luiz,br BRA,MF,25,51,47,4185.0,46.5,9.0,10.0,19.0,5.0,4.0,5.0,16.0,0.0,8.5,4.6,7.1,11.7,76.0,228.0,68.0,0.19,0.22,0.41,0.11,0.32,0.2,0.17,0.37,0.11,0.27,Matches,2023-2024,Aston Villa
John McGinn,sct SCO,"MF,FW",28,51,49,4164.0,46.3,9.0,7.0,16.0,9.0,0.0,0.0,11.0,1.0,5.5,5.5,5.8,11.3,67.0,241.0,114.0,0.19,0.15,0.35,0.19,0.35,0.13,0.13,0.26,0.13,0.26,Matches,2023-2024,Aston Villa
Emiliano Martínez,ar ARG,GK,30,46,46,4125.0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Aston Villa
Matty Cash,pl POL,DF,25,44,34,3257.0,36.2,4.0,3.0,7.0,4.0,0.0,0.0,11.0,0.0,4.6,4.6,2.9,7.5,86.0,134.0,146.0,0.11,0.08,0.19,0.11,0.19,0.15,0.09,0.24,0.15,0.24,Matches,2023-2024,Aston Villa
Lucas Digne,fr FRA,DF,30,45,36,3256.0,36.2,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,1.4,1.4,4.4,5.8,58.0,104.0,266.0,0.06,0.08,0.14,0.06,0.14,0.04,0.12,0.16,0.04,0.16,Matches,2023-2024,Aston Villa
Pau Torres,es ESP,DF,26,37,34,3058.0,34.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.5,52.0,158.0,17.0,0.06,0.0,0.06,0.06,0.06,0.03,0.02,0.05,0.03,0.05,Matches,2023-2024,Aston Villa
Moussa Diaby,fr FRA,"FW,MF",24,53,35,3039.0,33.8,10.0,9.0,19.0,10.0,0.0,0.0,4.0,0.0,7.9,7.9,7.0,15.0,123.0,102.0,242.0,0.3,0.27,0.56,0.3,0.56,0.25,0.22,0.48,0.25,0.48,Matches,2023-2024,Aston Villa
