Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Remo Freuler,ch SUI,MF,26,39,39,3349.0,37.2,2.0,6.0,8.0,2.0,0.0,0.0,7.0,0.0,3.2,3.2,3.9,7.2,100.0,276.0,77.0,0.05,0.16,0.21,0.05,0.21,0.1,0.12,0.21,0.1,0.21,Matches,2018-2019,Atalanta
Papu Gómez,ar ARG,"MF,FW",30,40,39,3344.0,37.2,9.0,11.0,20.0,9.0,0.0,0.0,5.0,0.0,8.4,8.4,12.8,21.3,239.0,238.0,264.0,0.24,0.3,0.54,0.24,0.54,0.26,0.4,0.66,0.26,0.66,Matches,2018-2019,Atalanta
Hans Hateboer,nl NED,DF,24,39,37,3333.0,37.0,5.0,5.0,10.0,5.0,0.0,0.0,7.0,0.0,5.2,5.2,5.0,10.1,100.0,136.0,243.0,0.14,0.14,0.27,0.14,0.27,0.16,0.15,0.31,0.16,0.31,Matches,2018-2019,Atalanta
Duván Zapata,co COL,FW,27,42,37,3333.0,37.0,26.0,8.0,34.0,25.0,1.0,2.0,6.0,0.0,18.9,17.3,9.5,26.8,108.0,68.0,374.0,0.7,0.22,0.92,0.68,0.89,0.59,0.3,0.88,0.54,0.83,Matches,2018-2019,Atalanta
Marten de Roon,nl NED,MF,27,39,38,3328.0,37.0,3.0,3.0,6.0,2.0,1.0,1.0,8.0,0.0,1.8,1.0,2.0,3.0,33.0,254.0,40.0,0.08,0.08,0.16,0.05,0.14,0.05,0.06,0.11,0.03,0.09,Matches,2018-2019,Atalanta
José Luis Palomino,ar ARG,DF,28,35,30,2709.0,30.1,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,1.9,1.9,0.5,2.4,5.0,63.0,4.0,0.03,0.03,0.07,0.03,0.07,0.08,0.02,0.1,0.08,0.1,Matches,2018-2019,Atalanta
Josip Iličić,si SVN,"FW,MF",30,36,28,2525.0,28.1,13.0,10.0,23.0,12.0,1.0,2.0,5.0,1.0,10.6,9.9,7.5,17.4,155.0,181.0,286.0,0.46,0.36,0.82,0.43,0.78,0.45,0.32,0.76,0.41,0.73,Matches,2018-2019,Atalanta
Timothy Castagne,be BEL,DF,22,33,26,2450.0,27.2,5.0,4.0,9.0,5.0,0.0,0.0,3.0,0.0,2.8,2.8,2.6,5.4,61.0,82.0,159.0,0.18,0.15,0.33,0.18,0.33,0.13,0.12,0.24,0.13,0.24,Matches,2018-2019,Atalanta
Gianluca Mancini,it ITA,DF,22,32,26,2342.0,26.0,5.0,2.0,7.0,5.0,0.0,0.0,6.0,0.0,5.3,5.3,1.4,6.7,26.0,90.0,20.0,0.19,0.08,0.27,0.19,0.27,0.21,0.06,0.27,0.21,0.27,Matches,2018-2019,Atalanta
