Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Berat Djimsiti,al ALB,DF,30,54,49,4325.0,48.1,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,1.2,1.2,1.6,2.7,10.0,115.0,17.0,0.02,0.02,0.04,0.02,0.04,0.03,0.04,0.06,0.03,0.06,Matches,2023-2024,Atalanta
Éderson,br BRA,MF,24,53,47,4169.0,46.3,7.0,1.0,8.0,7.0,0.0,0.0,10.0,0.0,4.3,4.3,3.0,7.3,41.0,276.0,66.0,0.15,0.02,0.17,0.15,0.17,0.1,0.07,0.17,0.1,0.17,Matches,2023-2024,Atalanta
Marten de Roon,nl NED,"MF,DF",32,46,45,3935.0,43.7,0.0,5.0,5.0,0.0,0.0,0.0,14.0,0.0,0.7,0.7,1.3,2.0,31.0,222.0,27.0,0.0,0.11,0.11,0.0,0.11,0.02,0.03,0.05,0.02,0.05,Matches,2023-2024,Atalanta
Teun Koopmeiners,nl NED,MF,25,51,43,3918.0,43.5,15.0,7.0,22.0,12.0,3.0,3.0,7.0,0.0,8.2,6.6,7.3,13.9,113.0,230.0,246.0,0.34,0.16,0.51,0.28,0.44,0.21,0.18,0.39,0.17,0.35,Matches,2023-2024,Atalanta
Matteo Ruggeri,it ITA,DF,21,48,42,3636.0,40.4,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,1.7,1.7,2.8,4.5,74.0,204.0,187.0,0.05,0.12,0.17,0.05,0.17,0.05,0.08,0.12,0.05,0.12,Matches,2023-2024,Atalanta
Giorgio Scalvini,it ITA,DF,19,44,37,3214.0,35.7,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,2.1,2.1,1.1,3.2,37.0,139.0,39.0,0.06,0.08,0.14,0.06,0.14,0.06,0.03,0.1,0.06,0.1,Matches,2023-2024,Atalanta
Sead Kolašinac,ba BIH,DF,30,43,38,3193.0,35.5,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,2.0,2.0,1.1,3.1,36.0,145.0,40.0,0.03,0.0,0.03,0.03,0.03,0.06,0.04,0.1,0.06,0.1,Matches,2023-2024,Atalanta
Charles De Ketelaere,be BEL,"FW,MF",22,50,36,2919.0,32.4,14.0,11.0,25.0,13.0,1.0,1.0,1.0,0.0,9.5,8.7,8.4,17.1,116.0,168.0,279.0,0.43,0.34,0.77,0.4,0.74,0.33,0.29,0.61,0.3,0.58,Matches,2023-2024,Atalanta
Marco Carnesecchi,it ITA,GK,23,32,32,2868.0,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Atalanta
Davide Zappacosta,it ITA,DF,31,46,35,2830.0,31.4,2.0,5.0,7.0,2.0,0.0,0.0,7.0,0.0,2.6,2.6,2.2,4.8,92.0,108.0,178.0,0.06,0.16,0.22,0.06,0.22,0.09,0.08,0.17,0.09,0.17,Matches,2023-2024,Atalanta
Ademola Lookman,ng NGA,"FW,MF",25,45,33,2799.0,31.1,17.0,9.0,26.0,17.0,0.0,0.0,6.0,0.0,11.9,11.9,6.3,18.2,120.0,131.0,323.0,0.55,0.29,0.84,0.55,0.84,0.41,0.22,0.63,0.41,0.63,Matches,2023-2024,Atalanta
Mario Pašalić,hr CRO,MF,28,50,28,2742.0,30.5,8.0,7.0,15.0,6.0,2.0,2.0,3.0,0.0,10.1,8.5,5.5,14.0,58.0,151.0,90.0,0.26,0.23,0.49,0.2,0.43,0.36,0.2,0.56,0.31,0.5,Matches,2023-2024,Atalanta
Gianluca Scamacca,it ITA,FW,24,44,27,2311.0,25.7,19.0,7.0,26.0,19.0,0.0,0.0,5.0,0.0,11.1,11.1,4.7,15.8,34.0,54.0,238.0,0.74,0.27,1.01,0.74,1.01,0.46,0.2,0.66,0.46,0.66,Matches,2023-2024,Atalanta
Juan Musso,ar ARG,GK,29,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Atalanta
Aleksei Miranchuk,ru RUS,"MF,FW",27,42,19,1858.0,20.6,4.0,10.0,14.0,4.0,0.0,0.0,2.0,0.0,5.8,5.8,7.0,12.8,54.0,95.0,157.0,0.19,0.48,0.68,0.19,0.68,0.33,0.4,0.72,0.33,0.72,Matches,2023-2024,Atalanta
Isak Hien,se SWE,DF,24,26,18,1675.0,18.6,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.2,0.2,0.1,0.3,2.0,38.0,0.0,0.0,0.05,0.05,0.0,0.05,0.01,0.0,0.02,0.01,0.02,Matches,2023-2024,Atalanta
Emil Holm,se SWE,DF,23,32,18,1524.0,16.9,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,3.2,3.2,1.1,4.3,38.0,35.0,95.0,0.06,0.12,0.18,0.06,0.18,0.23,0.08,0.31,0.23,0.31,Matches,2023-2024,Atalanta
Hans Hateboer,nl NED,DF,29,32,12,1428.0,15.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,2.6,3.0,25.0,51.0,90.0,0.0,0.06,0.06,0.0,0.06,0.03,0.17,0.19,0.03,0.19,Matches,2023-2024,Atalanta
Rafael Tolói,it ITA,DF,32,24,13,1289.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.2,0.2,0.4,0.6,8.0,70.0,15.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,2023-2024,Atalanta
Luis Muriel,co COL,"FW,MF",32,25,5,699.0,7.8,6.0,1.0,7.0,5.0,1.0,1.0,0.0,0.0,4.5,3.7,2.9,6.6,33.0,39.0,86.0,0.77,0.13,0.9,0.64,0.77,0.6,0.38,0.98,0.49,0.87,Matches,2023-2024,Atalanta
Mitchel Bakker,nl NED,DF,23,20,5,565.0,6.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,14.0,17.0,36.0,0.16,0.0,0.16,0.16,0.16,0.03,0.02,0.06,0.03,0.06,Matches,2023-2024,Atalanta
El Bilal Touré,ml MLI,FW,21,17,3,488.0,5.4,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.5,1.5,0.8,2.3,18.0,13.0,43.0,0.55,0.0,0.55,0.55,0.55,0.31,0.16,0.47,0.31,0.47,Matches,2023-2024,Atalanta
Nadir Zortea,it ITA,DF,24,7,1,243.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,12.0,14.0,29.0,0.37,0.0,0.37,0.37,0.37,0.03,0.1,0.13,0.03,0.13,Matches,2023-2024,Atalanta
Michel Ndary Adopo,fr FRA,MF,23,11,1,198.0,2.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,3.0,12.0,17.0,0.0,0.45,0.45,0.0,0.45,0.03,0.03,0.06,0.03,0.06,Matches,2023-2024,Atalanta
Giovanni Bonfanti,it ITA,DF,20,3,2,179.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,0.0,1.0,2.0,0.5,0.0,0.5,0.5,0.5,0.16,0.0,0.16,0.16,0.16,Matches,2023-2024,Atalanta
Duván Zapata,co COL,FW,32,2,2,112.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,3.0,3.0,13.0,0.8,0.0,0.8,0.8,0.8,0.33,0.1,0.44,0.33,0.44,Matches,2023-2024,Atalanta
Tommaso Del Lungo,it ITA,DF,19,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.58,0.58,0.58,Matches,2023-2024,Atalanta
José Luis Palomino,ar ARG,DF,33,6,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Atalanta
Francesco Rossi,it ITA,GK,32,2,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Atalanta
Marco Palestra,it ITA,DF,18,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Atalanta
Leonardo Mendicino,it ITA,MF,17,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Atalanta
Tommaso De Nipoti,it ITA,FW,20,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Atalanta
Moustapha Cissé,gn GUI,FW,19,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Atalanta
Pietro Comi,it ITA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023-2024,Atalanta
Alberto Manzoni,it ITA,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023-2024,Atalanta
Siren Diao,es ESP,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023-2024,Atalanta
