Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Iker Muniain,es ESP,MF,28,41,40,3344.0,37.2,6.0,12.0,18.0,4.0,2.0,4.0,4.0,0.0,5.8,3.4,9.5,12.8,81.0,218.0,161.0,0.16,0.32,0.48,0.11,0.43,0.19,0.31,0.49,0.11,0.41,Matches,2021-2022,Athletic Club
Iñaki Williams,gh GHA,FW,27,44,37,3283.0,36.5,8.0,5.0,13.0,7.0,1.0,1.0,6.0,0.0,14.1,13.3,5.7,19.0,76.0,45.0,316.0,0.22,0.14,0.36,0.19,0.33,0.46,0.18,0.64,0.43,0.61,Matches,2021-2022,Athletic Club
Unai Simón,es ESP,GK,24,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Athletic Club
Iñigo Martínez,es ESP,DF,30,34,33,3001.0,33.3,4.0,0.0,4.0,4.0,0.0,0.0,11.0,2.0,2.0,2.0,0.5,2.5,29.0,78.0,8.0,0.12,0.0,0.12,0.12,0.12,0.08,0.02,0.09,0.08,0.09,Matches,2021-2022,Athletic Club
Dani García,es ESP,MF,31,39,33,2725.0,30.3,0.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0.6,0.6,0.6,1.1,10.0,115.0,7.0,0.0,0.03,0.03,0.0,0.03,0.02,0.02,0.05,0.02,0.05,Matches,2021-2022,Athletic Club
Álex Berenguer,es ESP,MF,26,41,29,2591.0,28.8,4.0,6.0,10.0,4.0,0.0,1.0,8.0,0.0,5.2,4.5,5.4,9.9,59.0,77.0,202.0,0.14,0.21,0.35,0.14,0.35,0.22,0.23,0.44,0.19,0.41,Matches,2021-2022,Athletic Club
Unai Vencedor Paris,es ESP,MF,20,35,29,2413.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.7,1.6,16.0,180.0,20.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches,2021-2022,Athletic Club
Yeray Álvarez,es ESP,DF,26,27,26,2265.0,25.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.5,0.5,0.1,0.6,16.0,64.0,4.0,0.04,0.0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,Matches,2021-2022,Athletic Club
Daniel Vivian,es ESP,DF,22,27,24,2241.0,24.9,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.3,1.3,0.5,1.8,3.0,56.0,2.0,0.08,0.04,0.12,0.08,0.12,0.06,0.02,0.08,0.06,0.08,Matches,2021-2022,Athletic Club
Mikel Balenziaga,es ESP,DF,33,31,25,2216.0,24.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,29.0,68.0,66.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,Matches,2021-2022,Athletic Club
Raúl García,es ESP,FW,35,42,29,2214.0,24.6,7.0,2.0,9.0,7.0,0.0,2.0,3.0,0.0,6.1,5.3,2.7,8.0,12.0,87.0,113.0,0.28,0.08,0.37,0.28,0.37,0.3,0.13,0.44,0.26,0.4,Matches,2021-2022,Athletic Club
Iñigo Lekue,es ESP,DF,28,29,25,2181.0,24.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,2.3,2.5,52.0,84.0,72.0,0.0,0.08,0.08,0.0,0.08,0.01,0.11,0.11,0.01,0.11,Matches,2021-2022,Athletic Club
Óscar de Marcos,es ESP,DF,32,26,23,2053.0,22.8,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.3,0.3,2.1,2.4,42.0,92.0,91.0,0.04,0.09,0.13,0.04,0.13,0.01,0.12,0.13,0.01,0.13,Matches,2021-2022,Athletic Club
