Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Jan Oblak,si SVN,GK,25,46,46,4170.0,46.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Atletico Madrid
Antoine Griezmann,fr FRA,FW,27,48,47,4062.0,45.1,21.0,11.0,32.0,18.0,3.0,3.0,8.0,0.0,16.6,14.3,9.4,23.7,109.0,165.0,307.0,0.47,0.24,0.71,0.4,0.64,0.38,0.22,0.6,0.33,0.54,Matches,2018-2019,Atletico Madrid
Saúl Ñíguez,es ESP,"MF,DF",23,45,43,3911.0,43.5,6.0,3.0,9.0,6.0,0.0,1.0,11.0,0.0,5.8,4.9,1.5,6.3,71.0,142.0,131.0,0.14,0.07,0.21,0.14,0.21,0.15,0.04,0.18,0.12,0.16,Matches,2018-2019,Atletico Madrid
Rodri,es ESP,MF,22,47,41,3672.0,40.8,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,2.9,2.9,1.4,4.3,30.0,185.0,18.0,0.07,0.02,0.1,0.07,0.1,0.08,0.04,0.12,0.08,0.12,Matches,2018-2019,Atletico Madrid
Koke,es ESP,MF,26,41,40,3507.0,39.0,6.0,6.0,12.0,6.0,0.0,0.0,11.0,1.0,2.0,2.0,5.9,7.9,37.0,226.0,98.0,0.15,0.15,0.31,0.15,0.31,0.06,0.17,0.23,0.06,0.23,Matches,2018-2019,Atletico Madrid
Diego Godín,uy URU,DF,32,39,37,3349.0,37.2,4.0,3.0,7.0,4.0,0.0,0.0,8.0,0.0,2.8,2.8,0.5,3.4,15.0,75.0,5.0,0.11,0.08,0.19,0.11,0.19,0.08,0.02,0.1,0.08,0.1,Matches,2018-2019,Atletico Madrid
Thomas Partey,gh GHA,MF,25,42,30,2728.0,30.3,3.0,6.0,9.0,3.0,0.0,0.0,12.0,1.0,1.7,1.7,1.8,3.6,44.0,170.0,34.0,0.1,0.2,0.3,0.1,0.3,0.06,0.07,0.13,0.06,0.13,Matches,2018-2019,Atletico Madrid
Thomas Lemar,fr FRA,"MF,FW",22,43,31,2599.0,28.9,4.0,6.0,10.0,4.0,0.0,0.0,5.0,0.0,3.2,3.2,3.6,6.8,78.0,108.0,152.0,0.14,0.21,0.35,0.14,0.35,0.13,0.15,0.28,0.13,0.28,Matches,2018-2019,Atletico Madrid
Ángel Correa,ar ARG,"MF,FW",23,49,25,2594.0,28.8,5.0,3.0,8.0,5.0,0.0,0.0,10.0,1.0,3.2,3.2,5.3,8.5,85.0,90.0,183.0,0.17,0.1,0.28,0.17,0.28,0.13,0.21,0.34,0.13,0.34,Matches,2018-2019,Atletico Madrid
