Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Jan Oblak,si SVN,GK,27,46,46,4140.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Atletico Madrid
Stefan Savić,me MNE,DF,29,42,41,3743.0,41.6,1.0,0.0,1.0,1.0,0.0,0.0,16.0,1.0,0.9,0.9,0.1,1.0,36.0,123.0,4.0,0.02,0.0,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,Matches,2020-2021,Atletico Madrid
Koke,es ESP,MF,28,45,41,3684.0,40.9,1.0,2.0,3.0,1.0,0.0,0.0,11.0,0.0,2.4,2.4,3.1,5.5,51.0,306.0,51.0,0.02,0.05,0.07,0.02,0.07,0.06,0.08,0.14,0.06,0.14,Matches,2020-2021,Atletico Madrid
Marcos Llorente,es ESP,"MF,DF",25,45,41,3610.0,40.1,13.0,12.0,25.0,13.0,0.0,0.0,8.0,0.0,4.2,4.2,6.8,10.9,103.0,162.0,253.0,0.32,0.3,0.62,0.32,0.62,0.1,0.17,0.27,0.1,0.27,Matches,2020-2021,Atletico Madrid
Kieran Trippier,eng ENG,"DF,FW",29,35,35,3083.0,34.3,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,4.4,4.6,60.0,220.0,254.0,0.0,0.18,0.18,0.0,0.18,0.0,0.13,0.13,0.0,0.13,Matches,2020-2021,Atletico Madrid
Ángel Correa,ar ARG,"MF,FW",25,48,36,3048.0,33.9,9.0,11.0,20.0,9.0,0.0,0.0,3.0,0.0,8.2,8.1,7.7,15.7,76.0,104.0,233.0,0.27,0.32,0.59,0.27,0.59,0.26,0.24,0.5,0.25,0.49,Matches,2020-2021,Atletico Madrid
Mario Hermoso,es ESP,DF,25,38,34,3016.0,33.5,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,1.6,1.6,0.6,2.2,35.0,199.0,24.0,0.06,0.03,0.09,0.06,0.09,0.05,0.02,0.07,0.05,0.07,Matches,2020-2021,Atletico Madrid
Luis Suárez,uy URU,FW,33,38,36,2965.0,32.9,21.0,3.0,24.0,18.0,3.0,3.0,7.0,0.0,17.1,14.8,4.0,18.7,32.0,53.0,201.0,0.64,0.09,0.73,0.55,0.64,0.52,0.12,0.64,0.45,0.57,Matches,2020-2021,Atletico Madrid
Saúl Ñíguez,es ESP,MF,25,41,30,2673.0,29.7,2.0,1.0,3.0,2.0,0.0,1.0,13.0,0.0,3.0,2.1,1.8,3.9,24.0,108.0,100.0,0.07,0.03,0.1,0.07,0.1,0.11,0.06,0.17,0.08,0.14,Matches,2020-2021,Atletico Madrid
