Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Philipp Max,de GER,DF,23,34,34,3049.0,33.9,2.0,12.0,14.0,2.0,0.0,0.0,5.0,0.0,0.8,0.8,9.3,10.2,66.0,102.0,136.0,0.06,0.35,0.41,0.06,0.41,0.03,0.28,0.31,0.03,0.31,Matches,2017-2018,Augsburg
Marwin Hitz,ch SUI,GK,29,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Augsburg
Caiuby,br BRA,FW,29,33,32,2855.0,31.7,5.0,7.0,12.0,5.0,0.0,0.0,8.0,0.0,5.1,5.1,4.0,9.1,66.0,84.0,141.0,0.16,0.22,0.38,0.16,0.38,0.16,0.13,0.29,0.16,0.29,Matches,2017-2018,Augsburg
Martin Hinteregger,at AUT,DF,24,31,30,2745.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.2,2.2,0.3,2.5,27.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.09,0.07,0.09,Matches,2017-2018,Augsburg
Daniel Baier,de GER,MF,33,30,30,2628.0,29.2,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.9,0.9,1.9,2.7,33.0,197.0,29.0,0.0,0.07,0.07,0.0,0.07,0.03,0.07,0.1,0.03,0.1,Matches,2017-2018,Augsburg
Michael Gregoritsch,at AUT,"MF,FW",23,33,31,2599.0,28.9,13.0,3.0,16.0,12.0,1.0,1.0,3.0,0.0,11.5,10.7,1.3,12.0,41.0,79.0,141.0,0.45,0.1,0.55,0.42,0.52,0.41,0.05,0.46,0.38,0.43,Matches,2017-2018,Augsburg
Jeffrey Gouweleeuw,nl NED,DF,26,28,28,2475.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.4,1.3,25.0,108.0,7.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,2017-2018,Augsburg
Rani Khedira,de GER,"MF,DF",23,31,28,2365.0,26.3,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,1.4,1.4,0.8,2.2,12.0,84.0,32.0,0.04,0.04,0.08,0.04,0.08,0.05,0.03,0.09,0.05,0.09,Matches,2017-2018,Augsburg
Koo Ja-cheol,kr KOR,MF,28,29,23,2064.0,22.9,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3.1,3.1,1.0,4.0,20.0,68.0,70.0,0.09,0.0,0.09,0.09,0.09,0.14,0.04,0.18,0.14,0.18,Matches,2017-2018,Augsburg
Alfreð Finnbogason,is ISL,FW,28,23,23,1904.0,21.2,12.0,3.0,15.0,9.0,3.0,3.0,2.0,0.0,10.7,8.4,3.7,12.1,38.0,41.0,141.0,0.57,0.14,0.71,0.43,0.57,0.53,0.19,0.72,0.42,0.6,Matches,2017-2018,Augsburg
Jonathan Schmid,fr FRA,"DF,FW",27,26,16,1563.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7,1.7,1.8,3.6,21.0,34.0,75.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.22,0.11,0.22,Matches,2017-2018,Augsburg
Daniel Opare,gh GHA,DF,26,17,17,1417.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.1,0.1,0.6,0.7,40.0,54.0,32.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,2017-2018,Augsburg
Marcel Heller,de GER,"FW,MF",31,25,15,1366.0,15.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.5,1.5,2.4,3.9,59.0,26.0,112.0,0.0,0.07,0.07,0.0,0.07,0.1,0.17,0.27,0.1,0.27,Matches,2017-2018,Augsburg
Kevin Danso,at AUT,DF,18,16,13,1105.0,12.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.8,1.8,0.4,2.3,9.0,36.0,4.0,0.16,0.0,0.16,0.16,0.16,0.15,0.03,0.18,0.15,0.18,Matches,2017-2018,Augsburg
Raphael Framberger,de GER,DF,21,10,8,786.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.3,1.3,23.0,38.0,40.0,0.0,0.0,0.0,0.0,0.0,0.01,0.16,0.17,0.01,0.17,Matches,2017-2018,Augsburg
Jan Morávek,cz CZE,MF,27,16,7,702.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.1,0.1,0.2,0.3,8.0,36.0,14.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,2017-2018,Augsburg
Marco Richter,de GER,FW,19,12,6,644.0,7.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,1.6,2.4,17.0,15.0,41.0,0.14,0.0,0.14,0.14,0.14,0.13,0.23,0.36,0.13,0.36,Matches,2017-2018,Augsburg
Sergio Córdova,ve VEN,"FW,MF",19,27,3,609.0,6.8,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.6,1.6,0.7,2.3,13.0,11.0,50.0,0.3,0.15,0.44,0.3,0.44,0.24,0.11,0.35,0.24,0.35,Matches,2017-2018,Augsburg
Gojko Kačar,rs SRB,DF,30,6,3,228.0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,2.0,1.0,2.0,0.39,0.0,0.39,0.39,0.39,0.13,0.0,0.13,0.13,0.13,Matches,2017-2018,Augsburg
Andreas Luthe,de GER,GK,30,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Augsburg
Erik Thommy,de GER,FW,22,6,2,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.6,0.9,3.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.17,0.33,0.5,0.17,0.5,Matches,2017-2018,Augsburg
Christoph Janker,de GER,"DF,MF",32,5,0,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Augsburg
Kilian Jakob,de GER,FW,19,1,1,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,Matches,2017-2018,Augsburg
