Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Daniel Baier,de GER,MF,34,36,36,3081.0,34.2,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.9,0.9,1.2,2.1,50.0,187.0,34.0,0.0,0.03,0.03,0.0,0.03,0.03,0.04,0.07,0.03,0.07,Matches,2018-2019,Augsburg
Rani Khedira,de GER,"DF,MF",24,34,34,3018.0,33.5,4.0,1.0,5.0,4.0,0.0,0.0,7.0,0.0,1.5,1.5,0.6,2.1,14.0,72.0,27.0,0.12,0.03,0.15,0.12,0.15,0.05,0.02,0.07,0.05,0.07,Matches,2018-2019,Augsburg
Philipp Max,de GER,"DF,MF",24,34,34,2989.0,33.2,4.0,4.0,8.0,4.0,0.0,0.0,2.0,0.0,2.4,2.4,4.9,7.3,63.0,89.0,155.0,0.12,0.12,0.24,0.12,0.24,0.08,0.17,0.25,0.08,0.25,Matches,2018-2019,Augsburg
Michael Gregoritsch,at AUT,"MF,FW",24,36,32,2907.0,32.3,8.0,2.0,10.0,7.0,1.0,1.0,5.0,0.0,10.1,9.3,2.5,11.8,36.0,102.0,145.0,0.25,0.06,0.31,0.22,0.28,0.36,0.09,0.45,0.34,0.43,Matches,2018-2019,Augsburg
Jonathan Schmid,fr FRA,DF,28,29,29,2610.0,29.0,3.0,7.0,10.0,3.0,0.0,0.0,1.0,0.0,0.8,0.8,3.3,4.1,43.0,109.0,87.0,0.1,0.24,0.34,0.1,0.34,0.03,0.12,0.15,0.03,0.15,Matches,2018-2019,Augsburg
Jeffrey Gouweleeuw,nl NED,DF,27,28,27,2422.0,26.9,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,2.0,2.7,25.0,127.0,2.0,0.0,0.11,0.11,0.0,0.11,0.03,0.09,0.12,0.03,0.12,Matches,2018-2019,Augsburg
André Hahn,de GER,"FW,MF",27,32,25,2383.0,26.5,5.0,4.0,9.0,5.0,0.0,0.0,8.0,0.0,2.9,2.9,4.1,7.0,41.0,29.0,127.0,0.19,0.15,0.34,0.19,0.34,0.13,0.18,0.31,0.13,0.31,Matches,2018-2019,Augsburg
Koo Ja-cheol,kr KOR,MF,29,28,21,1824.0,20.3,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,3.7,3.7,0.8,4.5,24.0,65.0,48.0,0.1,0.05,0.15,0.1,0.15,0.2,0.05,0.25,0.2,0.25,Matches,2018-2019,Augsburg
Martin Hinteregger,at AUT,DF,25,20,20,1785.0,19.8,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.9,0.9,0.7,1.6,16.0,65.0,2.0,0.1,0.0,0.1,0.1,0.1,0.05,0.04,0.09,0.05,0.09,Matches,2018-2019,Augsburg
Marco Richter,de GER,"MF,FW",20,29,20,1726.0,19.2,5.0,7.0,12.0,5.0,0.0,0.0,4.0,0.0,3.5,3.5,2.9,6.5,57.0,45.0,142.0,0.26,0.37,0.63,0.26,0.63,0.22,0.18,0.41,0.22,0.41,Matches,2018-2019,Augsburg
Gregor Kobel,ch SUI,GK,20,18,18,1599.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Augsburg
Andreas Luthe,de GER,GK,31,17,16,1521.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Augsburg
