Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Quentin Bernard,fr FRA,DF,30,31,30,2691.0,29.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,2019-2020,Auxerre
Birama Touré,ml MLI,MF,27,28,28,2496.0,27.7,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.04,0.04,0.0,0.04,Matches,2019-2020,Auxerre
Mathieu Michel,fr FRA,GK,27,27,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Auxerre
François Bellugou,fr FRA,MF,32,27,26,2370.0,26.3,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2019-2020,Auxerre
Alexandre Coeff,fr FRA,DF,27,26,26,2352.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Auxerre
Carlens Arcus,ht HAI,DF,23,25,25,2173.0,24.1,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.08,0.08,0.0,0.08,Matches,2019-2020,Auxerre
Samuel Souprayen,fr FRA,DF,30,23,22,2044.0,22.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2019-2020,Auxerre
Mickaël Barreto,fr FRA,MF,28,27,23,2028.0,22.5,0.0,8.0,8.0,0.0,0.0,0.0,5.0,2.0,0.0,0.36,0.36,0.0,0.36,Matches,2019-2020,Auxerre
Hamza Sakhi,fr FRA,MF,23,27,22,1949.0,21.7,3.0,2.0,5.0,3.0,0.0,0.0,6.0,0.0,0.14,0.09,0.23,0.14,0.23,Matches,2019-2020,Auxerre
Rémy Dugimont,fr FRA,"MF,FW",33,28,17,1636.0,18.2,6.0,2.0,8.0,4.0,2.0,2.0,3.0,0.0,0.33,0.11,0.44,0.22,0.33,Matches,2019-2020,Auxerre
Jean Harisson Marcelin,mg MAD,DF,19,17,16,1474.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Auxerre
Mickaël Le Bihan,fr FRA,FW,29,18,15,1314.0,14.6,5.0,2.0,7.0,5.0,0.0,0.0,1.0,2.0,0.34,0.14,0.48,0.34,0.48,Matches,2019-2020,Auxerre
Axel Ngando,fr FRA,"MF,FW",26,19,13,934.0,10.4,6.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,0.58,0.1,0.67,0.58,0.67,Matches,2019-2020,Auxerre
Yanis Merdji,dz ALG,FW,25,17,7,827.0,9.2,5.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,0.54,0.0,0.54,0.54,0.54,Matches,2019-2020,Auxerre
Eddy Sylvestre,fr FRA,MF,19,16,9,782.0,8.7,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches,2019-2020,Auxerre
Mohamed Yattara,gn GUI,FW,26,12,10,764.0,8.5,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.35,0.0,0.35,0.35,0.35,Matches,2019-2020,Auxerre
Dejan Sorgić,rs SRB,FW,29,19,6,614.0,6.8,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.44,0.15,0.59,0.44,0.59,Matches,2019-2020,Auxerre
Kenji-Van Boto,mg MAD,DF,23,9,5,542.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Auxerre
Zacharie Boucher,fr FRA,GK,27,4,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Auxerre
Jordan Adéoti,bj BEN,MF,30,7,4,357.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.25,Matches,2019-2020,Auxerre
Aly Ndom,fr FRA,MF,23,8,3,338.0,3.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.27,0.27,0.53,0.27,0.53,Matches,2019-2020,Auxerre
