Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Birama Touré,ml MLI,MF,30,39,39,3520.0,39.1,2.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,1.9,1.1,0.2,1.3,10.0,138.0,25.0,0.05,0.0,0.05,0.05,0.05,0.05,0.01,0.06,0.03,0.04,Matches,2022-2023,Auxerre
Jubal,br BRA,DF,28,40,38,3517.0,39.1,4.0,1.0,5.0,3.0,1.0,1.0,7.0,0.0,3.1,2.3,0.4,2.7,7.0,73.0,1.0,0.1,0.03,0.13,0.08,0.1,0.09,0.01,0.1,0.06,0.08,Matches,2022-2023,Auxerre
Rayan Raveloson,mg MAD,"DF,MF",25,37,30,2689.0,29.9,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,2.4,2.4,0.9,3.3,36.0,100.0,61.0,0.13,0.03,0.17,0.13,0.17,0.09,0.03,0.12,0.09,0.12,Matches,2022-2023,Auxerre
Gideon Mensah,gh GHA,DF,24,27,26,2304.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,2.1,2.1,56.0,116.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.0,0.09,Matches,2022-2023,Auxerre
Nuno da Costa,cv CPV,"FW,MF",31,36,25,2211.0,24.6,6.0,6.0,12.0,6.0,0.0,0.0,5.0,1.0,4.6,4.6,3.7,8.3,30.0,32.0,130.0,0.24,0.24,0.49,0.24,0.49,0.21,0.17,0.37,0.21,0.37,Matches,2022-2023,Auxerre
Gauthier Hein,fr FRA,"MF,FW",25,38,25,2103.0,23.4,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3.9,3.9,3.1,7.0,61.0,76.0,142.0,0.09,0.0,0.09,0.09,0.09,0.19,0.15,0.34,0.19,0.34,Matches,2022-2023,Auxerre
Julian Jeanvier,gn GUI,DF,30,24,22,1970.0,21.9,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.2,1.2,0.0,1.2,4.0,27.0,6.0,0.05,0.0,0.05,0.05,0.05,0.06,0.0,0.06,0.06,0.06,Matches,2022-2023,Auxerre
Hamza Sakhi,fr FRA,MF,26,30,20,1864.0,20.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.7,1.7,3.2,4.9,43.0,135.0,75.0,0.05,0.1,0.14,0.05,0.14,0.09,0.17,0.27,0.09,0.27,Matches,2022-2023,Auxerre
Akim Zedadka,dz ALG,DF,27,22,20,1727.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,1.3,1.6,25.0,51.0,71.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,Matches,2022-2023,Auxerre
