Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Marc-André ter Stegen,de GER,GK,27,46,46,4140.0,46.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.7,0.0,1.0,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.02,0.02,0.0,0.02,Matches,2019-2020,Barcelona
Gerard Piqué,es ESP,DF,32,45,45,3980.0,44.2,1.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,2.7,2.7,0.6,3.2,32.0,202.0,5.0,0.02,0.0,0.02,0.02,0.02,0.06,0.01,0.08,0.06,0.08,Matches,2019-2020,Barcelona
Lionel Messi,ar ARG,FW,32,44,42,3812.0,42.4,31.0,25.0,56.0,26.0,5.0,5.0,7.0,0.0,24.0,20.0,19.3,39.3,269.0,389.0,306.0,0.73,0.59,1.32,0.61,1.2,0.61,0.49,1.1,0.51,1.0,Matches,2019-2020,Barcelona
Antoine Griezmann,fr FRA,"FW,MF",28,48,41,3487.0,38.7,15.0,4.0,19.0,15.0,0.0,0.0,4.0,0.0,8.8,8.8,4.7,13.5,50.0,97.0,303.0,0.39,0.1,0.49,0.39,0.49,0.25,0.13,0.38,0.25,0.38,Matches,2019-2020,Barcelona
Clément Lenglet,fr FRA,DF,24,40,39,3415.0,37.9,4.0,1.0,5.0,4.0,0.0,0.0,12.0,2.0,1.2,1.2,0.5,1.7,28.0,149.0,1.0,0.11,0.03,0.13,0.11,0.13,0.03,0.01,0.05,0.03,0.05,Matches,2019-2020,Barcelona
Sergio Busquets,es ESP,MF,31,43,39,3252.0,36.1,2.0,2.0,4.0,2.0,0.0,0.0,12.0,0.0,1.4,1.4,2.8,4.2,14.0,251.0,19.0,0.06,0.06,0.11,0.06,0.11,0.04,0.09,0.13,0.04,0.13,Matches,2019-2020,Barcelona
Frenkie de Jong,nl NED,MF,22,42,36,3220.0,35.8,2.0,3.0,5.0,2.0,0.0,0.0,4.0,1.0,1.4,1.4,2.6,3.9,95.0,199.0,97.0,0.06,0.08,0.14,0.06,0.14,0.04,0.08,0.12,0.04,0.12,Matches,2019-2020,Barcelona
Sergi Roberto,es ESP,"DF,MF",27,39,34,3020.0,33.6,1.0,2.0,3.0,1.0,0.0,0.0,9.0,0.0,1.1,1.1,3.1,4.1,93.0,169.0,202.0,0.03,0.06,0.09,0.03,0.09,0.03,0.1,0.14,0.03,0.14,Matches,2019-2020,Barcelona
Nélson Semedo,pt POR,DF,25,42,34,2997.0,33.3,1.0,4.0,5.0,1.0,0.0,0.0,5.0,0.0,0.9,0.9,2.7,3.6,91.0,122.0,192.0,0.03,0.12,0.15,0.03,0.15,0.03,0.09,0.12,0.03,0.12,Matches,2019-2020,Barcelona
Jordi Alba,es ESP,DF,30,36,33,2816.0,31.3,2.0,7.0,9.0,2.0,0.0,0.0,10.0,0.0,1.5,1.5,5.6,7.1,44.0,164.0,265.0,0.06,0.22,0.29,0.06,0.29,0.05,0.2,0.25,0.05,0.25,Matches,2019-2020,Barcelona
Luis Suárez,uy URU,FW,32,36,29,2655.0,29.5,21.0,11.0,32.0,19.0,2.0,2.0,7.0,0.0,16.9,15.4,3.3,18.7,41.0,62.0,217.0,0.71,0.37,1.08,0.64,1.02,0.59,0.12,0.71,0.54,0.66,Matches,2019-2020,Barcelona
Arturo Vidal,cl CHI,"MF,FW",32,43,22,2253.0,25.0,8.0,3.0,11.0,8.0,0.0,0.0,9.0,1.0,5.3,5.3,3.7,9.0,26.0,94.0,145.0,0.32,0.12,0.44,0.32,0.44,0.23,0.16,0.39,0.23,0.39,Matches,2019-2020,Barcelona
Ivan Rakitić,hr CRO,MF,31,42,22,2117.0,23.5,1.0,5.0,6.0,1.0,0.0,0.0,6.0,0.0,2.5,2.5,1.4,3.9,32.0,129.0,63.0,0.04,0.21,0.26,0.04,0.26,0.12,0.07,0.18,0.12,0.18,Matches,2019-2020,Barcelona
Arthur Melo,br BRA,MF,22,28,17,1541.0,17.1,4.0,4.0,8.0,4.0,0.0,0.0,2.0,0.0,1.4,1.4,2.2,3.6,37.0,116.0,60.0,0.23,0.23,0.47,0.23,0.47,0.09,0.13,0.22,0.09,0.22,Matches,2019-2020,Barcelona
Junior Firpo,do DOM,"DF,FW",22,23,15,1402.0,15.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.7,0.7,0.5,1.2,46.0,63.0,100.0,0.06,0.06,0.13,0.06,0.13,0.05,0.03,0.08,0.05,0.08,Matches,2019-2020,Barcelona
Ansu Fati,es ESP,FW,16,33,15,1381.0,15.3,8.0,1.0,9.0,8.0,0.0,0.0,3.0,1.0,3.9,3.9,2.9,6.8,82.0,34.0,205.0,0.52,0.07,0.59,0.52,0.59,0.31,0.23,0.54,0.31,0.54,Matches,2019-2020,Barcelona
Samuel Umtiti,fr FRA,DF,25,18,14,1320.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.8,0.8,0.1,0.9,15.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,2019-2020,Barcelona
Carles Pérez,es ESP,FW,21,12,7,618.0,6.9,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.6,1.6,0.3,2.0,22.0,18.0,87.0,0.29,0.29,0.58,0.29,0.58,0.26,0.05,0.32,0.26,0.32,Matches,2019-2020,Barcelona
Riqui Puig,es ESP,MF,19,12,6,580.0,6.4,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,1.8,2.4,14.0,30.0,28.0,0.0,0.31,0.31,0.0,0.31,0.12,0.31,0.43,0.12,0.43,Matches,2019-2020,Barcelona
Ousmane Dembélé,fr FRA,FW,22,9,5,493.0,5.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.5,1.5,1.2,2.7,35.0,29.0,62.0,0.18,0.0,0.18,0.18,0.18,0.27,0.22,0.49,0.27,0.49,Matches,2019-2020,Barcelona
Neto,br BRA,GK,30,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Barcelona
Martin Braithwaite,dk DEN,"FW,MF",28,11,4,407.0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.7,2.7,0.6,3.2,12.0,3.0,30.0,0.22,0.0,0.22,0.22,0.22,0.59,0.12,0.71,0.59,0.71,Matches,2019-2020,Barcelona
Carles Aleñá,es ESP,MF,21,5,3,262.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,5.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.17,0.03,0.17,Matches,2019-2020,Barcelona
Ronald Araújo,uy URU,DF,20,6,2,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.0,0.2,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,2019-2020,Barcelona
Rafinha,br BRA,"FW,MF",26,3,2,186.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.0,10.0,9.0,25.0,0.0,0.0,0.0,0.0,0.0,0.34,0.17,0.51,0.34,0.51,Matches,2019-2020,Barcelona
Moussa Wagué,sn SEN,FW,20,3,2,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,9.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,2019-2020,Barcelona
