Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Marc-André ter Stegen,de GER,GK,29,49,49,4470.0,49.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Barcelona
Sergio Busquets,es ESP,MF,33,51,49,4415.0,49.1,3.0,1.0,4.0,3.0,0.0,0.0,14.0,0.0,1.0,1.0,2.7,3.6,35.0,386.0,44.0,0.06,0.02,0.08,0.06,0.08,0.02,0.06,0.08,0.02,0.08,Matches,2021-2022,Barcelona
Jordi Alba,es ESP,"DF,FW",32,44,44,3887.0,43.2,3.0,12.0,15.0,3.0,0.0,0.0,14.0,0.0,2.7,2.7,9.0,11.7,68.0,382.0,314.0,0.07,0.28,0.35,0.07,0.35,0.07,0.23,0.3,0.07,0.3,Matches,2021-2022,Barcelona
Frenkie de Jong,nl NED,MF,24,47,41,3515.0,39.1,4.0,5.0,9.0,4.0,0.0,0.0,10.0,1.0,6.8,6.8,5.3,12.1,113.0,272.0,165.0,0.1,0.13,0.23,0.1,0.23,0.18,0.14,0.32,0.18,0.32,Matches,2021-2022,Barcelona
Ronald Araújo,uy URU,DF,22,43,36,3274.0,36.4,4.0,0.0,4.0,4.0,0.0,0.0,7.0,0.0,1.9,1.9,1.2,3.2,40.0,116.0,17.0,0.11,0.0,0.11,0.11,0.11,0.06,0.04,0.1,0.06,0.1,Matches,2021-2022,Barcelona
Gerard Piqué,es ESP,DF,34,40,36,3096.0,34.4,3.0,0.0,3.0,3.0,0.0,0.0,13.0,1.0,2.5,2.5,0.5,2.9,30.0,181.0,4.0,0.09,0.0,0.09,0.09,0.09,0.08,0.01,0.09,0.08,0.09,Matches,2021-2022,Barcelona
Gavi,es ESP,"MF,FW",16,47,36,3080.0,34.2,2.0,5.0,7.0,2.0,0.0,0.0,16.0,1.0,4.3,4.3,3.7,8.0,92.0,147.0,203.0,0.06,0.15,0.2,0.06,0.2,0.13,0.11,0.24,0.13,0.24,Matches,2021-2022,Barcelona
Eric García,es ESP,DF,20,36,32,2804.0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.3,0.3,0.1,0.4,66.0,207.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2021-2022,Barcelona
Memphis,nl NED,FW,27,38,27,2499.0,27.8,13.0,2.0,15.0,8.0,5.0,6.0,4.0,0.0,12.8,8.0,6.3,14.3,113.0,104.0,318.0,0.47,0.07,0.54,0.29,0.36,0.47,0.23,0.7,0.29,0.52,Matches,2021-2022,Barcelona
Sergiño Dest,us USA,"DF,FW",20,31,23,2042.0,22.7,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,2.2,2.2,2.7,4.9,96.0,106.0,185.0,0.0,0.13,0.13,0.0,0.13,0.1,0.12,0.22,0.1,0.22,Matches,2021-2022,Barcelona
Ferrán Torres,es ESP,FW,21,26,25,1992.0,22.1,7.0,6.0,13.0,5.0,2.0,2.0,2.0,0.0,9.3,7.7,3.8,11.5,48.0,78.0,295.0,0.32,0.27,0.59,0.23,0.5,0.44,0.18,0.62,0.37,0.55,Matches,2021-2022,Barcelona
Ousmane Dembélé,fr FRA,"FW,DF",24,32,18,1948.0,21.6,2.0,13.0,15.0,2.0,0.0,0.0,4.0,0.0,3.2,3.2,9.8,13.1,164.0,98.0,275.0,0.09,0.6,0.69,0.09,0.69,0.16,0.5,0.66,0.16,0.66,Matches,2021-2022,Barcelona
Pedri,es ESP,MF,18,22,19,1700.0,18.9,5.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,2.2,2.2,2.2,4.3,44.0,133.0,82.0,0.26,0.05,0.32,0.26,0.32,0.13,0.13,0.26,0.13,0.26,Matches,2021-2022,Barcelona
Nicolás González,es ESP,MF,19,37,17,1695.0,18.8,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,1.7,1.7,1.8,3.5,51.0,93.0,62.0,0.11,0.11,0.21,0.11,0.21,0.1,0.11,0.21,0.1,0.21,Matches,2021-2022,Barcelona
Pierre-Emerick Aubameyang,ga GAB,FW,32,23,18,1501.0,16.7,13.0,1.0,14.0,13.0,0.0,0.0,0.0,0.0,11.3,11.3,2.3,13.6,21.0,24.0,124.0,0.78,0.06,0.84,0.78,0.84,0.68,0.14,0.82,0.68,0.82,Matches,2021-2022,Barcelona
Dani Alves,br BRA,DF,38,17,16,1385.0,15.4,1.0,4.0,5.0,1.0,0.0,0.0,3.0,1.0,0.3,0.3,2.3,2.5,33.0,72.0,25.0,0.06,0.26,0.32,0.06,0.32,0.02,0.19,0.21,0.02,0.21,Matches,2021-2022,Barcelona
Óscar Mingueza,es ESP,DF,22,27,14,1346.0,15.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.1,1.4,18.0,58.0,58.0,0.0,0.13,0.13,0.0,0.13,0.02,0.08,0.1,0.02,0.1,Matches,2021-2022,Barcelona
Clément Lenglet,fr FRA,DF,26,27,11,1247.0,13.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,0.3,1.0,32.0,119.0,2.0,0.0,0.07,0.07,0.0,0.07,0.05,0.02,0.08,0.05,0.08,Matches,2021-2022,Barcelona
Luuk de Jong,nl NED,FW,30,29,10,949.0,10.5,7.0,0.0,7.0,7.0,0.0,0.0,1.0,0.0,5.9,5.9,0.6,6.5,4.0,12.0,57.0,0.66,0.0,0.66,0.66,0.66,0.6,0.06,0.66,0.6,0.66,Matches,2021-2022,Barcelona
Adama Traoré,es ESP,FW,25,17,9,735.0,8.2,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,78.0,15.0,111.0,0.0,0.49,0.49,0.0,0.49,0.12,0.24,0.37,0.12,0.37,Matches,2021-2022,Barcelona
Abde Ezzalzouli,ma MAR,FW,19,12,7,689.0,7.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,0.9,2.2,47.0,8.0,76.0,0.13,0.0,0.13,0.13,0.13,0.2,0.14,0.33,0.2,0.33,Matches,2021-2022,Barcelona
Philippe Coutinho,br BRA,"FW,MF",29,16,5,614.0,6.8,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,3.2,2.4,0.3,2.7,32.0,38.0,60.0,0.29,0.0,0.29,0.15,0.15,0.48,0.04,0.52,0.36,0.4,Matches,2021-2022,Barcelona
Ansu Fati,es ESP,FW,18,15,4,580.0,6.4,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.8,1.8,0.5,2.3,22.0,13.0,64.0,0.93,0.0,0.93,0.93,0.93,0.32,0.1,0.42,0.32,0.42,Matches,2021-2022,Barcelona
Sergi Roberto,es ESP,"DF,FW",29,12,6,568.0,6.3,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,0.4,2.1,6.0,21.0,28.0,0.32,0.16,0.48,0.32,0.48,0.26,0.07,0.33,0.26,0.33,Matches,2021-2022,Barcelona
Riqui Puig,es ESP,MF,21,18,3,559.0,6.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.9,9.0,42.0,25.0,0.16,0.0,0.16,0.16,0.16,0.11,0.04,0.15,0.11,0.15,Matches,2021-2022,Barcelona
