Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Joshua Kimmich,de GER,"DF,MF",23,48,47,4282.0,47.6,2.0,18.0,20.0,2.0,0.0,0.0,7.0,0.0,2.9,2.9,14.4,17.3,148.0,280.0,286.0,0.04,0.38,0.42,0.04,0.42,0.07,0.35,0.42,0.07,0.42,Matches,2018-2019,Bayern Munich
Robert Lewandowski,pl POL,FW,29,47,46,4175.0,46.4,40.0,9.0,49.0,33.0,7.0,8.0,6.0,0.0,37.6,32.9,9.3,42.1,96.0,112.0,294.0,0.86,0.19,1.06,0.71,0.91,0.92,0.23,1.15,0.81,1.03,Matches,2018-2019,Bayern Munich
David Alaba,at AUT,DF,26,43,41,3640.0,40.4,3.0,7.0,10.0,3.0,0.0,0.0,4.0,0.0,3.4,3.4,5.2,8.6,110.0,226.0,279.0,0.07,0.17,0.25,0.07,0.25,0.1,0.15,0.24,0.1,0.24,Matches,2018-2019,Bayern Munich
Niklas Süle,de GER,DF,22,42,39,3507.0,39.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,1.6,1.6,0.7,2.3,33.0,212.0,1.0,0.05,0.0,0.05,0.05,0.05,0.05,0.02,0.07,0.05,0.07,Matches,2018-2019,Bayern Munich
Thiago Alcántara,es ESP,MF,27,42,37,3426.0,38.1,3.0,7.0,10.0,3.0,0.0,0.0,6.0,0.0,2.1,2.1,3.9,5.9,58.0,346.0,56.0,0.08,0.18,0.26,0.08,0.26,0.07,0.12,0.19,0.07,0.19,Matches,2018-2019,Bayern Munich
Manuel Neuer,de GER,GK,32,38,38,3382.0,37.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Bayern Munich
Thomas Müller,de GER,"MF,FW",28,45,38,3238.0,36.0,9.0,11.0,20.0,8.0,1.0,1.0,1.0,1.0,10.1,10.1,11.2,21.4,63.0,156.0,355.0,0.25,0.31,0.56,0.22,0.53,0.33,0.37,0.7,0.33,0.7,Matches,2018-2019,Bayern Munich
Mats Hummels,de GER,DF,29,33,32,2846.0,31.6,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,2.9,2.9,1.1,4.0,21.0,155.0,8.0,0.06,0.06,0.13,0.06,0.13,0.11,0.04,0.15,0.11,0.15,Matches,2018-2019,Bayern Munich
Leon Goretzka,de GER,MF,23,42,29,2727.0,30.3,9.0,6.0,15.0,9.0,0.0,0.0,4.0,0.0,6.6,6.6,2.6,9.2,67.0,126.0,90.0,0.3,0.2,0.5,0.3,0.5,0.25,0.1,0.35,0.25,0.35,Matches,2018-2019,Bayern Munich
Serge Gnabry,de GER,"FW,MF",23,42,30,2530.0,28.1,13.0,6.0,19.0,13.0,0.0,0.0,1.0,0.0,10.5,10.5,8.5,19.0,125.0,79.0,287.0,0.46,0.21,0.68,0.46,0.68,0.43,0.35,0.78,0.43,0.78,Matches,2018-2019,Bayern Munich
Jérôme Boateng,de GER,DF,29,28,26,2390.0,26.6,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,1.7,16.0,218.0,3.0,0.0,0.08,0.08,0.0,0.08,0.03,0.05,0.07,0.03,0.07,Matches,2018-2019,Bayern Munich
Javi Martínez,es ESP,MF,29,33,27,2253.0,25.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,1.9,1.9,0.6,2.5,17.0,103.0,16.0,0.16,0.0,0.16,0.16,0.16,0.09,0.03,0.12,0.09,0.12,Matches,2018-2019,Bayern Munich
Franck Ribéry,fr FRA,"MF,FW",35,38,20,1936.0,21.5,7.0,3.0,10.0,7.0,0.0,0.0,4.0,0.0,5.1,5.1,3.2,8.2,145.0,120.0,245.0,0.33,0.14,0.46,0.33,0.46,0.28,0.18,0.46,0.28,0.46,Matches,2018-2019,Bayern Munich
Kingsley Coman,fr FRA,"FW,MF",22,30,21,1920.0,21.3,10.0,5.0,15.0,10.0,0.0,0.0,2.0,0.0,4.1,4.1,4.0,8.2,106.0,56.0,264.0,0.47,0.23,0.7,0.47,0.7,0.25,0.24,0.49,0.25,0.49,Matches,2018-2019,Bayern Munich
James Rodríguez,co COL,MF,27,28,19,1649.0,18.3,7.0,5.0,12.0,7.0,0.0,0.0,4.0,0.0,5.9,5.9,6.8,12.7,41.0,161.0,122.0,0.38,0.27,0.65,0.38,0.65,0.36,0.42,0.78,0.36,0.78,Matches,2018-2019,Bayern Munich
Rafinha,br BRA,DF,32,26,16,1496.0,16.6,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,1.5,1.6,25.0,108.0,59.0,0.06,0.12,0.18,0.06,0.18,0.01,0.11,0.11,0.01,0.11,Matches,2018-2019,Bayern Munich
Sven Ulreich,de GER,GK,29,12,11,1058.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Bayern Munich
Arjen Robben,nl NED,"FW,MF",34,19,13,1005.0,11.2,6.0,2.0,8.0,6.0,0.0,0.0,3.0,1.0,4.9,4.9,3.0,7.9,58.0,50.0,117.0,0.54,0.18,0.72,0.54,0.72,0.5,0.3,0.81,0.5,0.81,Matches,2018-2019,Bayern Munich
Renato Sanches,pt POR,MF,20,24,6,797.0,8.9,2.0,2.0,4.0,2.0,0.0,1.0,4.0,1.0,1.6,1.6,0.9,2.5,32.0,43.0,35.0,0.23,0.23,0.45,0.23,0.45,0.21,0.11,0.32,0.21,0.32,Matches,2018-2019,Bayern Munich
Sandro Wagner,de GER,"FW,MF",30,12,2,274.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.1,0.6,1.0,3.0,10.0,0.33,0.0,0.33,0.33,0.33,0.31,0.03,0.34,0.31,0.34,Matches,2018-2019,Bayern Munich
Corentin Tolisso,fr FRA,MF,23,4,1,83.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.0,4.0,6.0,1.08,0.0,1.08,1.08,1.08,0.17,0.16,0.33,0.17,0.33,Matches,2018-2019,Bayern Munich
Alphonso Davies,ca CAN,"DF,FW",17,6,0,80.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,7.0,1.13,0.0,1.13,1.13,1.13,0.15,0.0,0.15,0.15,0.15,Matches,2018-2019,Bayern Munich
Jeong Woo-yeong,kr KOR,MF,18,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.24,0.24,Matches,2018-2019,Bayern Munich
Meritan Shabani,al ALB,MF,19,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Bayern Munich
Lars Lukas Mai,de GER,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Bayern Munich
Jonathan Meier,de GER,"DF,MF",18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Bayern Munich
Paul Will,de GER,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Bayern Munich
Christian Früchtl,de GER,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Bayern Munich
Ron-Thorben Hoffmann,de GER,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Bayern Munich
Juan Bernat,es ESP,"DF,FW",25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Bayern Munich
Sebastian Rudy,de GER,MF,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Bayern Munich
