Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Joshua Kimmich,de GER,"MF,DF",30-107,50,49,4377.0,48.6,3.0,11.0,14.0,3.0,0.0,0.0,6.0,0.0,2.7,2.7,11.4,14.0,79.0,500.0,125.0,0.06,0.23,0.29,0.06,0.29,0.06,0.25,0.31,0.06,0.31,Matches,2024-2025,Bayern Munich
Kim Min-jae,kr KOR,DF,28-192,43,43,3579.0,39.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,2.2,2.2,0.4,2.6,23.0,240.0,7.0,0.08,0.0,0.08,0.08,0.08,0.06,0.01,0.07,0.06,0.07,Matches,2024-2025,Bayern Munich
Harry Kane,eng ENG,FW,31-302,46,42,3573.0,39.7,38.0,12.0,50.0,25.0,13.0,13.0,6.0,0.0,30.5,20.8,6.9,27.7,42.0,131.0,206.0,0.96,0.3,1.26,0.63,0.93,0.79,0.18,0.96,0.53,0.71,Matches,2024-2025,Bayern Munich
Michael Olise,fr FRA,"FW,MF",23-165,50,42,3465.0,38.5,17.0,18.0,35.0,16.0,1.0,1.0,4.0,0.0,14.9,14.1,15.1,29.2,171.0,283.0,536.0,0.44,0.47,0.91,0.42,0.88,0.4,0.4,0.8,0.38,0.78,Matches,2024-2025,Bayern Munich
Manuel Neuer,de GER,GK,39-060,35,35,2998.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2024-2025,Bayern Munich
Dayot Upamecano,fr FRA,DF,26-211,33,33,2923.0,32.5,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,2.1,2.1,0.9,3.0,25.0,201.0,5.0,0.06,0.0,0.06,0.06,0.06,0.07,0.03,0.1,0.07,0.1,Matches,2024-2025,Bayern Munich
Jamal Musiala,de GER,MF,22-089,40,33,2859.0,31.8,18.0,5.0,23.0,18.0,0.0,0.0,4.0,0.0,13.0,13.0,8.5,21.5,119.0,162.0,227.0,0.57,0.16,0.72,0.57,0.72,0.44,0.29,0.73,0.44,0.73,Matches,2024-2025,Bayern Munich
Konrad Laimer,at AUT,DF,27-364,42,31,2640.0,29.3,3.0,3.0,6.0,3.0,0.0,0.0,11.0,0.0,2.5,2.5,4.2,6.7,120.0,205.0,161.0,0.1,0.1,0.2,0.1,0.2,0.09,0.15,0.24,0.09,0.24,Matches,2024-2025,Bayern Munich
Alphonso Davies,ca CAN,DF,24-205,31,27,2414.0,26.8,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,2.9,2.9,2.3,5.2,117.0,171.0,181.0,0.11,0.11,0.22,0.11,0.22,0.12,0.09,0.21,0.12,0.21,Matches,2024-2025,Bayern Munich
