Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Aïssa Mandi,dz ALG,DF,25,35,35,3114.0,34.6,1.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,3.3,3.3,0.2,3.5,30.0,129.0,9.0,0.03,0.0,0.03,0.03,0.03,0.1,0.01,0.1,0.1,0.1,Matches,2017-2018,Betis
Fabián Ruiz Peña,es ESP,MF,21,35,31,2749.0,30.5,3.0,6.0,9.0,3.0,0.0,0.0,3.0,0.0,1.6,1.6,2.2,3.9,68.0,211.0,106.0,0.1,0.2,0.29,0.1,0.29,0.06,0.08,0.13,0.06,0.13,Matches,2017-2018,Betis
Antonio Adán,es ESP,GK,30,30,30,2700.0,30.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0.02,0.02,0.0,0.02,Matches,2017-2018,Betis
Javi García,es ESP,"MF,DF",30,33,28,2500.0,27.8,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.1,1.1,0.6,1.6,14.0,93.0,16.0,0.04,0.0,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,Matches,2017-2018,Betis
Joaquín,es ESP,"MF,FW",36,36,29,2493.0,27.7,4.0,7.0,11.0,4.0,0.0,0.0,7.0,0.0,3.8,3.8,6.2,10.0,88.0,138.0,183.0,0.14,0.25,0.4,0.14,0.4,0.14,0.22,0.36,0.14,0.36,Matches,2017-2018,Betis
Antonio Barragán,es ESP,DF,30,31,28,2424.0,26.9,0.0,6.0,6.0,0.0,0.0,0.0,7.0,0.0,0.7,0.7,2.8,3.5,50.0,123.0,198.0,0.0,0.22,0.22,0.0,0.22,0.03,0.11,0.13,0.03,0.13,Matches,2017-2018,Betis
Andrés Guardado,mx MEX,MF,30,30,25,2309.0,25.7,2.0,8.0,10.0,1.0,1.0,1.0,7.0,0.0,2.5,1.7,5.2,6.9,48.0,159.0,77.0,0.08,0.31,0.39,0.04,0.35,0.1,0.21,0.31,0.07,0.27,Matches,2017-2018,Betis
Riza Durmisi,dk DEN,DF,23,25,24,2170.0,24.1,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.9,1.9,2.6,4.5,74.0,60.0,147.0,0.08,0.12,0.21,0.08,0.21,0.08,0.11,0.2,0.08,0.2,Matches,2017-2018,Betis
Sergio León,es ESP,FW,28,33,25,2158.0,24.0,13.0,1.0,14.0,13.0,0.0,1.0,5.0,0.0,11.0,10.2,1.2,11.4,37.0,27.0,128.0,0.54,0.04,0.58,0.54,0.58,0.5,0.05,0.55,0.46,0.52,Matches,2017-2018,Betis
Jordi Amat,id IDN,"DF,MF",25,26,25,2135.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.4,0.4,0.1,0.5,13.0,101.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2017-2018,Betis
Cristian Tello,es ESP,"FW,MF",25,33,17,1783.0,19.8,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,2.2,2.2,3.7,6.0,69.0,46.0,115.0,0.3,0.15,0.45,0.3,0.45,0.12,0.2,0.32,0.12,0.32,Matches,2017-2018,Betis
Ryad Boudebouz,dz ALG,"MF,FW",27,29,17,1516.0,16.8,3.0,4.0,7.0,3.0,0.0,0.0,4.0,0.0,0.8,0.8,2.5,3.2,47.0,75.0,102.0,0.18,0.24,0.42,0.18,0.42,0.05,0.16,0.21,0.05,0.21,Matches,2017-2018,Betis
Marc Bartra,es ESP,DF,26,16,16,1420.0,15.8,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.8,0.8,0.7,1.5,16.0,57.0,4.0,0.06,0.0,0.06,0.06,0.06,0.05,0.04,0.09,0.05,0.09,Matches,2017-2018,Betis
Víctor Camarasa,es ESP,MF,23,26,15,1359.0,15.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.4,1.4,1.5,2.9,44.0,68.0,51.0,0.07,0.07,0.13,0.07,0.13,0.1,0.11,0.21,0.1,0.21,Matches,2017-2018,Betis
Zouhair Feddal,ma MAR,DF,28,15,14,1257.0,14.0,3.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,0.5,0.5,0.1,0.6,11.0,66.0,2.0,0.21,0.0,0.21,0.21,0.21,0.04,0.0,0.04,0.04,0.04,Matches,2017-2018,Betis
