Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Kevin Stöger,at AUT,MF,23,32,30,2742.0,30.5,4.0,8.0,12.0,4.0,0.0,1.0,10.0,0.0,0.13,0.26,0.39,0.13,0.39,Matches,2017-2018,Bochum
Anthony Losilla,fr FRA,"MF,DF",31,32,31,2704.0,30.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,0.07,0.07,0.0,0.07,Matches,2017-2018,Bochum
Lukas Hinterseer,at AUT,FW,26,33,30,2703.0,30.0,17.0,3.0,20.0,17.0,0.0,0.0,3.0,2.0,0.57,0.1,0.67,0.57,0.67,Matches,2017-2018,Bochum
Danilo Soares,br BRA,"DF,MF",25,32,31,2685.0,29.8,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,2017-2018,Bochum
Robbie Kruse,au AUS,"MF,FW",28,31,30,2639.0,29.3,7.0,5.0,12.0,7.0,0.0,0.0,3.0,0.0,0.24,0.17,0.41,0.24,0.41,Matches,2017-2018,Bochum
Manuel Riemann,de GER,GK,28,27,27,2403.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Bochum
Stefano Celozzi,de GER,"DF,MF",28,27,26,2253.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2017-2018,Bochum
Tim Hoogland,de GER,DF,32,27,23,2122.0,23.6,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,2017-2018,Bochum
Jan Gyamerah,de GER,DF,22,25,21,1908.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Bochum
Patrick Fabian,de GER,DF,29,23,22,1868.0,20.8,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2017-2018,Bochum
Sidney Sam,de GER,MF,29,24,21,1713.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2017-2018,Bochum
Felix Bastians,de GER,DF,29,18,17,1550.0,17.2,4.0,0.0,4.0,3.0,1.0,2.0,2.0,0.0,0.23,0.0,0.23,0.17,0.17,Matches,2017-2018,Bochum
Johannes Wurtz,de GER,FW,25,29,13,1195.0,13.3,1.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,0.08,0.15,0.23,0.08,0.23,Matches,2017-2018,Bochum
Robert Tesche,de GER,MF,30,18,15,1140.0,12.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,2017-2018,Bochum
Thomas Eisfeld,de GER,MF,24,19,9,912.0,10.1,1.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.1,0.1,0.2,0.1,0.2,Matches,2017-2018,Bochum
Felix Dornebusch,de GER,GK,23,10,9,837.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Bochum
Vitaly Janelt,de GER,MF,19,13,7,791.0,8.8,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches,2017-2018,Bochum
Maxim Leitsch,de GER,"DF,MF",19,11,8,757.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Bochum
Selim Gündüz,de GER,"MF,DF",23,17,6,588.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Bochum
Dimitris Diamantakos,gr GRE,FW,24,10,6,565.0,6.3,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,0.32,0.16,0.48,0.16,0.32,Matches,2017-2018,Bochum
Luke Hemmerich,de GER,"MF,DF",19,8,6,548.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Bochum
Görkem Sağlam,de GER,MF,19,5,3,271.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.66,0.33,0.66,Matches,2017-2018,Bochum
Philipp Ochs,de GER,"MF,DF",20,5,3,221.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Bochum
Jannik Bandowski,de GER,"DF,MF",23,7,0,163.0,1.8,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.1,0.0,1.1,1.1,1.1,Matches,2017-2018,Bochum
Alexander Merkel,kz KAZ,MF,25,3,2,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Bochum
Janni Serra,de GER,FW,19,12,0,143.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Bochum
Peniel Mlapa,tg TOG,FW,26,2,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Bochum
Simon Lorenz,de GER,DF,20,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Bochum
Florian Kraft,de GER,GK,18,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Bochum
Ulrich Bapoh,de GER,"FW,MF",18,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Bochum
Marco Stiepermann,de GER,"FW,MF",26,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Bochum
Tom Baack,de GER,"DF,MF",18,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Bochum
