Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Manuel Riemann,de GER,GK,34,34,34,3090.0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.2,0.2,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2023-2024,Bochum
Bernardo,br BRA,DF,28,34,34,3044.0,33.8,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.9,1.9,0.5,2.4,26.0,127.0,38.0,0.03,0.0,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07,Matches,2023-2024,Bochum
Kevin Stöger,at AUT,MF,29,33,33,2788.0,31.0,7.0,12.0,19.0,3.0,4.0,4.0,8.0,0.0,6.2,3.1,9.9,12.9,81.0,283.0,139.0,0.23,0.39,0.61,0.1,0.48,0.21,0.33,0.54,0.1,0.44,Matches,2023-2024,Bochum
Anthony Losilla,fr FRA,MF,37,32,32,2644.0,29.4,1.0,2.0,3.0,1.0,0.0,0.0,10.0,0.0,2.3,2.3,1.5,3.7,11.0,100.0,42.0,0.03,0.07,0.1,0.03,0.1,0.08,0.05,0.13,0.08,0.13,Matches,2023-2024,Bochum
Erhan Mašović,rs SRB,"DF,MF",24,30,25,2339.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.1,1.1,0.3,1.4,15.0,47.0,10.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.06,0.04,0.06,Matches,2023-2024,Bochum
Keven Schlotterbeck,de GER,DF,26,27,24,2185.0,24.3,5.0,1.0,6.0,5.0,0.0,0.0,9.0,0.0,2.0,2.0,0.6,2.7,9.0,93.0,15.0,0.21,0.04,0.25,0.21,0.25,0.08,0.03,0.11,0.08,0.11,Matches,2023-2024,Bochum
Takuma Asano,jp JPN,"FW,MF",28,30,27,2090.0,23.2,7.0,1.0,8.0,7.0,0.0,0.0,2.0,0.0,7.9,7.9,1.3,9.2,56.0,32.0,167.0,0.3,0.04,0.34,0.3,0.34,0.36,0.06,0.42,0.36,0.42,Matches,2023-2024,Bochum
Ivan Ordets,ua UKR,DF,31,25,22,2000.0,22.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,0.5,1.8,5.0,44.0,7.0,0.05,0.0,0.05,0.05,0.05,0.06,0.02,0.09,0.06,0.09,Matches,2023-2024,Bochum
Patrick Osterhage,de GER,MF,23,25,21,1877.0,20.9,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.4,1.4,0.8,2.2,26.0,64.0,65.0,0.1,0.05,0.14,0.1,0.14,0.07,0.04,0.11,0.07,0.11,Matches,2023-2024,Bochum
Matúš Bero,sk SVK,"MF,FW",27,25,20,1736.0,19.3,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,2.9,2.9,1.3,4.2,12.0,48.0,71.0,0.05,0.05,0.1,0.05,0.1,0.16,0.07,0.23,0.16,0.23,Matches,2023-2024,Bochum
Philipp Hofmann,de GER,FW,30,30,19,1691.0,18.8,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,4.8,4.8,1.7,6.5,7.0,36.0,86.0,0.21,0.11,0.32,0.21,0.32,0.27,0.1,0.37,0.27,0.37,Matches,2023-2024,Bochum
