Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Maximilian Wittek,de GER,DF,29-278,34,33,2796.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.4,1.4,4.4,5.7,47.0,141.0,83.0,0.0,0.0,0.0,0.0,0.0,0.04,0.14,0.19,0.04,0.19,Matches,2024-2025,Bochum
Ibrahima Sissoko,ml MLI,MF,27-211,33,31,2700.0,30.0,2.0,1.0,3.0,2.0,0.0,0.0,12.0,1.0,1.7,1.7,1.6,3.3,35.0,105.0,69.0,0.07,0.03,0.1,0.07,0.1,0.06,0.05,0.11,0.06,0.11,Matches,2024-2025,Bochum
Matúš Bero,sk SVK,MF,29-262,31,30,2655.0,29.5,5.0,2.0,7.0,5.0,0.0,1.0,12.0,0.0,4.0,3.0,3.7,6.7,29.0,143.0,111.0,0.17,0.07,0.24,0.17,0.24,0.14,0.13,0.27,0.11,0.24,Matches,2024-2025,Bochum
Felix Passlack,de GER,"DF,MF",26-362,32,31,2424.0,26.9,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,3.9,5.2,43.0,65.0,118.0,0.04,0.22,0.26,0.04,0.26,0.05,0.15,0.2,0.05,0.2,Matches,2024-2025,Bochum
Philipp Hofmann,de GER,FW,32-057,33,28,2367.0,26.3,3.0,3.0,6.0,3.0,0.0,0.0,5.0,0.0,5.5,5.5,3.3,8.8,8.0,53.0,112.0,0.11,0.11,0.23,0.11,0.23,0.22,0.13,0.35,0.22,0.35,Matches,2024-2025,Bochum
Tim Oermann,de GER,DF,21-232,30,26,2227.0,24.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.8,15.0,61.0,16.0,0.0,0.08,0.08,0.0,0.08,0.01,0.02,0.03,0.01,0.03,Matches,2024-2025,Bochum
Patrick Drewes,de GER,GK,32-111,22,22,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Bochum
Ivan Ordets,ua UKR,DF,32-322,22,21,1861.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,0.7,1.5,2.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches,2024-2025,Bochum
Bernardo,br BRA,DF,30-012,21,19,1782.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,0.7,1.4,14.0,100.0,14.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches,2024-2025,Bochum
Jakov Medić,hr CRO,DF,26-261,23,17,1603.0,17.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,0.2,1.0,2.0,27.0,3.0,0.06,0.0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,Matches,2024-2025,Bochum
Moritz Broschinski,de GER,"FW,MF",24-245,34,16,1475.0,16.4,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,4.2,4.2,1.8,6.0,37.0,20.0,130.0,0.06,0.18,0.24,0.06,0.24,0.27,0.12,0.39,0.27,0.39,Matches,2024-2025,Bochum
Anthony Losilla,fr FRA,MF,39-077,22,14,1207.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,3.0,45.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,2024-2025,Bochum
Timo Horn,de GER,GK,32-014,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Bochum
Dani de Wit,nl NED,"MF,FW",27-118,28,11,1153.0,12.8,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.1,2.1,0.5,2.7,5.0,33.0,37.0,0.16,0.08,0.23,0.16,0.23,0.17,0.04,0.21,0.17,0.21,Matches,2024-2025,Bochum
Gerrit Holtmann,ph PHI,"DF,FW",30-062,23,12,1136.0,12.6,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.9,4.9,50.0,33.0,97.0,0.16,0.08,0.24,0.16,0.24,0.16,0.23,0.39,0.16,0.39,Matches,2024-2025,Bochum
Tom Krauß,de GER,MF,23-338,14,13,1077.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.7,1.1,16.0,84.0,20.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches,2024-2025,Bochum
Myron Boadu,nl NED,FW,24-132,20,11,1062.0,11.8,9.0,1.0,10.0,8.0,1.0,1.0,3.0,0.0,7.7,6.9,1.1,8.0,12.0,18.0,70.0,0.76,0.08,0.85,0.68,0.76,0.67,0.1,0.76,0.6,0.69,Matches,2024-2025,Bochum
Giorgos Masouras,gr GRE,"FW,MF",31-145,14,12,1055.0,11.7,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,3.9,3.9,1.1,5.0,26.0,19.0,82.0,0.17,0.09,0.26,0.17,0.26,0.33,0.09,0.43,0.33,0.43,Matches,2024-2025,Bochum
Erhan Mašović,rs SRB,DF,26-185,17,11,986.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.9,1.5,1.0,35.0,4.0,0.09,0.09,0.18,0.09,0.18,0.06,0.09,0.15,0.06,0.15,Matches,2024-2025,Bochum
Lukas Daschner,de GER,"MF,FW",26-237,15,4,482.0,5.4,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,2.7,1.9,0.7,2.6,8.0,11.0,19.0,0.19,0.19,0.37,0.19,0.37,0.6,0.15,0.74,0.42,0.57,Matches,2024-2025,Bochum
