Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Łukasz Skorupski,pl POL,GK,27,39,39,3510.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Bologna
Danilo Larangeira,br BRA,DF,34,36,36,3167.0,35.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,0.8,1.6,18.0,104.0,6.0,0.03,0.0,0.03,0.03,0.03,0.02,0.02,0.05,0.02,0.05,Matches,2018-2019,Bologna
Erick Pulgar,cl CHI,MF,24,30,29,2537.0,28.2,6.0,2.0,8.0,1.0,5.0,5.0,7.0,1.0,5.0,1.1,3.8,4.9,16.0,151.0,19.0,0.21,0.07,0.28,0.04,0.11,0.19,0.15,0.34,0.04,0.19,Matches,2018-2019,Bologna
Rodrigo Palacio,ar ARG,FW,36,31,27,2463.0,27.4,3.0,7.0,10.0,3.0,0.0,0.0,6.0,0.0,5.3,5.3,4.2,9.5,113.0,71.0,265.0,0.11,0.26,0.37,0.11,0.37,0.21,0.16,0.37,0.21,0.37,Matches,2018-2019,Bologna
Mitchell Dijks,nl NED,DF,25,28,26,2288.0,25.4,2.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,0.4,0.4,1.0,1.4,96.0,98.0,90.0,0.08,0.0,0.08,0.08,0.08,0.02,0.04,0.06,0.02,0.06,Matches,2018-2019,Bologna
Federico Santander,py PAR,FW,27,34,24,2125.0,23.6,8.0,3.0,11.0,8.0,0.0,0.0,5.0,0.0,8.6,8.6,3.0,11.6,16.0,36.0,137.0,0.34,0.13,0.47,0.34,0.47,0.37,0.13,0.51,0.37,0.51,Matches,2018-2019,Bologna
Ibrahima Mbaye,sn SEN,DF,23,25,23,2105.0,23.4,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,2.7,2.7,0.2,2.9,13.0,75.0,20.0,0.09,0.0,0.09,0.09,0.09,0.12,0.01,0.13,0.12,0.13,Matches,2018-2019,Bologna
Andrea Poli,it ITA,MF,28,32,25,2099.0,23.3,4.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,3.6,3.6,0.9,4.4,28.0,86.0,37.0,0.17,0.04,0.21,0.17,0.21,0.17,0.04,0.21,0.17,0.21,Matches,2018-2019,Bologna
Riccardo Orsolini,it ITA,"FW,MF",21,37,20,2053.0,22.8,10.0,6.0,16.0,10.0,0.0,0.0,2.0,0.0,5.1,5.1,2.8,7.9,52.0,68.0,152.0,0.44,0.26,0.7,0.44,0.7,0.23,0.13,0.36,0.23,0.36,Matches,2018-2019,Bologna
Filip Helander,se SWE,DF,25,23,22,1983.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,0.2,0.9,10.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,2018-2019,Bologna
Blerim Džemaili,ch SUI,MF,32,30,21,1862.0,20.7,2.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,1.8,1.8,1.3,3.2,55.0,105.0,69.0,0.1,0.05,0.15,0.05,0.1,0.09,0.07,0.16,0.09,0.16,Matches,2018-2019,Bologna
Arturo Calabresi,it ITA,DF,22,21,19,1682.0,18.7,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.4,0.4,0.4,0.8,13.0,63.0,11.0,0.05,0.0,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Matches,2018-2019,Bologna
Roberto Soriano,it ITA,MF,27,18,18,1579.0,17.5,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,3.4,3.4,1.9,5.3,44.0,78.0,93.0,0.11,0.11,0.23,0.11,0.23,0.2,0.11,0.32,0.2,0.32,Matches,2018-2019,Bologna
Federico Mattiello,it ITA,"DF,FW",23,19,18,1492.0,16.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.6,0.6,1.5,2.1,50.0,57.0,75.0,0.06,0.06,0.12,0.06,0.12,0.04,0.1,0.14,0.04,0.14,Matches,2018-2019,Bologna
Mattias Svanberg,se SWE,MF,19,24,14,1237.0,13.7,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,1.4,2.6,9.0,30.0,35.0,0.0,0.22,0.22,0.0,0.22,0.09,0.1,0.2,0.09,0.2,Matches,2018-2019,Bologna
Nicola Sansone,it ITA,FW,26,16,14,1229.0,13.7,2.0,4.0,6.0,2.0,0.0,0.0,4.0,1.0,1.7,1.7,2.3,4.1,40.0,35.0,108.0,0.15,0.29,0.44,0.15,0.44,0.14,0.18,0.32,0.14,0.32,Matches,2018-2019,Bologna
Lyanco,br BRA,DF,21,13,13,1119.0,12.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.4,0.4,0.3,0.7,11.0,39.0,1.0,0.08,0.0,0.08,0.08,0.08,0.04,0.02,0.06,0.04,0.06,Matches,2018-2019,Bologna
Ádám Nagy,hu HUN,MF,23,16,11,1078.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.5,0.7,10.0,53.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.02,0.06,Matches,2018-2019,Bologna
Ladislav Krejčí,cz CZE,"DF,MF",26,18,11,1065.0,11.8,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,2.3,2.7,34.0,50.0,62.0,0.0,0.25,0.25,0.0,0.25,0.04,0.19,0.23,0.04,0.23,Matches,2018-2019,Bologna
Giancarlo González,cr CRC,DF,30,14,10,926.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.7,0.9,6.0,25.0,2.0,0.0,0.1,0.1,0.0,0.1,0.02,0.08,0.11,0.02,0.11,Matches,2018-2019,Bologna
