Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Nathan Aké,nl NED,DF,23,39,39,3501.0,38.9,4.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,3.4,3.4,1.0,4.4,20.0,98.0,25.0,0.1,0.0,0.1,0.1,0.1,0.09,0.03,0.11,0.09,0.11,Matches,2018-2019,Bournemouth
Ryan Fraser,sct SCO,"MF,FW",24,42,37,3378.0,37.5,8.0,15.0,23.0,8.0,0.0,0.0,2.0,0.0,4.7,4.7,13.4,18.1,119.0,142.0,279.0,0.21,0.4,0.61,0.21,0.61,0.13,0.38,0.51,0.13,0.51,Matches,2018-2019,Bournemouth
Steve Cook,eng ENG,DF,27,35,34,3078.0,34.2,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.3,1.3,0.9,2.2,25.0,106.0,10.0,0.06,0.03,0.09,0.06,0.09,0.04,0.03,0.07,0.04,0.07,Matches,2018-2019,Bournemouth
Joshua King,no NOR,"FW,MF",26,38,34,3027.0,33.6,12.0,4.0,16.0,7.0,5.0,6.0,3.0,0.0,13.5,8.7,3.8,12.5,131.0,85.0,248.0,0.36,0.12,0.48,0.21,0.33,0.41,0.12,0.52,0.27,0.38,Matches,2018-2019,Bournemouth
Jefferson Lerma,co COL,MF,23,32,31,2686.0,29.8,2.0,0.0,2.0,2.0,0.0,0.0,12.0,0.0,1.3,1.3,1.1,2.3,17.0,133.0,17.0,0.07,0.0,0.07,0.07,0.07,0.05,0.04,0.08,0.05,0.08,Matches,2018-2019,Bournemouth
Callum Wilson,eng ENG,FW,26,33,30,2655.0,29.5,15.0,9.0,24.0,14.0,1.0,2.0,3.0,0.0,13.4,11.9,5.4,17.2,49.0,44.0,197.0,0.51,0.31,0.81,0.47,0.78,0.48,0.19,0.67,0.42,0.61,Matches,2018-2019,Bournemouth
David Brooks,wls WAL,"MF,FW",21,33,30,2398.0,26.6,7.0,5.0,12.0,7.0,0.0,0.0,3.0,0.0,6.0,6.0,5.0,10.9,66.0,95.0,144.0,0.26,0.19,0.45,0.26,0.45,0.24,0.2,0.44,0.24,0.44,Matches,2018-2019,Bournemouth
Asmir Begović,ba BIH,GK,31,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Bournemouth
Adam Smith,eng ENG,"DF,MF",27,26,26,2156.0,24.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.5,0.5,0.6,1.1,87.0,98.0,80.0,0.04,0.04,0.08,0.04,0.08,0.02,0.02,0.05,0.02,0.05,Matches,2018-2019,Bournemouth
Dan Gosling,eng ENG,MF,28,26,20,1829.0,20.3,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,1.9,1.9,1.5,3.4,7.0,116.0,23.0,0.1,0.05,0.15,0.1,0.15,0.1,0.08,0.17,0.1,0.17,Matches,2018-2019,Bournemouth
Charlie Daniels,eng ENG,DF,31,24,19,1778.0,19.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,0.6,1.0,40.0,83.0,82.0,0.05,0.0,0.05,0.05,0.05,0.03,0.03,0.06,0.03,0.06,Matches,2018-2019,Bournemouth
Andrew Surman,eng ENG,MF,31,20,18,1619.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.4,0.7,3.0,89.0,10.0,0.0,0.06,0.06,0.0,0.06,0.02,0.02,0.04,0.02,0.04,Matches,2018-2019,Bournemouth
Artur Boruc,pl POL,GK,38,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Bournemouth
Simon Francis,eng ENG,DF,33,20,16,1494.0,16.6,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.8,18.0,69.0,35.0,0.0,0.18,0.18,0.0,0.18,0.01,0.05,0.06,0.01,0.06,Matches,2018-2019,Bournemouth
Junior Stanislas,eng ENG,"MF,FW",28,27,14,1272.0,14.1,4.0,3.0,7.0,3.0,1.0,1.0,2.0,0.0,3.1,2.3,2.0,4.2,35.0,58.0,81.0,0.28,0.21,0.5,0.21,0.42,0.27,0.17,0.44,0.2,0.37,Matches,2018-2019,Bournemouth
Nathaniel Clyne,eng ENG,DF,27,15,14,1233.0,13.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.3,14.0,39.0,32.0,0.0,0.07,0.07,0.0,0.07,0.01,0.01,0.02,0.01,0.02,Matches,2018-2019,Bournemouth
Jordon Ibe,eng ENG,"MF,DF",22,24,14,1196.0,13.3,3.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,0.8,0.8,0.6,1.4,56.0,28.0,47.0,0.23,0.15,0.38,0.15,0.3,0.09,0.07,0.16,0.09,0.16,Matches,2018-2019,Bournemouth
Diego Rico,es ESP,"DF,MF",25,16,9,959.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.1,1.3,11.0,39.0,34.0,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.2,0.04,0.2,Matches,2018-2019,Bournemouth
Lewis Cook,eng ENG,MF,21,15,10,903.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,11.0,48.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches,2018-2019,Bournemouth
Chris Mepham,wls WAL,DF,20,13,10,850.0,9.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.6,7.0,22.0,1.0,0.0,0.11,0.11,0.0,0.11,0.01,0.05,0.06,0.01,0.06,Matches,2018-2019,Bournemouth
Jack Simpson,eng ENG,DF,21,11,8,768.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,2018-2019,Bournemouth
Lys Mousset,fr FRA,FW,22,28,5,666.0,7.4,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,0.3,1.6,5.0,12.0,41.0,0.27,0.0,0.27,0.27,0.27,0.34,0.06,0.4,0.34,0.4,Matches,2018-2019,Bournemouth
Dominic Solanke,eng ENG,"FW,MF",20,10,2,347.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,1.3,10.0,6.0,24.0,0.0,0.26,0.26,0.0,0.26,0.25,0.1,0.35,0.25,0.35,Matches,2018-2019,Bournemouth
Tyrone Mings,eng ENG,DF,25,7,4,323.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2018-2019,Bournemouth
Jermain Defoe,eng ENG,FW,35,8,3,256.0,2.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.35,0.42,0.0,0.42,0.42,0.42,Matches,2018-2019,Bournemouth
Marc Pugh,eng ENG,"FW,MF",31,3,2,202.0,2.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.45,0.45,0.89,0.45,0.89,,,,,,Matches,2018-2019,Bournemouth
Mark Travers,ie IRL,GK,19,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Bournemouth
Kyle Taylor,eng ENG,MF,18,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2018-2019,Bournemouth
Emerson Hyndman,us USA,MF,22,1,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Bournemouth
Sam Surridge,eng ENG,"MF,FW",20,2,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.4,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.4,0.29,2.69,2.4,2.69,Matches,2018-2019,Bournemouth
Matt Butcher,eng ENG,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Bournemouth
Nnamdi Ofoborh,ng NGA,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Bournemouth
Mihai Dobre,ro ROU,"FW,MF",19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Bournemouth
