Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
David Raya,es ESP,GK,26,39,39,3540.0,39.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.3,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches,2022-2023,Brentford
Ben Mee,eng ENG,DF,32,38,38,3358.0,37.3,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,3.1,3.1,1.3,4.5,8.0,84.0,14.0,0.08,0.03,0.11,0.08,0.11,0.09,0.04,0.12,0.09,0.12,Matches,2022-2023,Brentford
Rico Henry,eng ENG,DF,25,39,38,3309.0,36.8,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.5,1.5,2.6,4.1,55.0,107.0,111.0,0.0,0.05,0.05,0.0,0.05,0.04,0.07,0.11,0.04,0.11,Matches,2022-2023,Brentford
Ivan Toney,eng ENG,FW,26,35,34,3090.0,34.3,21.0,5.0,26.0,15.0,6.0,7.0,9.0,0.0,18.7,13.2,5.1,18.3,14.0,79.0,165.0,0.61,0.15,0.76,0.44,0.58,0.57,0.16,0.73,0.4,0.56,Matches,2022-2023,Brentford
Mathias Jensen,dk DEN,MF,26,39,38,2953.0,32.8,5.0,6.0,11.0,5.0,0.0,0.0,5.0,0.0,2.1,2.1,5.0,7.1,21.0,141.0,77.0,0.15,0.18,0.34,0.15,0.34,0.07,0.16,0.23,0.07,0.23,Matches,2022-2023,Brentford
Bryan Mbeumo,cm CMR,FW,22,39,36,2946.0,32.7,9.0,8.0,17.0,8.0,1.0,1.0,5.0,0.0,9.6,8.8,7.5,16.3,66.0,88.0,235.0,0.27,0.24,0.52,0.24,0.49,0.3,0.23,0.53,0.27,0.5,Matches,2022-2023,Brentford
Ethan Pinnock,jm JAM,DF,29,31,31,2820.0,31.3,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,2.0,52.0,16.0,0.1,0.0,0.1,0.1,0.1,0.1,0.03,0.13,0.1,0.13,Matches,2022-2023,Brentford
Vitaly Janelt,de GER,"MF,DF",24,37,25,2320.0,25.8,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,2.4,2.4,1.4,3.8,14.0,82.0,28.0,0.12,0.04,0.16,0.12,0.16,0.1,0.06,0.15,0.1,0.15,Matches,2022-2023,Brentford
Aaron Hickey,sct SCO,DF,20,26,23,1916.0,21.3,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.4,0.8,41.0,81.0,47.0,0.0,0.05,0.05,0.0,0.05,0.02,0.02,0.04,0.02,0.04,Matches,2022-2023,Brentford
