Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Gaëtan Charbonnier,fr FRA,FW,29,42,37,3456.0,38.4,30.0,8.0,38.0,26.0,4.0,5.0,6.0,0.0,0.78,0.21,0.99,0.68,0.89,Matches,2018-2019,Brest
Anthony Weber,fr FRA,DF,31,37,36,3330.0,37.0,2.0,1.0,3.0,2.0,0.0,0.0,6.0,1.0,0.05,0.03,0.08,0.05,0.08,Matches,2018-2019,Brest
Gautier Larsonneur,fr FRA,GK,21,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Brest
Quentin Bernard,fr FRA,DF,29,36,35,3217.0,35.7,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,2018-2019,Brest
Jean-Charles Castelletto,cm CMR,DF,23,35,35,3143.0,34.9,3.0,1.0,4.0,3.0,0.0,0.0,4.0,1.0,0.09,0.03,0.11,0.09,0.11,Matches,2018-2019,Brest
Haris Belkebla,dz ALG,MF,24,36,35,3054.0,33.9,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,2018-2019,Brest
Gaëtan Belaud,fr FRA,DF,31,32,32,2842.0,31.6,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,0.06,0.06,0.13,0.06,0.13,Matches,2018-2019,Brest
Mathias Autret,fr FRA,MF,27,39,32,2762.0,30.7,11.0,12.0,23.0,11.0,0.0,0.0,4.0,0.0,0.36,0.39,0.75,0.36,0.75,Matches,2018-2019,Brest
Ferris N'Goma,fr FRA,"MF,FW",25,35,24,1995.0,22.2,1.0,2.0,3.0,0.0,1.0,1.0,6.0,0.0,0.05,0.09,0.14,0.0,0.09,Matches,2018-2019,Brest
Yoann Court,fr FRA,MF,28,26,23,1943.0,21.6,7.0,5.0,12.0,7.0,0.0,0.0,6.0,0.0,0.32,0.23,0.56,0.32,0.56,Matches,2018-2019,Brest
Ibrahima Diallo,fr FRA,MF,19,28,21,1940.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Brest
Jessy Pi,fr FRA,MF,24,23,19,1740.0,19.3,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,0.1,0.21,0.31,0.1,0.31,Matches,2018-2019,Brest
Thomas Ayasse,fr FRA,MF,31,27,15,1547.0,17.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches,2018-2019,Brest
Brendan Chardonnet,fr FRA,DF,23,15,15,1432.0,15.9,3.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.19,0.0,0.19,0.19,0.19,Matches,2018-2019,Brest
