Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Marco Bizot,nl NED,GK,30,38,38,3420.0,38.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Brest
Jean-Kevin Duverne,ht HAI,DF,24,40,36,3271.0,36.3,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.2,3.2,76.0,169.0,107.0,0.03,0.08,0.11,0.03,0.11,0.03,0.07,0.1,0.03,0.1,Matches,2021-2022,Brest
Franck Honorat,fr FRA,"FW,MF",24,37,36,3094.0,34.4,11.0,4.0,15.0,11.0,0.0,0.0,3.0,0.0,4.3,4.3,6.6,10.9,117.0,84.0,289.0,0.32,0.12,0.44,0.32,0.44,0.13,0.21,0.34,0.13,0.34,Matches,2021-2022,Brest
Brendan Chardonnet,fr FRA,DF,26,35,34,2956.0,32.8,3.0,0.0,3.0,3.0,0.0,0.0,7.0,1.0,1.4,1.4,0.4,1.8,9.0,83.0,5.0,0.09,0.0,0.09,0.09,0.09,0.05,0.01,0.06,0.05,0.06,Matches,2021-2022,Brest
Ronaël Pierre-Gabriel,fr FRA,DF,23,31,30,2638.0,29.3,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,1.7,2.2,65.0,138.0,71.0,0.0,0.03,0.03,0.0,0.03,0.02,0.06,0.08,0.02,0.08,Matches,2021-2022,Brest
Lilian Brassier,fr FRA,DF,21,34,26,2533.0,28.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.1,1.1,0.6,1.7,31.0,86.0,22.0,0.04,0.0,0.04,0.04,0.04,0.04,0.02,0.07,0.04,0.07,Matches,2021-2022,Brest
Steve Mounié,bj BEN,FW,26,38,27,2518.0,28.0,10.0,2.0,12.0,7.0,3.0,3.0,2.0,0.0,11.8,10.2,1.2,11.4,29.0,65.0,106.0,0.36,0.07,0.43,0.25,0.32,0.46,0.05,0.5,0.4,0.44,Matches,2021-2022,Brest
Haris Belkebla,dz ALG,MF,27,32,27,2400.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.8,0.9,15.0,98.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.04,Matches,2021-2022,Brest
Lucien Agoume,fr FRA,MF,19,30,23,2025.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.2,1.1,0.7,1.7,16.0,116.0,28.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.05,0.08,Matches,2021-2022,Brest
Christophe Hérelle,mq MTQ,DF,28,24,24,2022.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.5,0.5,0.1,0.6,9.0,59.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2021-2022,Brest
Romain Faivre,fr FRA,MF,23,22,21,1885.0,20.9,8.0,5.0,13.0,2.0,6.0,6.0,1.0,0.0,6.5,2.5,2.8,5.3,100.0,118.0,98.0,0.38,0.24,0.62,0.1,0.33,0.32,0.14,0.47,0.13,0.27,Matches,2021-2022,Brest
Jérémy Le Douaron,fr FRA,"FW,MF",23,35,17,1563.0,17.4,6.0,3.0,9.0,6.0,0.0,0.0,0.0,0.0,3.7,3.7,2.6,6.3,39.0,18.0,127.0,0.35,0.17,0.52,0.35,0.52,0.23,0.16,0.39,0.23,0.39,Matches,2021-2022,Brest
Irvin Cardona,fr FRA,"FW,MF",23,35,16,1560.0,17.3,4.0,2.0,6.0,4.0,0.0,0.0,2.0,0.0,2.9,2.9,1.7,4.5,28.0,18.0,97.0,0.23,0.12,0.35,0.23,0.35,0.19,0.11,0.3,0.19,0.3,Matches,2021-2022,Brest
Hugo Magnetti,fr FRA,MF,23,29,17,1532.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.8,1.4,16.0,68.0,15.0,0.0,0.06,0.06,0.0,0.06,0.03,0.05,0.09,0.03,0.09,Matches,2021-2022,Brest
Martin Satriano,uy URU,FW,20,16,12,991.0,11.0,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,3.4,3.4,0.1,3.5,6.0,7.0,52.0,0.36,0.0,0.36,0.36,0.36,0.33,0.01,0.34,0.33,0.34,Matches,2021-2022,Brest
