Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Ben White,eng ENG,"DF,MF",22,39,39,3458.0,38.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.5,0.5,0.9,1.4,50.0,149.0,38.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,2020-2021,Brighton
Yves Bissouma,ml MLI,MF,23,39,37,3333.0,37.0,2.0,0.0,2.0,2.0,0.0,0.0,9.0,1.0,1.4,1.4,0.9,2.3,55.0,146.0,26.0,0.05,0.0,0.05,0.05,0.05,0.04,0.03,0.07,0.04,0.07,Matches,2020-2021,Brighton
Lewis Dunk,eng ENG,DF,28,37,37,3321.0,36.9,5.0,0.0,5.0,5.0,0.0,0.0,5.0,2.0,2.2,2.2,1.2,3.4,27.0,82.0,7.0,0.14,0.0,0.14,0.14,0.14,0.07,0.04,0.1,0.07,0.1,Matches,2020-2021,Brighton
Pascal Groß,de GER,"MF,DF",29,40,32,2965.0,32.9,3.0,10.0,13.0,0.0,3.0,4.0,4.0,0.0,4.9,1.7,5.2,6.9,57.0,165.0,168.0,0.09,0.3,0.39,0.0,0.3,0.18,0.19,0.36,0.06,0.25,Matches,2020-2021,Brighton
Adam Webster,eng ENG,DF,25,31,31,2804.0,31.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,0.2,2.2,42.0,133.0,4.0,0.03,0.0,0.03,0.03,0.03,0.07,0.01,0.08,0.07,0.08,Matches,2020-2021,Brighton
Leandro Trossard,be BEL,"MF,FW",25,38,30,2723.0,30.3,5.0,5.0,10.0,5.0,0.0,0.0,2.0,0.0,4.6,4.6,4.9,9.5,73.0,142.0,219.0,0.17,0.17,0.33,0.17,0.33,0.16,0.17,0.33,0.16,0.33,Matches,2020-2021,Brighton
Neal Maupay,fr FRA,"FW,MF",23,36,30,2703.0,30.0,8.0,2.0,10.0,5.0,3.0,4.0,1.0,1.0,13.2,10.1,3.9,13.9,44.0,61.0,181.0,0.27,0.07,0.33,0.17,0.23,0.47,0.14,0.61,0.36,0.5,Matches,2020-2021,Brighton
Joël Veltman,nl NED,DF,28,34,29,2651.0,29.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,1.7,2.8,39.0,136.0,99.0,0.03,0.03,0.07,0.03,0.07,0.04,0.07,0.11,0.04,0.11,Matches,2020-2021,Brighton
Dan Burn,eng ENG,DF,28,32,28,2511.0,27.9,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.5,1.5,0.8,2.3,34.0,87.0,73.0,0.04,0.0,0.04,0.04,0.04,0.07,0.04,0.1,0.07,0.1,Matches,2020-2021,Brighton
Robert Sánchez,es ESP,GK,22,27,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Brighton
Solly March,eng ENG,"DF,MF",26,23,20,1791.0,19.9,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.7,1.7,1.5,3.2,74.0,79.0,146.0,0.15,0.05,0.2,0.15,0.2,0.09,0.08,0.17,0.09,0.17,Matches,2020-2021,Brighton
Adam Lallana,eng ENG,"MF,FW",32,31,17,1674.0,18.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.6,1.6,2.6,4.2,33.0,109.0,77.0,0.05,0.05,0.11,0.05,0.11,0.09,0.14,0.23,0.09,0.23,Matches,2020-2021,Brighton
Danny Welbeck,eng ENG,FW,29,24,17,1545.0,17.2,6.0,1.0,7.0,6.0,0.0,1.0,0.0,0.0,6.6,5.8,2.8,8.7,21.0,25.0,98.0,0.35,0.06,0.41,0.35,0.41,0.39,0.16,0.55,0.34,0.5,Matches,2020-2021,Brighton
Alexis Mac Allister,ar ARG,"MF,FW",21,27,18,1508.0,16.8,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,1.3,1.3,1.5,2.7,15.0,48.0,55.0,0.18,0.12,0.3,0.18,0.3,0.1,0.12,0.22,0.1,0.22,Matches,2020-2021,Brighton
Steven Alzate,co COL,MF,21,17,12,1034.0,11.5,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.8,0.8,0.6,1.4,16.0,39.0,16.0,0.17,0.09,0.26,0.17,0.26,0.08,0.06,0.14,0.08,0.14,Matches,2020-2021,Brighton
Mathew Ryan,au AUS,GK,28,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Brighton
Tariq Lamptey,gh GHA,"DF,MF",19,11,11,886.0,9.8,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,0.7,0.7,0.8,1.5,40.0,26.0,76.0,0.1,0.1,0.2,0.1,0.2,0.07,0.08,0.15,0.07,0.15,Matches,2020-2021,Brighton
Alireza Jahanbakhsh,ir IRN,"FW,MF",26,25,10,797.0,8.9,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,3.0,4.5,18.0,28.0,53.0,0.23,0.23,0.45,0.23,0.45,0.26,0.51,0.77,0.26,0.77,Matches,2020-2021,Brighton
Aaron Connolly,ie IRL,FW,20,17,9,791.0,8.8,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.2,4.2,12.0,4.0,58.0,0.23,0.11,0.34,0.23,0.34,0.45,0.02,0.48,0.45,0.48,Matches,2020-2021,Brighton
Jakub Moder,pl POL,"DF,MF",21,13,8,737.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,0.9,21.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.13,0.11,0.13,Matches,2020-2021,Brighton
Davy Pröpper,nl NED,MF,28,11,5,541.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,4.0,14.0,8.0,0.0,0.17,0.17,0.0,0.17,0.08,0.0,0.08,0.08,0.08,Matches,2020-2021,Brighton
Bernardo,br BRA,"DF,MF",25,7,5,507.0,5.6,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,2.0,9.0,15.0,0.18,0.36,0.53,0.18,0.53,0.16,0.06,0.22,0.16,0.22,Matches,2020-2021,Brighton
